,person,cantidad_sesiones,promedio_sesiones_sec,tiempo_total_sesiones_sec,samsung_vistos,iphone_vistos,motorola_vistos,total_marcas_vistas,%_vistos_samsung,%_vistos_motorola,%_vistos_iphone,modelos_vistos,modelos_distintos,sku_distintos,#Camino,compro,#pasos_antes_comprar,primera_actividad_ultimo_paso,ultima_actividad,primera_actividad,# Actividades,act_ult_30_dias,act_ult_20_dias,act_ult_15_dias,act_ult_5_dias,act_ult_1_dias,act_ult_25_dias,act_ult_10_dias,check_ult_30_dias,check_ult_25_dias,check_ult_20_dias,check_ult_15_dias,check_ult_10_dias,check_ult_5_dias,check_ult_1_dias,label
692,03dc6595,4,316.0,1262.0,8.0,0.0,0.0,8.0,1.0,0.0,0.0,8.0,1.0,1.0,0,0,28,24,15,24,28,28.0,6.0,0.0,0.0,0.0,28.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
701,03e9630c,1,782.0,782.0,2.0,0.0,7.0,9.0,0.2222222222222222,0.7777777777777778,0.0,10.0,10.0,10.0,0,0,22,6,6,6,22,22.0,22.0,22.0,0.0,0.0,22.0,22.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
720,0404e68f,14,428.0,5990.0,1.0,71.0,1.0,73.0,0.0136986301369863,0.0136986301369863,0.9726027397260274,80.0,12.0,45.0,0,0,168,70,12,70,168,18.0,18.0,18.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
738,041dc456,1,22.0,22.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,5.0,1.0,2.0,0,0,8,15,15,15,8,8.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
766,043bbb8c,26,480.00000000000006,12468.0,72.0,9.0,3.0,84.0,0.8571428571428571,0.03571428571428571,0.10714285714285714,90.0,13.0,37.0,0,1,47,57,49,57,212,106.0,102.0,92.0,40.0,23.0,102.0,44.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0
773,043ec736,60,1105.0,66295.0,78.0,84.0,5.0,167.0,0.46706586826347307,0.029940119760479042,0.5029940119760479,200.0,45.0,90.0,0,1,243,102,64,102,568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
774,043ec736,60,1105.0,66295.0,78.0,84.0,5.0,167.0,0.46706586826347307,0.029940119760479042,0.5029940119760479,200.0,45.0,90.0,1,0,325,64,31,102,568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
791,0457712f,14,326.0,4559.0,17.0,1.0,6.0,24.0,0.7083333333333334,0.25,0.041666666666666664,30.0,22.0,24.0,0,1,66,111,6,111,89,38.0,38.0,38.0,0.0,0.0,38.0,38.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0
792,0457712f,14,326.0,4559.0,17.0,1.0,6.0,24.0,0.7083333333333334,0.25,0.041666666666666664,30.0,22.0,24.0,1,1,21,5,5,111,89,38.0,38.0,38.0,0.0,0.0,38.0,38.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0
793,0457712f,14,326.0,4559.0,17.0,1.0,6.0,24.0,0.7083333333333334,0.25,0.041666666666666664,30.0,22.0,24.0,2,0,2,5,5,111,89,38.0,38.0,38.0,0.0,0.0,38.0,38.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0
800,046642cb,4,577.0,2308.0,13.0,0.0,0.0,13.0,1.0,0.0,0.0,13.0,1.0,6.0,0,0,28,13,2,13,28,28.0,28.0,28.0,3.0,0.0,28.0,6.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0
841,048c1643,2,702.0,1405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0,0,11,14,8,14,11,11.0,11.0,11.0,0.0,0.0,11.0,2.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0
883,04bbc907,46,178.0,8190.000000000001,155.0,36.0,20.0,211.0,0.7345971563981043,0.0947867298578199,0.17061611374407584,213.0,22.0,66.0,0,0,343,113,37,113,343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
893,04cfe908,1,7231.0,7231.0,11.0,0.0,0.0,11.0,1.0,0.0,0.0,11.0,6.0,6.0,0,0,81,5,5,5,81,81.0,81.0,81.0,0.0,0.0,81.0,81.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
895,04d2d0ee,2,1281.0,2562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,5.0,0,0,23,75,12,75,23,15.0,15.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
934,052078d1,4,203.0,812.0,29.0,0.0,0.0,29.0,1.0,0.0,0.0,29.0,1.0,11.0,0,0,41,120,43,120,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
935,052163a1,6,469.00000000000006,2816.0,11.0,0.0,3.0,14.0,0.7857142857142857,0.21428571428571427,0.0,14.0,3.0,6.0,0,1,7,2,2,2,28,28.0,28.0,28.0,28.0,0.0,28.0,28.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
936,052163a1,6,469.00000000000006,2816.0,11.0,0.0,3.0,14.0,0.7857142857142857,0.21428571428571427,0.0,14.0,3.0,6.0,1,0,21,2,2,2,28,28.0,28.0,28.0,28.0,0.0,28.0,28.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
968,05473316,3,640.0,1920.0000000000002,1.0,7.0,0.0,8.0,0.125,0.0,0.875,8.0,3.0,5.0,0,0,29,14,13,14,29,29.0,29.0,29.0,0.0,0.0,29.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
982,05596145,8,269.0,2150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,5.0,11.0,0,0,68,7,1,7,68,68.0,68.0,68.0,60.0,0.0,68.0,68.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,1.0
986,0566e9c1,16,112.0,1785.0,11.0,9.0,0.0,20.0,0.55,0.0,0.45,23.0,12.0,21.0,0,1,34,9,8,9,68,68.0,68.0,68.0,9.0,2.0,68.0,68.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
987,0566e9c1,16,112.0,1785.0,11.0,9.0,0.0,20.0,0.55,0.0,0.45,23.0,12.0,21.0,1,0,34,8,0,9,68,68.0,68.0,68.0,9.0,2.0,68.0,68.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1032,05ac0937,4,1068.0,4274.0,25.0,0.0,1.0,26.0,0.9615384615384616,0.038461538461538464,0.0,28.0,15.0,23.0,0,1,31,108,108,108,63,30.0,30.0,30.0,30.0,2.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1035,05b22e4c,7,665.0,4653.0,28.0,7.0,9.0,44.0,0.6363636363636364,0.20454545454545456,0.1590909090909091,46.0,30.0,38.0,0,0,129,123,1,123,129,106.0,7.0,7.0,7.0,0.0,106.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1051,05d9ceb0,6,1770.0,10619.0,8.0,0.0,13.0,21.0,0.38095238095238093,0.6190476190476191,0.0,22.0,9.0,12.0,0,1,51,113,113,113,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1052,05d9ceb0,6,1770.0,10619.0,8.0,0.0,13.0,21.0,0.38095238095238093,0.6190476190476191,0.0,22.0,9.0,12.0,1,1,30,112,112,113,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1053,05d9ceb0,6,1770.0,10619.0,8.0,0.0,13.0,21.0,0.38095238095238093,0.6190476190476191,0.0,22.0,9.0,12.0,2,0,43,107,35,113,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1064,05f5d7e6,10,552.0,5515.0,95.0,17.0,13.0,125.0,0.76,0.104,0.136,134.0,29.0,72.0,0,0,174,13,0,13,174,174.0,174.0,174.0,129.0,12.0,174.0,131.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0
1071,06010f51,5,1102.0,5512.0,17.0,0.0,3.0,20.0,0.85,0.15,0.0,24.0,11.0,15.0,0,0,68,30,11,30,68,57.0,57.0,40.0,0.0,0.0,57.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1072,0601784e,11,1211.0,13323.0,12.0,95.0,0.0,107.0,0.11214953271028037,0.0,0.8878504672897196,110.0,16.0,54.0,0,1,204,44,12,44,224,185.0,61.0,49.0,0.0,0.0,63.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0
1073,0601784e,11,1211.0,13323.0,12.0,95.0,0.0,107.0,0.11214953271028037,0.0,0.8878504672897196,110.0,16.0,54.0,1,1,2,12,12,44,224,185.0,61.0,49.0,0.0,0.0,63.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0
1074,0601784e,11,1211.0,13323.0,12.0,95.0,0.0,107.0,0.11214953271028037,0.0,0.8878504672897196,110.0,16.0,54.0,2,0,18,12,11,44,224,185.0,61.0,49.0,0.0,0.0,63.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0
1093,06260f15,4,23.0,93.0,6.0,0.0,0.0,6.0,1.0,0.0,0.0,6.0,3.0,5.0,0,0,17,34,3,34,17,11.0,11.0,11.0,5.0,0.0,11.0,11.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1106,063c2027,1,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,4,4,4,4,4,4.0,4.0,4.0,4.0,0.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
1121,065d92a9,1,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,6,1,1,1,6,6.0,6.0,6.0,6.0,0.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
1124,065f4a95,24,532.0,12770.0,105.0,9.0,0.0,114.0,0.9210526315789473,0.0,0.07894736842105263,114.0,16.0,52.0,1,1,2,3,3,115,189,69.0,69.0,69.0,69.0,22.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1126,065f9118,2,312.0,625.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0,4.0,1.0,2.0,0,0,11,50,15,50,11,8.0,8.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1139,067d0506,1,428.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,0,0,11,4,4,4,11,11.0,11.0,11.0,11.0,0.0,11.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
1160,06904f81,2,546.0,1091.0,28.0,8.0,0.0,36.0,0.7777777777777778,0.0,0.2222222222222222,36.0,6.0,22.0,0,0,58,3,3,3,58,58.0,58.0,58.0,58.0,0.0,58.0,58.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
1167,069af641,4,330.0,1319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,7.0,0,1,45,126,67,126,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1180,06a557be,6,2419.0,14514.0,59.0,20.0,6.0,85.0,0.6941176470588235,0.07058823529411765,0.23529411764705882,90.0,16.0,54.0,0,0,148,6,5,6,148,148.0,148.0,148.0,0.0,0.0,148.0,148.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
1186,06aeda65,1,83.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0,0,8,27,27,27,8,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1199,06c1e159,1,3194.0,3194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,7.0,27.0,0,1,68,7,7,7,68,68.0,68.0,68.0,0.0,0.0,68.0,68.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1216,06d3a74d,21,669.0,14059.0,26.0,10.0,46.0,82.0,0.3170731707317073,0.5609756097560976,0.12195121951219512,87.0,19.0,56.0,2,1,11,74,74,75,216,49.0,49.0,49.0,40.0,0.0,49.0,40.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
1242,06eeb3e7,10,152.0,1515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,7.0,21.0,0,1,1,25,25,25,125,125.0,124.0,74.0,45.0,16.0,124.0,74.0,4.0,4.0,4.0,2.0,2.0,0.0,0.0,1.0
1243,06eeb3e7,10,152.0,1515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,7.0,21.0,1,1,39,19,17,25,125,125.0,124.0,74.0,45.0,16.0,124.0,74.0,4.0,4.0,4.0,2.0,2.0,0.0,0.0,1.0
1244,06eeb3e7,10,152.0,1515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,7.0,21.0,2,0,85,17,0,25,125,125.0,124.0,74.0,45.0,16.0,124.0,74.0,4.0,4.0,4.0,2.0,2.0,0.0,0.0,1.0
1267,07136e35,1,1302.0,1302.0,5.0,1.0,1.0,7.0,0.7142857142857143,0.14285714285714285,0.14285714285714285,7.0,6.0,6.0,0,0,41,3,3,3,41,41.0,41.0,41.0,41.0,0.0,41.0,41.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
1271,071dabb9,1,360.0,360.0,6.0,0.0,0.0,6.0,1.0,0.0,0.0,6.0,1.0,5.0,0,0,9,35,35,35,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1274,071e79e1,3,473.00000000000006,1419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,5.0,12.0,0,0,31,15,6,15,31,31.0,31.0,20.0,0.0,0.0,31.0,20.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
1287,073e697a,4,160.0,641.0,1.0,6.0,0.0,7.0,0.14285714285714285,0.0,0.8571428571428571,7.0,3.0,7.0,0,0,39,49,13,49,39,36.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1292,074611db,1,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,8.0,0,0,13,4,4,4,13,13.0,13.0,13.0,13.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1339,07a578c6,14,810.0,11333.0,2.0,58.0,0.0,60.0,0.03333333333333333,0.0,0.9666666666666667,60.0,8.0,29.0,0,1,124,48,14,48,134,131.0,131.0,38.0,4.0,0.0,131.0,7.0,14.0,14.0,14.0,7.0,0.0,0.0,0.0,0.0
1348,07aabe67,72,258.0,18612.0,62.0,375.0,8.0,445.0,0.1393258426966292,0.017977528089887642,0.8426966292134831,452.0,30.0,191.0,0,0,634,139,2,139,634,179.0,174.0,135.0,64.0,0.0,174.0,123.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0
1362,07b89976,1,1663.0,1663.0,5.0,39.0,0.0,44.0,0.11363636363636363,0.0,0.8863636363636364,44.0,3.0,21.0,0,0,48,4,4,4,48,48.0,48.0,48.0,48.0,0.0,48.0,48.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0
1372,07cdc12c,47,162.0,7629.000000000001,4.0,114.0,0.0,118.0,0.03389830508474576,0.0,0.9661016949152542,118.0,9.0,56.0,0,1,26,136,136,136,276,104.0,51.0,37.0,21.0,0.0,51.0,37.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1373,07cdc12c,47,162.0,7629.000000000001,4.0,114.0,0.0,118.0,0.03389830508474576,0.0,0.9661016949152542,118.0,9.0,56.0,1,0,250,134,1,136,276,104.0,51.0,37.0,21.0,0.0,51.0,37.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1435,0812bda0,13,1121.0,14569.0,72.0,22.0,34.0,128.0,0.5625,0.265625,0.171875,128.0,30.0,78.0,0,1,18,91,90,91,227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1436,0812bda0,13,1121.0,14569.0,72.0,22.0,34.0,128.0,0.5625,0.265625,0.171875,128.0,30.0,78.0,1,0,209,90,82,91,227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1439,08176776,8,80.0,641.0,2.0,18.0,0.0,20.0,0.1,0.0,0.9,20.0,7.0,13.0,0,0,51,103,10,103,51,15.0,3.0,3.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1455,08343c0e,10,361.0,3610.0,4.0,39.0,0.0,43.0,0.09302325581395349,0.0,0.9069767441860465,43.0,6.0,32.0,0,1,10,149,149,149,75,46.0,46.0,46.0,20.0,0.0,46.0,30.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
