,person,#Camino,#pasos_antes_comprar,primera_actividad,modelos_vistos,modelos_distintos,sku_distintos,primera_actividad_ultimo_paso,ultima_actividad,# Actividades,label
883,04bbc907,0,343,113,213.0,22.0,66.0,113,37,343,1.0
890,04c9c1ed,0,4,39,1.0,1.0,1.0,39,39,4,0.0
895,04d2d0ee,0,23,75,10.0,3.0,5.0,75,12,23,1.0
934,052078d1,0,41,120,29.0,1.0,11.0,120,43,41,1.0
947,052e394d,0,105,6,23.0,11.0,14.0,6,1,105,0.0
967,05458471,0,31,12,7.0,6.0,6.0,12,9,31,0.0
982,05596145,0,68,7,37.0,5.0,11.0,7,1,68,1.0
1035,05b22e4c,0,129,123,46.0,30.0,38.0,123,1,129,1.0
1050,05d6426e,0,49,15,20.0,4.0,10.0,15,2,49,0.0
1053,05d9ceb0,2,43,113,2.0,1.0,1.0,107,35,124,1.0
1059,05e62dde,0,23,20,13.0,1.0,6.0,20,1,23,0.0
1074,0601784e,2,18,44,3.0,3.0,3.0,12,11,224,1.0
1075,06036e3c,0,17,16,4.0,1.0,1.0,16,16,17,0.0
1082,060f1915,0,34,0,27.0,20.0,21.0,0,0,34,0.0
1086,0616d0f3,0,229,32,204.0,21.0,86.0,32,1,229,0.0
1178,069e9241,0,8,6,3.0,1.0,3.0,6,6,8,0.0
1186,06aeda65,0,8,27,3.0,2.0,3.0,27,27,8,1.0
1244,06eeb3e7,2,85,25,24.0,6.0,14.0,17,0,125,1.0
1267,07136e35,0,41,3,7.0,6.0,6.0,3,3,41,0.0
1271,071dabb9,0,9,35,6.0,1.0,5.0,35,35,9,1.0
1274,071e79e1,0,31,15,18.0,5.0,12.0,15,6,31,1.0
1281,072ec6d2,0,14,0,9.0,5.0,8.0,0,0,14,0.0
1287,073e697a,0,39,49,7.0,3.0,7.0,49,13,39,1.0
1309,0763d438,0,6,0,2.0,1.0,1.0,0,0,6,0.0
1315,076d2903,0,11,10,8.0,3.0,7.0,10,10,11,0.0
1340,07a578c6,1,10,48,1.0,1.0,1.0,14,1,134,0.0
1348,07aabe67,0,634,139,452.0,30.0,191.0,139,2,634,1.0
1373,07cdc12c,1,250,136,100.0,9.0,50.0,134,1,276,1.0
1408,07f5313a,0,9,2,2.0,2.0,2.0,2,2,9,0.0
1414,07fe25b4,0,23,22,12.0,5.0,8.0,22,0,23,0.0
1434,08126279,0,49,13,31.0,6.0,20.0,13,1,49,0.0
1436,0812bda0,1,209,91,121.0,28.0,73.0,90,82,227,1.0
1439,08176776,0,51,103,20.0,7.0,13.0,103,10,51,1.0
1457,08343c0e,2,20,149,16.0,5.0,15.0,2,2,75,1.0
1461,083845b6,0,26,3,4.0,2.0,3.0,3,2,26,0.0
1470,084482af,0,53,24,20.0,9.0,14.0,24,2,53,1.0
1483,08552b42,0,60,19,30.0,17.0,20.0,19,0,60,0.0
1582,08e0c1c6,0,22,4,4.0,2.0,3.0,4,4,22,0.0
1605,09008386,0,64,74,30.0,16.0,23.0,74,7,64,0.0
1640,09412658,0,8,0,1.0,1.0,1.0,0,0,8,1.0
1676,097826cb,0,6,4,2.0,1.0,1.0,4,4,6,0.0
1677,09784bd6,0,71,3,44.0,8.0,25.0,3,2,71,0.0
1683,097c939e,0,16,10,3.0,2.0,2.0,10,7,16,0.0
1704,09a78ec5,0,16,11,4.0,2.0,2.0,11,9,16,1.0
1708,09adf503,0,149,16,99.0,13.0,50.0,16,2,149,1.0
1724,09d0e523,0,236,29,149.0,20.0,70.0,29,1,236,1.0
1747,09eb8d77,2,46,7,16.0,4.0,8.0,5,4,77,1.0
1770,0a096974,0,13,3,4.0,1.0,2.0,3,3,13,0.0
1809,0a310c1f,0,4,11,1.0,1.0,1.0,11,11,4,0.0
1902,0aacf315,1,8,47,0.0,0.0,0.0,28,22,65,1.0
1923,0ac629ef,0,40,31,25.0,6.0,14.0,31,1,40,0.0
1955,0ae8135d,1,2,2,0.0,0.0,0.0,2,2,71,0.0
1958,0ae8b154,0,3,3,1.0,1.0,1.0,3,3,3,1.0
1967,0af42006,0,155,64,117.0,22.0,67.0,64,2,155,1.0
1993,0b1a56d1,0,122,16,98.0,23.0,66.0,16,14,122,0.0
2006,0b331e66,0,13,0,5.0,1.0,3.0,0,0,13,0.0
2007,0b3402ff,0,16,0,5.0,2.0,3.0,0,0,16,0.0
2022,0b4c7178,0,65,7,53.0,4.0,24.0,7,5,65,0.0
2046,0b6aefdc,1,24,26,1.0,1.0,1.0,10,0,403,0.0
2049,0b703d67,0,7,2,2.0,1.0,2.0,2,2,7,0.0
2059,0b800e76,0,54,0,34.0,4.0,14.0,0,0,54,0.0
2132,0be3f5e5,2,136,86,48.0,19.0,37.0,60,49,460,1.0
2154,0c00db19,0,15,0,4.0,1.0,2.0,0,0,15,1.0
2231,0c962c1c,0,12,28,2.0,2.0,2.0,28,12,12,1.0
2314,0d1af2db,0,21,0,17.0,5.0,15.0,0,0,21,1.0
2351,0d4d220e,0,20,7,14.0,1.0,7.0,7,7,20,0.0
2366,0d5ed234,0,30,9,23.0,6.0,14.0,9,9,30,0.0
2373,0d68d38e,3,13,48,7.0,5.0,6.0,1,1,119,1.0
2376,0d6f5cd2,0,47,10,33.0,7.0,17.0,10,7,47,1.0
2384,0d79ae9e,0,8,1,5.0,1.0,2.0,1,1,8,1.0
2387,0d7f5b7a,0,4,2,1.0,1.0,1.0,2,2,4,0.0
2398,0d87b81e,0,9,3,2.0,1.0,1.0,3,3,9,0.0
2405,0d9c997e,0,18,11,7.0,3.0,6.0,11,11,18,0.0
2411,0da5ecfc,2,292,40,186.0,21.0,60.0,28,0,501,1.0
2437,0dc7138f,0,128,1,82.0,22.0,43.0,1,0,128,1.0
2449,0de7eb87,0,18,16,7.0,3.0,4.0,16,14,18,0.0
2471,0e0b4547,0,21,9,6.0,1.0,3.0,9,9,21,0.0
2487,0e295dfd,0,33,26,8.0,3.0,6.0,26,12,33,0.0
2546,0e99af24,0,101,16,59.0,14.0,28.0,16,14,101,0.0
2550,0e9e5344,0,69,12,37.0,8.0,22.0,12,5,69,1.0
2551,0e9effd8,0,44,132,21.0,3.0,12.0,132,130,44,1.0
2568,0eb1161a,0,19,88,10.0,1.0,7.0,88,0,19,0.0
2569,0eb4b5b8,0,6,12,2.0,1.0,1.0,12,12,6,0.0
2570,0eb715ae,0,54,83,15.0,3.0,10.0,83,13,54,1.0
2600,0ede7a66,0,17,1,5.0,1.0,1.0,1,1,17,0.0
2641,0f16c676,0,13,46,1.0,1.0,1.0,46,46,13,1.0
2661,0f309405,0,11,13,3.0,2.0,2.0,13,13,11,0.0
2672,0f400871,0,14,15,8.0,1.0,3.0,15,15,14,0.0
2691,0f5326d6,0,97,34,41.0,10.0,20.0,34,2,97,0.0
2777,0fd7ba4a,0,102,13,73.0,14.0,43.0,13,5,102,0.0
2785,0fe8e51e,0,34,30,2.0,2.0,2.0,30,11,34,1.0
2792,0ff026f5,0,9,76,3.0,3.0,3.0,76,72,9,1.0
2859,10460860,0,4,9,1.0,1.0,1.0,9,9,4,0.0
2865,104ea584,1,29,147,6.0,3.0,3.0,67,13,175,0.0
2890,1071cce6,0,42,0,30.0,3.0,22.0,0,0,42,0.0
2897,107a343d,0,21,9,4.0,2.0,3.0,9,5,21,0.0
2902,10810fed,0,8,1,2.0,1.0,1.0,1,1,8,0.0
2919,108e7303,0,7,15,3.0,1.0,2.0,15,15,7,0.0
2951,10b898c3,0,32,9,9.0,5.0,6.0,9,1,32,0.0
2972,10c7c108,0,19,1,13.0,3.0,8.0,1,1,19,0.0
3007,10df77b3,0,8,16,1.0,1.0,1.0,16,13,8,0.0
3021,10ff5b8b,0,9,13,3.0,1.0,3.0,13,13,9,1.0
3043,111ac3c5,0,9,11,4.0,2.0,4.0,11,11,9,0.0
3061,112dc4d0,0,81,49,30.0,8.0,15.0,49,1,81,0.0
3071,113c1e9f,0,8,11,5.0,1.0,3.0,11,11,8,0.0
3093,116851fe,0,21,22,5.0,2.0,4.0,22,6,22,0.0
3136,11b247a4,0,125,14,64.0,8.0,20.0,14,10,125,1.0
3166,11d7273d,0,19,2,13.0,5.0,9.0,2,2,19,0.0
3190,11e8a164,0,39,52,11.0,3.0,6.0,52,1,39,1.0
3194,11ebd529,0,52,36,32.0,9.0,17.0,36,2,52,1.0
3205,120c29d3,0,9,0,3.0,1.0,3.0,0,0,9,1.0
3215,121ccfa7,0,16,8,11.0,2.0,9.0,8,8,16,0.0
3225,12381f34,0,20,11,15.0,1.0,10.0,11,10,20,0.0
3231,123e6920,2,1,90,0.0,0.0,0.0,2,2,152,1.0
3233,123fde23,1,42,142,16.0,8.0,11.0,140,21,105,1.0
3278,1279bda8,0,50,107,27.0,7.0,20.0,107,42,50,1.0
3307,12a1bc57,0,28,8,12.0,6.0,11.0,8,1,28,0.0
3312,12a436e0,0,24,14,2.0,1.0,1.0,14,5,24,0.0
3327,12c99e0c,0,6,10,2.0,1.0,2.0,10,10,6,1.0
3344,12db1140,0,2,94,0.0,0.0,0.0,94,94,2,1.0
3346,12dd30fe,0,41,11,31.0,3.0,17.0,11,11,41,0.0
3352,12e7a320,0,33,140,9.0,2.0,8.0,140,0,33,1.0
3358,12f2e735,0,17,6,12.0,3.0,11.0,6,6,17,0.0
3379,1316a3d4,0,32,144,3.0,1.0,2.0,144,1,32,0.0
3397,132bda83,0,24,13,11.0,2.0,8.0,13,13,24,1.0
3407,133f4086,0,26,44,7.0,3.0,5.0,44,34,26,1.0
3426,1358fec9,0,48,10,16.0,5.0,12.0,10,0,48,0.0
3521,13d32aad,0,11,10,3.0,2.0,2.0,10,9,11,0.0
3557,140376d0,0,26,15,18.0,3.0,10.0,15,14,26,1.0
3598,14391000,0,27,90,6.0,2.0,5.0,90,11,27,0.0
3602,143e5ad8,0,15,13,10.0,2.0,6.0,13,13,15,0.0
3649,148824a9,0,5,60,2.0,1.0,1.0,60,60,5,0.0
3663,14a041b1,0,21,18,4.0,3.0,3.0,18,5,21,1.0
3669,14a27943,3,52,52,8.0,4.0,6.0,10,2,151,0.0
3684,14b26f9d,0,38,115,25.0,2.0,16.0,115,115,38,1.0
3692,14ba67bf,2,16,21,1.0,1.0,1.0,15,6,45,1.0
3701,14cae6f7,0,4,6,1.0,1.0,1.0,6,6,4,0.0
3704,14d40cd3,0,25,15,21.0,2.0,16.0,15,15,25,0.0
3727,14fb3669,0,22,1,11.0,4.0,9.0,1,1,22,1.0
3734,1502b35a,0,21,3,10.0,2.0,8.0,3,3,21,0.0
3748,1512cf56,0,8,71,6.0,1.0,3.0,71,71,8,0.0
3752,1517be31,0,19,3,14.0,4.0,9.0,3,3,19,1.0
3754,151d20bb,0,100,73,28.0,5.0,11.0,73,9,100,0.0
3769,15314cda,0,49,74,17.0,8.0,14.0,74,0,49,0.0
3822,1579294d,0,4,14,1.0,1.0,1.0,14,14,4,0.0
3890,15be2d88,2,108,17,23.0,6.0,21.0,16,0,125,0.0
3894,15c6f544,0,3,20,1.0,1.0,1.0,20,20,3,0.0
3896,15c99b91,0,46,7,17.0,6.0,10.0,7,3,46,1.0
3901,15d35ec5,0,12,2,7.0,4.0,4.0,2,2,12,1.0
3907,15de4f10,0,22,95,6.0,1.0,5.0,95,95,22,1.0
3942,16068469,0,9,11,1.0,1.0,1.0,11,11,9,0.0
3971,16319654,0,30,9,15.0,6.0,10.0,9,9,31,1.0
3982,1646735f,0,66,16,50.0,6.0,35.0,16,2,66,0.0
3994,164fa3da,5,135,91,10.0,7.0,8.0,70,23,201,1.0
4019,166f19e2,2,1,7,0.0,0.0,0.0,7,7,43,0.0
4037,168871d5,1,40,42,15.0,4.0,12.0,21,14,124,1.0
4068,16aeeb9c,0,21,2,9.0,6.0,6.0,2,2,21,0.0
4093,16ca89f1,0,47,23,27.0,5.0,18.0,23,23,47,0.0
4114,16e8b186,0,39,70,14.0,8.0,8.0,70,0,39,0.0
4157,171e75cb,1,340,88,274.0,21.0,95.0,37,0,1212,1.0
4198,17582b38,0,74,10,66.0,9.0,24.0,10,10,74,0.0
4206,175db121,0,12,29,8.0,2.0,5.0,29,17,12,1.0
4224,177bc00b,0,101,25,69.0,17.0,38.0,25,6,101,1.0
4226,177f1298,0,277,82,83.0,21.0,43.0,82,2,277,1.0
4240,179ae39f,1,6,10,3.0,1.0,3.0,10,10,68,1.0
4251,17af99ce,0,379,136,218.0,10.0,55.0,136,10,379,0.0
4264,17c183c9,0,191,51,62.0,23.0,38.0,51,8,191,0.0
4280,17d914b5,0,33,15,12.0,5.0,10.0,15,15,33,0.0
4337,181cfff7,0,20,2,5.0,2.0,5.0,2,1,20,1.0
4351,1836c63e,0,4,31,0.0,0.0,0.0,31,31,4,1.0
4399,18836593,0,54,47,38.0,3.0,23.0,47,5,54,0.0
4412,189c451b,0,77,50,44.0,15.0,31.0,50,13,77,1.0
4468,18e77b0a,0,100,6,68.0,8.0,27.0,6,0,100,1.0
4492,18f39a0c,0,251,42,218.0,32.0,88.0,42,2,251,1.0
4525,1924169c,0,23,24,9.0,3.0,8.0,24,16,23,0.0
4568,196292f4,0,10,7,0.0,0.0,0.0,7,7,10,1.0
4594,197a619e,0,8,68,1.0,1.0,1.0,68,20,8,1.0
4621,199cf3c4,2,25,9,7.0,4.0,6.0,5,2,168,1.0
4666,19ed4344,0,199,17,81.0,9.0,36.0,17,0,200,1.0
4669,19f17086,0,20,1,9.0,2.0,7.0,1,1,20,1.0
4676,19fcbcd5,4,60,16,0.0,0.0,0.0,15,1,119,0.0
4687,1a13b8e3,0,31,8,14.0,5.0,10.0,8,8,31,0.0
4795,1aa9a72d,0,7,13,2.0,1.0,2.0,13,13,7,0.0
4832,1adba253,0,37,20,13.0,5.0,12.0,20,18,37,1.0
4833,1adbef81,0,16,10,10.0,2.0,5.0,10,10,16,0.0
4844,1af2fba9,0,3,4,0.0,0.0,0.0,4,4,3,0.0
4850,1af68b74,0,26,123,9.0,5.0,9.0,123,122,26,1.0
4868,1b17b334,0,3,103,1.0,1.0,1.0,103,103,3,1.0
4928,1b59ca78,0,240,115,193.0,22.0,103.0,115,0,240,1.0
4943,1b6dcd58,0,102,12,89.0,7.0,40.0,12,9,102,0.0
4946,1b743501,0,28,23,7.0,6.0,6.0,23,9,28,1.0
4956,1b8e391b,0,243,148,86.0,17.0,45.0,148,0,243,0.0
4960,1b9402e3,0,121,15,83.0,13.0,34.0,15,14,121,0.0
4991,1bc7f14b,0,35,6,11.0,3.0,9.0,6,0,35,1.0
4992,1bc807ce,0,166,21,83.0,9.0,37.0,21,2,166,0.0
5006,1bd6991e,0,30,41,6.0,5.0,5.0,41,27,30,1.0
5011,1be6a8c9,0,28,57,3.0,3.0,3.0,57,54,28,1.0
5029,1bf887bc,0,23,57,11.0,5.0,6.0,57,0,23,1.0
5032,1bf9ead1,0,30,8,6.0,5.0,5.0,8,6,30,0.0
5062,1c2db492,0,25,12,14.0,2.0,6.0,12,5,25,0.0
5070,1c3a4e83,0,115,20,46.0,15.0,20.0,20,1,115,1.0
5090,1c60e88e,1,3,4,1.0,1.0,1.0,4,4,7,0.0
5092,1c659ca3,0,7,2,1.0,1.0,1.0,2,1,7,0.0
5095,1c6dd51b,0,174,9,125.0,11.0,37.0,9,0,174,1.0
5116,1c8c689c,0,107,2,83.0,23.0,45.0,2,0,107,1.0
5126,1ca2e9f3,0,85,10,32.0,10.0,17.0,10,10,85,0.0
5186,1cfa87f1,1,6,79,0.0,0.0,0.0,79,78,20,1.0
5203,1d1e0b7b,0,2,2,0.0,0.0,0.0,2,2,2,0.0
5272,1d9eb251,0,43,11,8.0,6.0,6.0,11,6,43,1.0
5278,1daab2a9,0,48,49,33.0,5.0,19.0,49,3,48,1.0
5283,1db098ed,1,2,5,0.0,0.0,0.0,5,5,22,0.0
5285,1db28990,0,9,12,2.0,1.0,1.0,12,12,9,0.0
5322,1dec914f,0,88,35,76.0,13.0,42.0,35,27,89,1.0
5341,1e0d9fa0,0,68,14,38.0,15.0,23.0,14,2,68,1.0
5357,1e1c0dc4,0,35,13,24.0,6.0,16.0,13,13,35,0.0
5376,1e32ded5,2,0,79,0.0,0.0,0.0,79,79,13,1.0
5389,1e457775,0,5,12,0.0,0.0,0.0,12,12,5,0.0
5413,1e6c6b03,0,43,10,10.0,5.0,8.0,10,10,43,0.0
5459,1eab3f70,0,22,29,11.0,4.0,8.0,29,29,22,1.0
5478,1ec1911d,0,188,50,76.0,25.0,46.0,50,4,188,0.0
5499,1ee88eac,0,20,24,7.0,3.0,7.0,24,23,20,1.0
5500,1eea3f31,0,48,39,24.0,13.0,18.0,39,4,48,0.0
5501,1eecb1a5,0,27,0,9.0,6.0,8.0,0,0,27,0.0
5512,1f00f763,0,3,1,0.0,0.0,0.0,1,1,3,0.0
5534,1f2e9790,0,15,16,10.0,1.0,7.0,16,16,15,0.0
5545,1f3f33d8,0,160,53,52.0,33.0,47.0,53,0,160,0.0
5570,1f6109b9,1,176,23,55.0,14.0,29.0,16,0,389,0.0
5571,1f62dcbc,0,55,73,27.0,5.0,20.0,73,1,55,1.0
5589,1f7f4cf4,0,103,6,80.0,19.0,52.0,6,0,103,1.0
5599,1f95ac0b,0,25,16,20.0,6.0,16.0,16,16,25,0.0
5632,1fd5c0ed,0,20,56,6.0,5.0,5.0,56,14,20,1.0
5666,1fefe0d6,0,9,4,6.0,1.0,4.0,4,4,9,0.0
5699,203297ab,0,4,145,1.0,1.0,1.0,145,145,4,1.0
5727,204d58cd,0,4,14,1.0,1.0,1.0,14,14,4,0.0
5744,205d9c1a,2,36,27,12.0,2.0,3.0,23,14,65,1.0
5782,20950506,0,216,19,107.0,33.0,67.0,19,0,216,1.0
5787,209e9ed6,0,229,3,177.0,19.0,66.0,3,0,229,0.0
5825,20dadf21,0,2,1,1.0,1.0,1.0,1,1,2,1.0
5830,20e10e13,0,24,35,4.0,3.0,4.0,35,16,24,0.0
5838,20f19665,0,6,1,2.0,1.0,1.0,1,1,6,0.0
5845,20f602c7,0,29,1,22.0,8.0,17.0,1,0,29,1.0
5862,210fd6d9,0,4,51,0.0,0.0,0.0,51,51,4,1.0
5865,21130ceb,0,46,27,29.0,5.0,18.0,27,24,46,1.0
5914,2149ac0a,0,7,2,2.0,1.0,1.0,2,2,7,0.0
5916,214c95b5,0,6,22,2.0,1.0,1.0,22,16,6,1.0
5951,2186af71,0,7,1,3.0,1.0,2.0,1,1,7,0.0
5958,218e00a8,0,8,23,2.0,1.0,1.0,23,22,8,0.0
6016,21f5eeda,0,13,1,4.0,2.0,3.0,1,0,13,1.0
6017,21f67ee5,0,3,47,1.0,1.0,1.0,47,47,3,1.0
6043,2227dfd2,0,89,0,32.0,17.0,27.0,0,0,89,0.0
6082,2260ca72,0,6,1,2.0,2.0,2.0,1,1,6,1.0
6099,2280ebc0,0,153,25,73.0,21.0,37.0,25,1,153,1.0
6101,22831d56,0,10,5,3.0,1.0,2.0,5,5,11,1.0
6118,22941a0e,0,34,9,19.0,5.0,14.0,9,1,34,0.0
6136,22b0bd67,1,2,20,0.0,0.0,0.0,20,20,45,1.0
6137,22b2eda9,0,116,8,91.0,5.0,23.0,8,5,116,0.0
6139,22b79201,0,7,7,3.0,1.0,2.0,7,7,7,0.0
6140,22b9085f,0,341,11,197.0,29.0,82.0,11,6,341,1.0
6155,22cfc3f5,0,127,133,72.0,12.0,37.0,133,4,127,1.0
6156,22d002ee,0,56,36,12.0,4.0,9.0,36,0,56,0.0
6181,22f7466d,0,10,3,1.0,1.0,1.0,3,3,10,1.0
6193,230f09a6,0,177,9,125.0,4.0,25.0,9,0,177,1.0
6221,233fedd9,0,38,31,12.0,5.0,8.0,31,1,38,0.0
6230,234a8e4d,0,175,24,81.0,14.0,21.0,24,1,175,1.0
6304,23a7e315,0,16,20,9.0,1.0,3.0,20,20,16,0.0
6311,23ab6405,0,85,55,52.0,4.0,28.0,55,5,85,0.0
6324,23ba9770,0,55,2,25.0,5.0,13.0,2,1,55,0.0
6372,24120769,0,6,7,2.0,2.0,2.0,7,7,6,1.0
6401,243b697a,0,98,43,24.0,7.0,17.0,43,12,98,0.0
6417,244f6e26,0,12,9,4.0,4.0,4.0,9,9,12,0.0
6475,2486de05,1,98,44,50.0,4.0,18.0,27,3,136,1.0
6485,249b55fc,0,15,13,3.0,1.0,1.0,13,13,15,0.0
6495,24aaa37f,0,3,22,1.0,1.0,1.0,22,22,3,1.0
6501,24b515a9,0,22,27,9.0,6.0,6.0,27,26,22,1.0
6520,24cd912d,0,28,0,13.0,10.0,10.0,0,0,28,1.0
6553,2501a39b,0,29,0,26.0,3.0,16.0,0,0,29,1.0
6558,250ab93b,0,6,89,0.0,0.0,0.0,89,88,6,0.0
6604,254ecc8e,0,8,12,2.0,1.0,1.0,12,11,8,0.0
6628,2576d981,0,56,73,25.0,18.0,21.0,73,65,56,1.0
6666,25b9a0cb,0,18,56,4.0,2.0,3.0,56,2,18,0.0
6685,25cb8185,1,2,59,1.0,1.0,1.0,1,1,148,1.0
6701,25e4a370,0,3,0,1.0,1.0,1.0,0,0,3,1.0
6705,25e93ac1,0,9,3,3.0,3.0,3.0,3,3,9,0.0
6716,25f9cfad,0,18,104,4.0,2.0,3.0,104,84,18,0.0
6742,261a59e5,0,10,16,3.0,2.0,2.0,16,16,10,0.0
6751,26232807,0,28,137,9.0,5.0,7.0,137,5,28,1.0
6832,26785ec1,0,52,7,28.0,4.0,16.0,7,2,52,0.0
6838,267da165,0,15,10,10.0,1.0,6.0,10,10,15,0.0
6852,26a30a4a,1,6,3,1.0,1.0,1.0,1,1,52,1.0
6911,2702c421,0,12,10,1.0,1.0,1.0,10,10,12,0.0
6935,27258fd2,0,17,84,0.0,0.0,0.0,84,29,17,1.0
6966,2743f13d,0,177,43,65.0,21.0,35.0,43,0,177,1.0
7016,27a8f79c,0,43,99,4.0,2.0,2.0,99,0,43,0.0
7034,27c28c38,0,7,7,3.0,1.0,3.0,7,7,7,0.0
7051,27d91cf7,0,15,10,6.0,2.0,6.0,10,10,15,0.0
7054,27dcd164,0,8,16,2.0,1.0,1.0,16,16,8,0.0
7065,27e6c5b7,0,129,68,64.0,17.0,39.0,68,9,129,0.0
7189,28c452a4,0,16,20,4.0,2.0,4.0,20,13,16,0.0
7194,28c9ec04,0,11,10,2.0,1.0,1.0,10,3,11,1.0
7197,28ceac01,0,306,127,232.0,11.0,84.0,127,0,306,1.0
7200,28d5cb33,0,35,5,13.0,5.0,6.0,5,0,35,0.0
7222,28e84896,2,3,62,0.0,0.0,0.0,11,9,106,0.0
7283,293b0188,0,51,9,22.0,16.0,19.0,9,8,51,0.0
7288,2947e5a7,0,22,10,10.0,3.0,5.0,10,10,22,0.0
7323,2968f0d6,0,545,29,393.0,77.0,212.0,29,0,545,0.0
7345,298272c5,0,8,8,2.0,1.0,1.0,8,8,8,1.0
7352,298b4049,0,46,34,16.0,7.0,11.0,34,10,46,0.0
7421,2a044f2b,0,83,28,52.0,7.0,23.0,28,1,83,0.0
7472,2a4783ef,0,78,13,53.0,11.0,25.0,13,8,78,0.0
7489,2a5a9e07,0,6,0,3.0,1.0,3.0,0,0,6,0.0
7544,2aaeaed1,0,25,114,10.0,5.0,9.0,114,10,25,0.0
7546,2ab41c62,0,6,2,1.0,1.0,1.0,2,0,6,1.0
7568,2accc465,0,37,0,17.0,6.0,15.0,0,0,37,0.0
7607,2b0d7dc5,0,207,63,168.0,36.0,108.0,63,0,207,1.0
7611,2b11fb75,0,112,19,109.0,16.0,68.0,19,1,112,1.0
7624,2b2c93bf,0,41,14,29.0,2.0,13.0,14,2,41,0.0
7630,2b31ea60,0,24,6,12.0,1.0,3.0,6,1,24,1.0
7640,2b41a2f6,0,41,104,15.0,9.0,12.0,104,31,41,0.0
7646,2b466fe9,0,99,19,58.0,7.0,22.0,19,0,99,1.0
7663,2b5eac99,0,29,10,8.0,2.0,4.0,10,10,29,0.0
7675,2b771160,0,29,112,8.0,6.0,8.0,112,2,29,0.0
7681,2b7ea8eb,0,24,35,5.0,2.0,2.0,35,8,24,1.0
7686,2b81e8f3,1,39,56,22.0,2.0,7.0,17,7,171,1.0
7706,2b9def4b,0,75,59,11.0,9.0,9.0,59,5,75,1.0
7727,2bb8a9df,0,303,42,54.0,11.0,22.0,42,0,303,1.0
7745,2bcc2c97,0,12,5,4.0,1.0,3.0,5,1,12,0.0
7749,2bd0dc85,0,36,13,21.0,3.0,9.0,13,9,36,0.0
7780,2bfb1865,0,117,82,75.0,12.0,47.0,82,12,117,0.0
7788,2c050c68,1,118,48,10.0,3.0,7.0,45,7,208,1.0
7790,2c071e5d,0,73,23,25.0,6.0,12.0,23,0,73,0.0
7811,2c33a520,0,15,117,2.0,1.0,1.0,117,16,15,0.0
7819,2c4b7ffe,0,15,9,10.0,2.0,4.0,9,9,15,0.0
7821,2c4de8c5,0,81,39,36.0,9.0,24.0,39,4,81,0.0
7839,2c6a546a,0,4,6,1.0,1.0,1.0,6,6,4,0.0
7844,2c715ebd,0,7,28,1.0,1.0,1.0,28,24,7,0.0
7846,2c71d6dd,0,42,43,12.0,6.0,9.0,43,13,42,0.0
7873,2c8e6472,0,10,3,5.0,1.0,3.0,3,3,10,0.0
