,person,#Camino,#pasos_antes_comprar,primera_actividad,modelos_vistos,modelos_distintos,sku_distintos,primera_actividad_ultimo_paso,ultima_actividad,# Actividades,label
2753,0fad2e0e,0,16,1,10.0,2.0,6.0,1,1,16,0.0
2779,0fd9e6a2,0,48,8,36.0,2.0,17.0,8,8,48,0.0
2785,0fe8e51e,0,34,30,2.0,2.0,2.0,30,11,34,1.0
2792,0ff026f5,0,9,76,3.0,3.0,3.0,76,72,9,1.0
2826,101db800,0,9,9,5.0,1.0,2.0,9,9,9,0.0
2894,1074bfe5,1,25,11,16.0,9.0,16.0,10,10,85,0.0
2955,10bab9d5,0,3,1,1.0,1.0,1.0,1,1,3,0.0
2958,10bbcbd4,0,31,13,10.0,2.0,5.0,13,9,31,0.0
2976,10c9c105,0,14,0,8.0,1.0,7.0,0,0,14,0.0
3021,10ff5b8b,0,9,13,3.0,1.0,3.0,13,13,9,1.0
3136,11b247a4,0,125,14,64.0,8.0,20.0,14,10,125,1.0
3138,11b3a3b1,0,29,40,12.0,3.0,9.0,40,0,29,0.0
3150,11c30212,3,9,8,1.0,1.0,1.0,3,3,44,0.0
3174,11e2f9b6,0,16,1,6.0,2.0,2.0,1,1,16,0.0
3185,11e6d47a,2,10,9,0.0,0.0,0.0,7,1,23,0.0
3190,11e8a164,0,39,52,11.0,3.0,6.0,52,1,39,1.0
3194,11ebd529,0,52,36,32.0,9.0,17.0,36,2,52,1.0
3205,120c29d3,0,9,0,3.0,1.0,3.0,0,0,9,1.0
3220,1227745f,0,9,15,3.0,1.0,2.0,15,15,9,0.0
3231,123e6920,2,1,90,0.0,0.0,0.0,2,2,152,1.0
3233,123fde23,1,42,142,16.0,8.0,11.0,140,21,105,1.0
3278,1279bda8,0,50,107,27.0,7.0,20.0,107,42,50,1.0
3281,127b811f,0,4,1,1.0,1.0,1.0,1,1,4,0.0
3296,128951f4,0,65,50,30.0,4.0,21.0,50,3,65,0.0
3316,12aba4ee,0,15,16,7.0,4.0,6.0,16,9,15,0.0
3317,12aca694,0,57,1,45.0,8.0,27.0,1,0,57,0.0
3327,12c99e0c,0,6,10,2.0,1.0,2.0,10,10,6,1.0
3344,12db1140,0,2,94,0.0,0.0,0.0,94,94,2,1.0
3346,12dd30fe,0,41,11,31.0,3.0,17.0,11,11,41,0.0
3352,12e7a320,0,33,140,9.0,2.0,8.0,140,0,33,1.0
3397,132bda83,0,24,13,11.0,2.0,8.0,13,13,24,1.0
3407,133f4086,0,26,44,7.0,3.0,5.0,44,34,26,1.0
3441,1379b920,0,80,12,47.0,5.0,23.0,12,0,80,0.0
3450,13807d38,0,46,57,20.0,6.0,12.0,57,8,46,0.0
3465,1394e69c,0,13,0,9.0,3.0,6.0,0,0,13,0.0
3483,13ab9f13,0,41,19,23.0,2.0,15.0,19,1,41,0.0
3484,13add7fa,0,180,37,111.0,11.0,55.0,37,2,180,0.0
3522,13d36660,0,58,13,30.0,15.0,21.0,13,9,58,0.0
3541,13ed1966,0,34,97,16.0,4.0,9.0,97,5,34,0.0
3557,140376d0,0,26,15,18.0,3.0,10.0,15,14,26,1.0
3565,1411a6d9,0,4,4,2.0,1.0,1.0,4,4,4,0.0
3598,14391000,0,27,90,6.0,2.0,5.0,90,11,27,0.0
3613,1449a617,0,39,9,6.0,3.0,4.0,9,8,39,0.0
3637,146d9687,0,15,53,5.0,4.0,5.0,53,28,15,0.0
3656,14906419,0,8,11,4.0,1.0,3.0,11,11,8,0.0
3663,14a041b1,0,21,18,4.0,3.0,3.0,18,5,21,1.0
3670,14a322fd,0,7,16,1.0,1.0,1.0,16,16,7,0.0
3684,14b26f9d,0,38,115,25.0,2.0,16.0,115,115,38,1.0
3692,14ba67bf,2,16,21,1.0,1.0,1.0,15,6,45,1.0
3704,14d40cd3,0,25,15,21.0,2.0,16.0,15,15,25,0.0
3713,14e19427,0,33,0,12.0,5.0,8.0,0,0,33,0.0
3727,14fb3669,0,22,1,11.0,4.0,9.0,1,1,22,1.0
3728,14fd0b3c,0,74,23,21.0,8.0,13.0,23,10,74,0.0
3752,1517be31,0,19,3,14.0,4.0,9.0,3,3,19,1.0
3786,1544621e,0,15,8,8.0,1.0,3.0,8,8,15,0.0
3811,15696a58,0,22,3,10.0,2.0,4.0,3,0,22,0.0
3821,15789df4,0,16,1,4.0,2.0,4.0,1,1,16,0.0
3833,158db2ea,0,12,9,3.0,1.0,1.0,9,8,12,0.0
3838,158ebc3b,4,68,131,25.0,5.0,19.0,70,8,632,0.0
3866,15a70aeb,0,22,0,13.0,2.0,10.0,0,0,22,0.0
3896,15c99b91,0,46,7,17.0,6.0,10.0,7,3,46,1.0
3901,15d35ec5,0,12,2,7.0,4.0,4.0,2,2,12,1.0
3906,15dd64f8,0,22,2,13.0,3.0,8.0,2,2,22,0.0
3907,15de4f10,0,22,95,6.0,1.0,5.0,95,95,22,1.0
3912,15e804cc,0,31,15,9.0,3.0,4.0,15,13,31,0.0
3930,15fbfbaa,0,4,6,1.0,1.0,1.0,6,6,4,0.0
3971,16319654,0,30,9,15.0,6.0,10.0,9,9,31,1.0
3980,16426a08,0,13,19,3.0,1.0,1.0,19,5,13,0.0
3982,1646735f,0,66,16,50.0,6.0,35.0,16,2,66,0.0
3994,164fa3da,5,135,91,10.0,7.0,8.0,70,23,201,1.0
4037,168871d5,1,40,42,15.0,4.0,12.0,21,14,124,1.0
4071,16b0f5bb,0,4,2,1.0,1.0,1.0,2,2,4,0.0
4122,16f28923,0,173,5,167.0,17.0,108.0,5,0,173,0.0
4157,171e75cb,1,340,88,274.0,21.0,95.0,37,0,1212,1.0
4206,175db121,0,12,29,8.0,2.0,5.0,29,17,12,1.0
4216,176ccd75,0,29,23,13.0,1.0,6.0,23,3,29,0.0
4224,177bc00b,0,101,25,69.0,17.0,38.0,25,6,101,1.0
4226,177f1298,0,277,82,83.0,21.0,43.0,82,2,277,1.0
4240,179ae39f,1,6,10,3.0,1.0,3.0,10,10,68,1.0
4258,17b65b04,2,6,141,2.0,1.0,1.0,16,16,230,0.0
4296,17ea373e,0,117,19,95.0,31.0,63.0,19,9,117,0.0
4313,180200a4,1,6,9,2.0,2.0,2.0,9,4,15,0.0
4337,181cfff7,0,20,2,5.0,2.0,5.0,2,1,20,1.0
4348,182fd462,0,4,2,1.0,1.0,1.0,2,2,4,0.0
4351,1836c63e,0,4,31,0.0,0.0,0.0,31,31,4,1.0
4395,187e19a3,0,4,2,1.0,1.0,1.0,2,2,4,0.0
4397,1881d0d9,0,30,28,8.0,4.0,6.0,28,16,30,0.0
4412,189c451b,0,77,50,44.0,15.0,31.0,50,13,77,1.0
4468,18e77b0a,0,100,6,68.0,8.0,27.0,6,0,100,1.0
4492,18f39a0c,0,251,42,218.0,32.0,88.0,42,2,251,1.0
4513,190f9a00,0,4,1,1.0,1.0,1.0,1,1,4,0.0
4568,196292f4,0,10,7,0.0,0.0,0.0,7,7,10,1.0
4584,197832d7,0,8,16,3.0,2.0,2.0,16,16,8,0.0
4594,197a619e,0,8,68,1.0,1.0,1.0,68,20,8,1.0
4621,199cf3c4,2,25,9,7.0,4.0,6.0,5,2,168,1.0
4666,19ed4344,0,199,17,81.0,9.0,36.0,17,0,200,1.0
4669,19f17086,0,20,1,9.0,2.0,7.0,1,1,20,1.0
4689,1a16d494,0,50,8,25.0,7.0,17.0,8,8,50,0.0
4702,1a2e3e29,1,23,14,2.0,1.0,2.0,7,3,39,0.0
4750,1a7e1231,0,4,13,1.0,1.0,1.0,13,13,4,0.0
4768,1a8add83,0,65,9,38.0,15.0,23.0,9,2,65,0.0
4781,1a92f5b1,0,4,116,0.0,0.0,0.0,116,116,4,0.0
4832,1adba253,0,37,20,13.0,5.0,12.0,20,18,37,1.0
4850,1af68b74,0,26,123,9.0,5.0,9.0,123,122,26,1.0
4851,1afbc2ef,0,22,12,17.0,2.0,9.0,12,12,22,0.0
4863,1b0ec4ec,3,835,69,633.0,15.0,170.0,64,6,1167,0.0
4868,1b17b334,0,3,103,1.0,1.0,1.0,103,103,3,1.0
4928,1b59ca78,0,240,115,193.0,22.0,103.0,115,0,240,1.0
4936,1b621d31,0,70,0,32.0,9.0,11.0,0,0,70,0.0
4946,1b743501,0,28,23,7.0,6.0,6.0,23,9,28,1.0
4954,1b835cc0,0,43,4,39.0,4.0,22.0,4,4,43,0.0
4991,1bc7f14b,0,35,6,11.0,3.0,9.0,6,0,35,1.0
4992,1bc807ce,0,166,21,83.0,9.0,37.0,21,2,166,0.0
5006,1bd6991e,0,30,41,6.0,5.0,5.0,41,27,30,1.0
5011,1be6a8c9,0,28,57,3.0,3.0,3.0,57,54,28,1.0
5020,1bf1aeef,0,206,6,169.0,31.0,83.0,6,5,206,0.0
5029,1bf887bc,0,23,57,11.0,5.0,6.0,57,0,23,1.0
5032,1bf9ead1,0,30,8,6.0,5.0,5.0,8,6,30,0.0
5070,1c3a4e83,0,115,20,46.0,15.0,20.0,20,1,115,1.0
5095,1c6dd51b,0,174,9,125.0,11.0,37.0,9,0,174,1.0
5108,1c7f0e39,0,18,8,4.0,2.0,3.0,8,8,18,0.0
5116,1c8c689c,0,107,2,83.0,23.0,45.0,2,0,107,1.0
5121,1c953672,0,22,7,9.0,2.0,5.0,7,6,22,0.0
5167,1ce1ab16,0,3,10,0.0,0.0,0.0,10,10,3,0.0
5175,1ced74a7,0,41,8,13.0,4.0,6.0,8,2,41,0.0
5186,1cfa87f1,1,6,79,0.0,0.0,0.0,79,78,20,1.0
5196,1d1b2659,0,79,118,31.0,6.0,21.0,118,2,79,0.0
5232,1d4a4b80,0,7,14,3.0,1.0,2.0,14,14,7,0.0
5256,1d822afe,0,4,13,1.0,1.0,1.0,13,13,4,0.0
5268,1d94a485,0,31,9,5.0,2.0,4.0,9,9,31,0.0
5272,1d9eb251,0,43,11,8.0,6.0,6.0,11,6,43,1.0
5278,1daab2a9,0,48,49,33.0,5.0,19.0,49,3,48,1.0
5301,1dcfcf1a,0,3,14,0.0,0.0,0.0,14,14,3,0.0
5322,1dec914f,0,88,35,76.0,13.0,42.0,35,27,89,1.0
5341,1e0d9fa0,0,68,14,38.0,15.0,23.0,14,2,68,1.0
5376,1e32ded5,2,0,79,0.0,0.0,0.0,79,79,13,1.0
5380,1e38acb8,0,23,106,5.0,2.0,4.0,106,0,23,0.0
5384,1e3fff82,0,130,6,96.0,14.0,47.0,6,4,130,0.0
5388,1e44bfab,0,12,10,5.0,1.0,4.0,10,8,12,0.0
5419,1e7413dd,0,38,14,24.0,5.0,12.0,14,6,38,0.0
5429,1e78883f,0,29,0,16.0,2.0,11.0,0,0,29,0.0
5459,1eab3f70,0,22,29,11.0,4.0,8.0,29,29,22,1.0
5499,1ee88eac,0,20,24,7.0,3.0,7.0,24,23,20,1.0
5545,1f3f33d8,0,160,53,52.0,33.0,47.0,53,0,160,0.0
5571,1f62dcbc,0,55,73,27.0,5.0,20.0,73,1,55,1.0
5589,1f7f4cf4,0,103,6,80.0,19.0,52.0,6,0,103,1.0
5630,1fd053d3,0,3,31,0.0,0.0,0.0,31,31,3,0.0
5632,1fd5c0ed,0,20,56,6.0,5.0,5.0,56,14,20,1.0
5699,203297ab,0,4,145,1.0,1.0,1.0,145,145,4,1.0
5716,20420a9a,1,4,3,2.0,1.0,1.0,3,3,40,0.0
5722,2047c93f,0,33,14,10.0,5.0,7.0,14,10,33,0.0
5725,204a563f,0,4,15,1.0,1.0,1.0,15,15,4,0.0
5726,204c6569,0,28,5,19.0,13.0,14.0,5,5,28,0.0
5744,205d9c1a,2,36,27,12.0,2.0,3.0,23,14,65,1.0
5779,20941cb7,0,28,21,13.0,4.0,9.0,21,9,28,0.0
5782,20950506,0,216,19,107.0,33.0,67.0,19,0,216,1.0
5790,20a7ceeb,0,20,9,15.0,6.0,11.0,9,9,20,0.0
5825,20dadf21,0,2,1,1.0,1.0,1.0,1,1,2,1.0
5831,20e78c0f,0,35,23,13.0,3.0,10.0,23,14,35,0.0
5845,20f602c7,0,29,1,22.0,8.0,17.0,1,0,29,1.0
5847,20f82c37,0,53,27,17.0,7.0,12.0,27,0,53,0.0
5851,20fe380b,0,4,5,1.0,1.0,1.0,5,5,4,0.0
5862,210fd6d9,0,4,51,0.0,0.0,0.0,51,51,4,1.0
5865,21130ceb,0,46,27,29.0,5.0,18.0,27,24,46,1.0
5877,212454da,0,4,8,1.0,1.0,1.0,8,8,4,0.0
5899,213e12d0,1,30,16,22.0,3.0,13.0,14,5,94,0.0
5916,214c95b5,0,6,22,2.0,1.0,1.0,22,16,6,1.0
6016,21f5eeda,0,13,1,4.0,2.0,3.0,1,0,13,1.0
6017,21f67ee5,0,3,47,1.0,1.0,1.0,47,47,3,1.0
6025,220a7796,0,10,9,3.0,2.0,3.0,9,9,10,0.0
6027,220cf640,0,76,10,56.0,9.0,33.0,10,2,76,0.0
6082,2260ca72,0,6,1,2.0,2.0,2.0,1,1,6,1.0
6099,2280ebc0,0,153,25,73.0,21.0,37.0,25,1,153,1.0
6100,22823667,0,29,85,10.0,5.0,9.0,85,26,29,0.0
6101,22831d56,0,10,5,3.0,1.0,2.0,5,5,11,1.0
6136,22b0bd67,1,2,20,0.0,0.0,0.0,20,20,45,1.0
6140,22b9085f,0,341,11,197.0,29.0,82.0,11,6,341,1.0
6155,22cfc3f5,0,127,133,72.0,12.0,37.0,133,4,127,1.0
6181,22f7466d,0,10,3,1.0,1.0,1.0,3,3,10,1.0
6193,230f09a6,0,177,9,125.0,4.0,25.0,9,0,177,1.0
6230,234a8e4d,0,175,24,81.0,14.0,21.0,24,1,175,1.0
6231,234b346a,0,7,7,2.0,1.0,1.0,7,7,7,0.0
6300,23a215d7,0,38,12,23.0,10.0,15.0,12,10,38,0.0
6330,23ca96cb,0,9,12,3.0,2.0,2.0,12,12,9,0.0
6344,23e37757,1,2,10,0.0,0.0,0.0,2,2,10,0.0
6372,24120769,0,6,7,2.0,2.0,2.0,7,7,6,1.0
6382,241f6e2b,0,4,10,1.0,1.0,1.0,10,10,4,0.0
6391,242ffdbc,2,5,75,1.0,1.0,1.0,1,0,121,0.0
6437,245b5e07,0,12,17,2.0,2.0,2.0,17,7,12,0.0
6467,247b20ac,0,95,63,70.0,4.0,30.0,63,1,95,0.0
6475,2486de05,1,98,44,50.0,4.0,18.0,27,3,136,1.0
6486,249d5815,0,32,6,17.0,7.0,9.0,6,1,32,0.0
6495,24aaa37f,0,3,22,1.0,1.0,1.0,22,22,3,1.0
6501,24b515a9,0,22,27,9.0,6.0,6.0,27,26,22,1.0
6504,24bb3db1,0,4,3,1.0,1.0,1.0,3,3,4,0.0
6520,24cd912d,0,28,0,13.0,10.0,10.0,0,0,28,1.0
6521,24cf4808,0,102,115,36.0,8.0,21.0,115,7,102,0.0
6553,2501a39b,0,29,0,26.0,3.0,16.0,0,0,29,1.0
6603,254dacb4,0,4,1,1.0,1.0,1.0,1,1,4,0.0
6628,2576d981,0,56,73,25.0,18.0,21.0,73,65,56,1.0
6633,2582934e,0,4,4,1.0,1.0,1.0,4,4,4,0.0
6639,258ea149,0,7,2,2.0,1.0,1.0,2,2,7,0.0
6655,25a71f52,0,15,7,4.0,1.0,2.0,7,7,15,0.0
6685,25cb8185,1,2,59,1.0,1.0,1.0,1,1,148,1.0
6701,25e4a370,0,3,0,1.0,1.0,1.0,0,0,3,1.0
6719,25fd0b2d,0,18,7,8.0,1.0,4.0,7,7,18,0.0
6730,260814bd,0,27,3,14.0,3.0,8.0,3,1,27,0.0
6739,2613f3bc,0,42,8,16.0,4.0,11.0,8,8,42,0.0
6751,26232807,0,28,137,9.0,5.0,7.0,137,5,28,1.0
6783,263752c6,0,70,2,57.0,11.0,40.0,2,1,70,0.0
6793,2641e505,0,69,11,28.0,9.0,16.0,11,7,69,0.0
6835,267a8ea4,0,8,5,3.0,1.0,1.0,5,5,8,0.0
6840,26855b91,0,58,9,41.0,5.0,24.0,9,2,58,0.0
6852,26a30a4a,1,6,3,1.0,1.0,1.0,1,1,52,1.0
6911,2702c421,0,12,10,1.0,1.0,1.0,10,10,12,0.0
6923,2718005b,0,30,11,12.0,2.0,7.0,11,9,30,0.0
6928,271c9e78,1,8,8,0.0,0.0,0.0,8,8,9,0.0
6932,2721041d,0,9,3,3.0,2.0,2.0,3,3,9,0.0
6934,27230487,0,23,41,8.0,3.0,7.0,41,19,23,0.0
6935,27258fd2,0,17,84,0.0,0.0,0.0,84,29,17,1.0
6954,273998ad,0,7,11,3.0,1.0,2.0,11,11,7,0.0
6956,273aa55c,0,12,16,4.0,4.0,4.0,16,16,12,0.0
6966,2743f13d,0,177,43,65.0,21.0,35.0,43,0,177,1.0
6980,275c35ca,0,7,2,1.0,1.0,1.0,2,2,7,0.0
7025,27b2deb6,0,43,13,35.0,8.0,19.0,13,13,43,0.0
7085,27fd1122,0,45,1,37.0,5.0,24.0,1,0,45,0.0
7113,284169d6,0,33,44,27.0,14.0,23.0,44,40,33,0.0
7143,287f650e,0,43,1,13.0,7.0,10.0,1,1,43,0.0
7172,28ab7f08,0,21,58,14.0,2.0,11.0,58,11,21,0.0
7187,28c25c82,0,179,114,79.0,21.0,40.0,114,3,179,0.0
7189,28c452a4,0,16,20,4.0,2.0,4.0,20,13,16,0.0
