,person,cant_sesiones_inac45MIN_ult_9999_dias,promedio_sesiones_sec_inac45MIN_ult_9999_dias,tiempo_total_sesiones_sec_inac45MIN_ult_9999_dias,cant_sesiones_inac45MIN_ult_30_dias,promedio_sesiones_sec_inac45MIN_ult_30_dias,tiempo_total_sesiones_sec_inac45MIN_ult_30_dias,cant_sesiones_inac45MIN_ult_25_dias,promedio_sesiones_sec_inac45MIN_ult_25_dias,tiempo_total_sesiones_sec_inac45MIN_ult_25_dias,cant_sesiones_inac45MIN_ult_20_dias,promedio_sesiones_sec_inac45MIN_ult_20_dias,tiempo_total_sesiones_sec_inac45MIN_ult_20_dias,cant_sesiones_inac45MIN_ult_15_dias,promedio_sesiones_sec_inac45MIN_ult_15_dias,tiempo_total_sesiones_sec_inac45MIN_ult_15_dias,cant_sesiones_inac45MIN_ult_10_dias,promedio_sesiones_sec_inac45MIN_ult_10_dias,tiempo_total_sesiones_sec_inac45MIN_ult_10_dias,cant_sesiones_inac45MIN_ult_5_dias,promedio_sesiones_sec_inac45MIN_ult_5_dias,tiempo_total_sesiones_sec_inac45MIN_ult_5_dias,cant_sesiones_inac45MIN_ult_1_dias,promedio_sesiones_sec_inac45MIN_ult_1_dias,tiempo_total_sesiones_sec_inac45MIN_ult_1_dias,samsung_vistos,iphone_vistos,motorola_vistos,total_marcas_vistas,%_vistos_samsung,%_vistos_motorola,%_vistos_iphone,modelos_vistos,modelos_distintos,sku_distintos,#Camino,compro,#pasos_antes_comprar,primera_actividad_ultimo_paso,ultima_actividad,primera_actividad,# Actividades,check_ult_9999_dias,check_ult_30_dias,check_ult_25_dias,check_ult_20_dias,check_ult_15_dias,check_ult_10_dias,check_ult_5_dias,check_ult_1_dias,act_ult_9999_dias,act_ult_30_dias,act_ult_25_dias,act_ult_20_dias,act_ult_15_dias,act_ult_10_dias,act_ult_5_dias,act_ult_1_dias,conv_ult_9999_dias,conv_ult_30_dias,conv_ult_25_dias,conv_ult_20_dias,conv_ult_15_dias,conv_ult_10_dias,conv_ult_5_dias,conv_ult_1_dias,mod_dist_check_ult_9999_dias,mod_dist_check_ult_30_dias,mod_dist_check_ult_25_dias,mod_dist_check_ult_20_dias,mod_dist_check_ult_15_dias,mod_dist_check_ult_10_dias,mod_dist_check_ult_5_dias,mod_dist_check_ult_1_dias,label
167,013136c4,1,99.0,99.0,1.0,99.0,99.0,1.0,99.0,99.0,1.0,99.0,99.0,1.0,99.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0,0,7,14,14,14,7,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
178,0143d796,1,1392.0,1392.0,1.0,1392.0,1392.0,1.0,1392.0,1392.0,1.0,1392.0,1392.0,1.0,1392.0,1392.0,1.0,1392.0,1392.0,1.0,1392.0,1392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,13.0,0,0,24,2,2,2,24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,24,24.0,24.0,24.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
227,0195ed3b,1,12.0,12.0,1.0,12.0,12.0,1.0,12.0,12.0,1.0,12.0,12.0,1.0,12.0,12.0,1.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,4,6,6,6,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
263,01cf1230,3,204.0,611.0,3.0,204.0,611.0,3.0,204.0,611.0,3.0,204.0,611.0,1.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,11.0,0.7272727272727273,0.0,0.2727272727272727,11.0,3.0,7.0,0,0,28,16,12,16,28,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,28,28.0,28.0,28.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
272,01ed2afc,1,25.0,25.0,1.0,25.0,25.0,1.0,25.0,25.0,1.0,25.0,25.0,1.0,25.0,25.0,1.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0,0,7,9,9,9,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
295,0211eed9,15,356.0,5344.0,9.0,186.0,1678.0,8.0,208.0,1665.0,5.0,148.0,742.0,3.0,145.0,436.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,48.0,1.0,0.0,0.0,48.0,2.0,8.0,1,0,35,20,3,45,139,15.0,6.0,6.0,3.0,2.0,0.0,0.0,0.0,139,44.0,41.0,26.0,17.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
309,0227ae9b,1,813.0,813.0,1.0,813.0,813.0,1.0,813.0,813.0,1.0,813.0,813.0,1.0,813.0,813.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,8,10,10,10,8,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,8,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
322,0234045a,3,207.0,620.0,2.0,266.0,533.0,2.0,266.0,533.0,2.0,266.0,533.0,2.0,266.0,533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,1.0,18.0,0.7777777777777778,0.05555555555555555,0.16666666666666666,19.0,13.0,15.0,0,0,34,76,12,76,34,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,34,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
358,02875920,4,99.0,397.0,2.0,190.0,381.0,2.0,190.0,381.0,2.0,190.0,381.0,1.0,139.0,139.0,1.0,139.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,6.0,0,0,29,57,7,57,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,22.0,22.0,22.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
360,02878a11,2,332.0,663.0,2.0,332.0,663.0,2.0,332.0,663.0,2.0,332.0,663.0,1.0,663.0,663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0,4.0,1.0,2.0,0,0,16,19,12,19,16,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,16,16.0,16.0,16.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
403,02d1f846,1,38.0,38.0,1.0,38.0,38.0,1.0,38.0,38.0,1.0,38.0,38.0,1.0,38.0,38.0,1.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,4,8,8,8,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
437,02fe14e6,4,949.0000000000001,3797.0000000000005,4.0,949.0000000000001,3797.0000000000005,3.0,99.0,298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,5.0,16.0,0.625,0.3125,0.0625,17.0,10.0,13.0,0,0,32,27,20,27,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,32.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
449,0310a8cd,1,193.0,193.0,1.0,193.0,193.0,1.0,193.0,193.0,1.0,193.0,193.0,1.0,193.0,193.0,1.0,193.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,0,0,6,8,8,8,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,6,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
457,031fcae5,27,773.0,20875.0,10.0,853.0,8527.0,8.0,316.0,2530.0,4.0,202.0,806.0,4.0,202.0,806.0,3.0,124.00000000000001,371.0,2.0,16.0,32.0,0.0,0.0,0.0,145.0,131.0,0.0,276.0,0.5253623188405797,0.0,0.4746376811594203,276.0,19.0,89.0,0,0,372,72,1,72,372,4.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,372,121.0,73.0,29.0,29.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
477,03490d00,1,64.0,64.0,1.0,64.0,64.0,1.0,64.0,64.0,1.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,5.0,0,0,13,15,15,15,13,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,13,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
501,03754d73,7,323.0,2258.0,1.0,2021.0000000000002,2021.0000000000002,1.0,2021.0000000000002,2021.0000000000002,1.0,2021.0000000000002,2021.0000000000002,1.0,2021.0000000000002,2021.0000000000002,1.0,2021.0000000000002,2021.0000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0,0,37,48,5,48,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,9.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
530,03a67237,1,837.0,837.0,1.0,837.0,837.0,1.0,837.0,837.0,1.0,837.0,837.0,1.0,837.0,837.0,1.0,837.0,837.0,1.0,837.0,837.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,0,0,13,2,2,2,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,13,13.0,13.0,13.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
559,03c99f07,5,459.00000000000006,2294.0,5.0,459.00000000000006,2294.0,5.0,459.00000000000006,2294.0,5.0,459.00000000000006,2294.0,5.0,459.00000000000006,2294.0,5.0,459.00000000000006,2294.0,5.0,459.00000000000006,2294.0,4.0,158.0,631.0,3.0,0.0,3.0,6.0,0.5,0.5,0.0,6.0,3.0,5.0,0,0,43,2,0,2,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,43.0,43.0,43.0,43.0,43.0,43.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
570,03db7c49,2,1028.0,2056.0,2.0,1028.0,2056.0,2.0,1028.0,2056.0,2.0,1028.0,2056.0,2.0,1028.0,2056.0,2.0,1028.0,2056.0,2.0,1028.0,2056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,3,1,1,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5.0,5.0,5.0,5.0,5.0,5.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
600,0404e68f,14,428.0,5990.0,1.0,142.0,142.0,1.0,142.0,142.0,1.0,142.0,142.0,1.0,142.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,71.0,1.0,73.0,0.0136986301369863,0.0136986301369863,0.9726027397260274,80.0,12.0,45.0,0,0,168,70,12,70,168,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168,18.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
618,041dc456,1,22.0,22.0,1.0,22.0,22.0,1.0,22.0,22.0,1.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,5.0,1.0,2.0,0,0,8,15,15,15,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
632,0432dba1,5,55.0,276.0,5.0,55.0,276.0,5.0,55.0,276.0,5.0,55.0,276.0,5.0,55.0,276.0,2.0,80.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,6.0,0,0,25,11,6,11,25,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,25,25.0,25.0,25.0,25.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
642,043ec736,60,1105.0,66295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,84.0,5.0,167.0,0.46706586826347307,0.029940119760479042,0.5029940119760479,200.0,45.0,90.0,1,0,325,64,31,102,568,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
659,0457712f,14,326.0,4559.0,2.0,961.0000000000001,1922.0000000000002,2.0,961.0000000000001,1922.0000000000002,2.0,961.0000000000001,1922.0000000000002,2.0,961.0000000000001,1922.0000000000002,2.0,961.0000000000001,1922.0000000000002,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,6.0,24.0,0.7083333333333334,0.25,0.041666666666666664,30.0,22.0,24.0,2,0,2,5,5,111,89,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,89,38.0,38.0,38.0,38.0,38.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0
666,046642cb,4,577.0,2308.0,4.0,577.0,2308.0,4.0,577.0,2308.0,4.0,577.0,2308.0,4.0,577.0,2308.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,13.0,1.0,0.0,0.0,13.0,1.0,6.0,0,0,28,13,2,13,28,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,28,28.0,28.0,28.0,28.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
691,04877609,12,972.0000000000001,11660.0,3.0,322.0,967.0000000000001,3.0,322.0,967.0000000000001,3.0,322.0,967.0000000000001,3.0,322.0,967.0000000000001,3.0,322.0,967.0000000000001,3.0,322.0,967.0000000000001,0.0,0.0,0.0,26.0,0.0,7.0,33.0,0.7878787878787878,0.21212121212121213,0.0,36.0,20.0,24.0,6,0,40,58,2,70,127,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127,21.0,21.0,21.0,21.0,21.0,21.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
729,04bbc907,46,178.0,8190.000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,36.0,20.0,211.0,0.7345971563981043,0.0947867298578199,0.17061611374407584,213.0,22.0,66.0,0,0,343,113,37,113,343,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
741,04d2d0ee,2,1281.0,2562.0,1.0,2273.0,2273.0,1.0,2273.0,2273.0,1.0,2273.0,2273.0,1.0,2273.0,2273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,5.0,0,0,23,75,12,75,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
775,0518b8f2,2,181.0,362.0,1.0,292.0,292.0,1.0,292.0,292.0,1.0,292.0,292.0,1.0,292.0,292.0,1.0,292.0,292.0,1.0,292.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,3.0,13.0,0,0,31,79,2,79,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,26.0,26.0,26.0,26.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
