,person,#Camino,#pasos_antes_comprar,primera_actividad,modelos_vistos,modelos_distintos,sku_distintos,primera_actividad_ultimo_paso,ultima_actividad,# Actividades,label
927,051509f1,0,14,10,4.0,1.0,2.0,10,9,14,0.0
928,0515aca9,0,325,76,187.0,15.0,67.0,76,2,325,0.0
934,052078d1,0,41,120,29.0,1.0,11.0,120,43,41,1.0
936,052163a1,1,21,2,11.0,3.0,6.0,2,2,28,0.0
937,052231b9,0,9,10,2.0,2.0,2.0,10,10,9,0.0
982,05596145,0,68,7,37.0,5.0,11.0,7,1,68,1.0
1002,0582076c,0,318,71,110.0,14.0,57.0,71,7,318,0.0
1035,05b22e4c,0,129,123,46.0,30.0,38.0,123,1,129,1.0
1038,05b7d297,0,5,15,1.0,1.0,1.0,15,15,5,0.0
1053,05d9ceb0,2,43,113,2.0,1.0,1.0,107,35,124,1.0
1065,05f64854,0,6,15,2.0,1.0,1.0,15,15,6,0.0
1074,0601784e,2,18,44,3.0,3.0,3.0,12,11,224,1.0
1081,060cd447,1,28,11,5.0,3.0,5.0,0,0,82,0.0
1106,063c2027,0,4,4,1.0,1.0,1.0,4,4,4,0.0
1113,064e923d,0,16,25,6.0,2.0,4.0,25,11,16,0.0
1137,067925f5,0,349,25,262.0,19.0,75.0,25,5,349,0.0
1146,068273dc,0,33,7,9.0,5.0,9.0,7,1,33,0.0
1162,0696724e,0,91,3,64.0,7.0,41.0,3,0,91,0.0
1165,0699cd95,0,33,28,12.0,3.0,10.0,28,13,33,0.0
1186,06aeda65,0,8,27,3.0,2.0,3.0,27,27,8,1.0
1231,06db4ca8,0,21,1,9.0,5.0,6.0,1,1,21,0.0
1235,06e43b24,0,36,14,20.0,4.0,16.0,14,13,36,0.0
1244,06eeb3e7,2,85,25,24.0,6.0,14.0,17,0,125,1.0
1261,070e8c97,0,8,6,2.0,1.0,2.0,6,6,8,0.0
1271,071dabb9,0,9,35,6.0,1.0,5.0,35,35,9,1.0
1274,071e79e1,0,31,15,18.0,5.0,12.0,15,6,31,1.0
1287,073e697a,0,39,49,7.0,3.0,7.0,49,13,39,1.0
1303,075b00a8,0,9,10,4.0,2.0,2.0,10,10,9,0.0
1340,07a578c6,1,10,48,1.0,1.0,1.0,14,1,134,0.0
1348,07aabe67,0,634,139,452.0,30.0,191.0,139,2,634,1.0
1373,07cdc12c,1,250,136,100.0,9.0,50.0,134,1,276,1.0
1436,0812bda0,1,209,91,121.0,28.0,73.0,90,82,227,1.0
1439,08176776,0,51,103,20.0,7.0,13.0,103,10,51,1.0
1457,08343c0e,2,20,149,16.0,5.0,15.0,2,2,75,1.0
1467,083b8be7,3,22,12,6.0,2.0,3.0,12,6,26,0.0
1470,084482af,0,53,24,20.0,9.0,14.0,24,2,53,1.0
1477,08495405,0,46,7,35.0,4.0,20.0,7,7,46,0.0
1494,086bfd96,0,8,8,4.0,1.0,2.0,8,8,8,0.0
1495,0870e4f0,0,31,58,1.0,1.0,1.0,58,56,31,0.0
1518,088afb7b,0,43,100,23.0,9.0,13.0,100,4,43,0.0
1525,08975905,0,21,38,7.0,5.0,5.0,38,1,21,0.0
1618,0914138b,0,18,28,7.0,1.0,6.0,28,13,18,0.0
1627,09252ee6,0,205,149,101.0,11.0,40.0,149,4,205,0.0
1628,09257c6b,0,11,2,3.0,3.0,3.0,2,2,11,0.0
1632,092e593f,0,80,5,29.0,5.0,15.0,5,0,80,0.0
1640,09412658,0,8,0,1.0,1.0,1.0,0,0,8,1.0
1704,09a78ec5,0,16,11,4.0,2.0,2.0,11,9,16,1.0
1705,09a98b11,0,142,13,106.0,14.0,51.0,13,9,142,0.0
1708,09adf503,0,149,16,99.0,13.0,50.0,16,2,149,1.0
1719,09c4c6e5,0,31,7,19.0,2.0,8.0,7,6,31,0.0
1724,09d0e523,0,236,29,149.0,20.0,70.0,29,1,236,1.0
1747,09eb8d77,2,46,7,16.0,4.0,8.0,5,4,77,1.0
1762,0a00ddb7,0,13,0,4.0,2.0,3.0,0,0,13,0.0
1805,0a2efad6,1,4,78,1.0,1.0,1.0,11,11,82,0.0
1902,0aacf315,1,8,47,0.0,0.0,0.0,28,22,65,1.0
1904,0aae4632,0,58,15,20.0,3.0,8.0,15,6,58,0.0
1935,0ad3284a,0,110,85,51.0,10.0,31.0,85,55,110,0.0
1958,0ae8b154,0,3,3,1.0,1.0,1.0,3,3,3,1.0
1967,0af42006,0,155,64,117.0,22.0,67.0,64,2,155,1.0
1977,0b011869,0,61,16,25.0,11.0,16.0,16,2,61,0.0
1980,0b0577c3,0,7,16,1.0,1.0,1.0,16,16,7,0.0
1982,0b12e0b1,0,85,10,42.0,19.0,32.0,10,10,85,0.0
2025,0b4eb837,0,12,17,5.0,2.0,3.0,17,9,12,0.0
2109,0bc19d01,0,23,13,2.0,1.0,1.0,13,6,23,0.0
2115,0bcd837e,0,3,5,0.0,0.0,0.0,5,2,3,0.0
2128,0be375bf,0,19,30,3.0,1.0,1.0,30,1,19,0.0
2132,0be3f5e5,2,136,86,48.0,19.0,37.0,60,49,460,1.0
2148,0bfd1f23,0,4,3,1.0,1.0,1.0,3,3,4,0.0
2154,0c00db19,0,15,0,4.0,1.0,2.0,0,0,15,1.0
2198,0c506038,0,27,23,16.0,6.0,11.0,23,3,27,0.0
2222,0c8c5c94,0,23,6,16.0,3.0,12.0,6,6,23,0.0
2231,0c962c1c,0,12,28,2.0,2.0,2.0,28,12,12,1.0
2233,0c9747ae,0,7,11,1.0,1.0,1.0,11,11,7,0.0
2244,0ca8ef24,1,87,113,4.0,1.0,2.0,111,86,189,0.0
2251,0cb75203,0,50,1,15.0,5.0,9.0,1,0,50,0.0
2286,0cef9a6d,1,79,1,41.0,13.0,33.0,0,0,162,0.0
2314,0d1af2db,0,21,0,17.0,5.0,15.0,0,0,21,1.0
2323,0d2c649f,0,35,9,3.0,2.0,2.0,9,9,35,0.0
2324,0d2f0733,0,21,3,7.0,2.0,2.0,3,3,21,0.0
2338,0d3ed279,3,2,0,1.0,1.0,1.0,0,0,8,0.0
2367,0d5f66ed,0,1240,140,1101.0,34.0,220.0,140,14,1240,0.0
2373,0d68d38e,3,13,48,7.0,5.0,6.0,1,1,119,1.0
2376,0d6f5cd2,0,47,10,33.0,7.0,17.0,10,7,47,1.0
2384,0d79ae9e,0,8,1,5.0,1.0,2.0,1,1,8,1.0
2386,0d7ea11e,0,39,16,10.0,5.0,7.0,16,10,39,0.0
2411,0da5ecfc,2,292,40,186.0,21.0,60.0,28,0,501,1.0
2412,0da88bcc,0,4,3,1.0,1.0,1.0,3,3,4,0.0
2434,0dc3ecb0,0,430,57,284.0,41.0,124.0,57,0,430,0.0
2436,0dc65a13,0,190,113,151.0,14.0,90.0,113,11,190,0.0
2437,0dc7138f,0,128,1,82.0,22.0,43.0,1,0,128,1.0
2507,0e43f95a,2,8,10,0.0,0.0,0.0,3,0,40,0.0
2550,0e9e5344,0,69,12,37.0,8.0,22.0,12,5,69,1.0
2551,0e9effd8,0,44,132,21.0,3.0,12.0,132,130,44,1.0
2570,0eb715ae,0,54,83,15.0,3.0,10.0,83,13,54,1.0
2641,0f16c676,0,13,46,1.0,1.0,1.0,46,46,13,1.0
2661,0f309405,0,11,13,3.0,2.0,2.0,13,13,11,0.0
2680,0f4e3285,0,3,5,0.0,0.0,0.0,5,5,3,0.0
2685,0f4ef484,0,49,0,30.0,12.0,24.0,0,0,49,0.0
2748,0f9e78a4,0,7,0,3.0,1.0,3.0,0,0,7,0.0
2771,0fc6c79d,0,3,2,0.0,0.0,0.0,2,2,3,0.0
2773,0fd1005a,0,98,39,65.0,6.0,37.0,39,8,98,0.0
2785,0fe8e51e,0,34,30,2.0,2.0,2.0,30,11,34,1.0
2792,0ff026f5,0,9,76,3.0,3.0,3.0,76,72,9,1.0
2794,0ff3418a,0,5,38,1.0,1.0,1.0,38,38,5,0.0
2796,0ff52214,0,4,6,1.0,1.0,1.0,6,6,4,0.0
2798,0ff68696,0,22,14,16.0,3.0,11.0,14,14,22,0.0
2811,100f33c8,0,5,4,0.0,0.0,0.0,4,3,5,0.0
2851,103f8ba1,0,42,14,10.0,2.0,3.0,14,14,42,0.0
2947,10b2e757,0,11,1,4.0,2.0,3.0,1,1,11,0.0
3021,10ff5b8b,0,9,13,3.0,1.0,3.0,13,13,9,1.0
3034,110a48fe,0,18,11,14.0,7.0,13.0,11,11,18,0.0
3064,11310eda,0,7,16,2.0,1.0,2.0,16,16,7,0.0
3071,113c1e9f,0,8,11,5.0,1.0,3.0,11,11,8,0.0
3096,11706c6b,0,5,0,1.0,1.0,1.0,0,0,5,0.0
3103,117a6523,0,18,18,4.0,1.0,2.0,18,16,18,0.0
3107,117f5524,0,17,10,14.0,4.0,13.0,10,10,17,0.0
3119,11932e7d,0,122,91,63.0,13.0,35.0,91,1,122,0.0
3132,11ae7dfa,0,54,23,13.0,3.0,11.0,23,0,54,0.0
3133,11b15fc1,0,3,13,0.0,0.0,0.0,13,13,3,0.0
3136,11b247a4,0,125,14,64.0,8.0,20.0,14,10,125,1.0
3158,11cce64d,0,7,5,1.0,1.0,1.0,5,5,7,0.0
3168,11dcdda1,0,21,5,9.0,4.0,8.0,5,5,21,0.0
3185,11e6d47a,2,10,9,0.0,0.0,0.0,7,1,23,0.0
3190,11e8a164,0,39,52,11.0,3.0,6.0,52,1,39,1.0
3194,11ebd529,0,52,36,32.0,9.0,17.0,36,2,52,1.0
3205,120c29d3,0,9,0,3.0,1.0,3.0,0,0,9,1.0
3231,123e6920,2,1,90,0.0,0.0,0.0,2,2,152,1.0
3233,123fde23,1,42,142,16.0,8.0,11.0,140,21,105,1.0
3234,124016f7,0,4,13,1.0,1.0,1.0,13,13,4,0.0
3241,124bb6db,0,39,132,17.0,3.0,12.0,132,2,39,0.0
3254,1254aa9c,0,38,14,9.0,8.0,8.0,14,14,38,0.0
3266,1264572d,0,4,9,1.0,1.0,1.0,9,9,4,0.0
3267,126502e5,0,204,58,178.0,19.0,91.0,58,10,204,0.0
3278,1279bda8,0,50,107,27.0,7.0,20.0,107,42,50,1.0
3317,12aca694,0,57,1,45.0,8.0,27.0,1,0,57,0.0
3325,12c2a6d4,0,10,4,3.0,1.0,2.0,4,4,10,0.0
3327,12c99e0c,0,6,10,2.0,1.0,2.0,10,10,6,1.0
3330,12cd506e,0,33,23,16.0,2.0,12.0,23,16,33,0.0
3344,12db1140,0,2,94,0.0,0.0,0.0,94,94,2,1.0
3352,12e7a320,0,33,140,9.0,2.0,8.0,140,0,33,1.0
3358,12f2e735,0,17,6,12.0,3.0,11.0,6,6,17,0.0
3397,132bda83,0,24,13,11.0,2.0,8.0,13,13,24,1.0
3407,133f4086,0,26,44,7.0,3.0,5.0,44,34,26,1.0
3417,134c4aaf,0,4,4,1.0,1.0,1.0,4,4,4,0.0
3421,134eb081,0,25,30,8.0,2.0,3.0,30,13,25,0.0
3450,13807d38,0,46,57,20.0,6.0,12.0,57,8,46,0.0
3453,13849bad,0,12,12,6.0,3.0,3.0,12,12,12,0.0
3502,13c34689,0,26,12,10.0,2.0,3.0,12,6,26,0.0
3506,13c867e9,1,7,7,1.0,1.0,1.0,7,3,25,0.0
3523,13d5c38a,0,5,4,1.0,1.0,1.0,4,4,5,0.0
3525,13d7772f,1,5,42,1.0,1.0,1.0,7,7,50,0.0
3549,13fa4d17,0,29,44,4.0,2.0,3.0,44,11,29,0.0
3557,140376d0,0,26,15,18.0,3.0,10.0,15,14,26,1.0
3663,14a041b1,0,21,18,4.0,3.0,3.0,18,5,21,1.0
3684,14b26f9d,0,38,115,25.0,2.0,16.0,115,115,38,1.0
3692,14ba67bf,2,16,21,1.0,1.0,1.0,15,6,45,1.0
3693,14bb45b2,0,65,2,26.0,2.0,11.0,2,0,65,0.0
3721,14ecd212,1,49,28,33.0,4.0,21.0,1,0,957,0.0
3727,14fb3669,0,22,1,11.0,4.0,9.0,1,1,22,1.0
3734,1502b35a,0,21,3,10.0,2.0,8.0,3,3,21,0.0
3740,150b08ea,1,3,1,0.0,0.0,0.0,1,1,62,0.0
3752,1517be31,0,19,3,14.0,4.0,9.0,3,3,19,1.0
3756,1520f8cf,0,24,16,15.0,6.0,12.0,16,15,24,0.0
3896,15c99b91,0,46,7,17.0,6.0,10.0,7,3,46,1.0
3901,15d35ec5,0,12,2,7.0,4.0,4.0,2,2,12,1.0
3907,15de4f10,0,22,95,6.0,1.0,5.0,95,95,22,1.0
3911,15e75325,1,2,14,0.0,0.0,0.0,14,13,209,0.0
3912,15e804cc,0,31,15,9.0,3.0,4.0,15,13,31,0.0
3971,16319654,0,30,9,15.0,6.0,10.0,9,9,31,1.0
3983,164843c3,0,64,27,29.0,9.0,19.0,27,13,64,0.0
3994,164fa3da,5,135,91,10.0,7.0,8.0,70,23,201,1.0
3999,1654697f,0,16,19,10.0,5.0,8.0,19,16,16,0.0
4037,168871d5,1,40,42,15.0,4.0,12.0,21,14,124,1.0
4085,16c07417,0,3,1,1.0,1.0,1.0,1,1,3,0.0
4113,16e60161,0,9,5,3.0,1.0,1.0,5,5,9,0.0
4117,16ef414a,0,10,0,4.0,1.0,2.0,0,0,10,0.0
4157,171e75cb,1,340,88,274.0,21.0,95.0,37,0,1212,1.0
4206,175db121,0,12,29,8.0,2.0,5.0,29,17,12,1.0
4224,177bc00b,0,101,25,69.0,17.0,38.0,25,6,101,1.0
4226,177f1298,0,277,82,83.0,21.0,43.0,82,2,277,1.0
4228,177f5ace,0,192,11,138.0,25.0,58.0,11,0,192,0.0
4240,179ae39f,1,6,10,3.0,1.0,3.0,10,10,68,1.0
4261,17ba131f,0,69,26,25.0,10.0,15.0,26,10,69,0.0
4337,181cfff7,0,20,2,5.0,2.0,5.0,2,1,20,1.0
4351,1836c63e,0,4,31,0.0,0.0,0.0,31,31,4,1.0
4352,183e27bc,0,23,4,10.0,3.0,7.0,4,1,23,0.0
4360,184b704e,0,51,12,37.0,3.0,19.0,12,12,51,0.0
4394,187d7995,0,46,3,15.0,5.0,11.0,3,1,46,0.0
4401,1885465c,0,3,12,0.0,0.0,0.0,12,12,3,0.0
4412,189c451b,0,77,50,44.0,15.0,31.0,50,13,77,1.0
4435,18afeaf8,0,147,116,35.0,5.0,18.0,116,0,147,0.0
4454,18c68f8f,0,52,63,21.0,5.0,8.0,63,45,52,0.0
4468,18e77b0a,0,100,6,68.0,8.0,27.0,6,0,100,1.0
4470,18e93fd5,0,15,143,4.0,3.0,3.0,143,8,15,0.0
4492,18f39a0c,0,251,42,218.0,32.0,88.0,42,2,251,1.0
4522,191a81d4,0,48,9,26.0,4.0,16.0,9,8,48,0.0
4526,192716b4,0,7,15,1.0,1.0,1.0,15,15,7,0.0
4568,196292f4,0,10,7,0.0,0.0,0.0,7,7,10,1.0
4571,1965d791,0,318,59,194.0,17.0,73.0,59,1,318,0.0
4575,196fe7a8,0,32,20,14.0,6.0,11.0,20,15,32,0.0
4594,197a619e,0,8,68,1.0,1.0,1.0,68,20,8,1.0
4599,19863427,0,274,16,190.0,20.0,74.0,16,10,274,0.0
4614,1997e0b4,0,10,9,3.0,1.0,1.0,9,7,10,0.0
4621,199cf3c4,2,25,9,7.0,4.0,6.0,5,2,168,1.0
4666,19ed4344,0,199,17,81.0,9.0,36.0,17,0,200,1.0
4669,19f17086,0,20,1,9.0,2.0,7.0,1,1,20,1.0
4676,19fcbcd5,4,60,16,0.0,0.0,0.0,15,1,119,0.0
4710,1a3bf2d4,0,171,2,130.0,9.0,36.0,2,1,171,0.0
4713,1a3fba2f,0,25,11,4.0,3.0,4.0,11,11,25,0.0
4772,1a907572,0,15,0,7.0,2.0,4.0,0,0,15,0.0
4832,1adba253,0,37,20,13.0,5.0,12.0,20,18,37,1.0
4850,1af68b74,0,26,123,9.0,5.0,9.0,123,122,26,1.0
4868,1b17b334,0,3,103,1.0,1.0,1.0,103,103,3,1.0
4875,1b1c8b65,0,21,6,9.0,2.0,5.0,6,6,21,0.0
4884,1b2a63f9,0,4,14,1.0,1.0,1.0,14,14,4,0.0
4896,1b37f68f,0,14,13,5.0,1.0,3.0,13,7,14,0.0
4928,1b59ca78,0,240,115,193.0,22.0,103.0,115,0,240,1.0
4946,1b743501,0,28,23,7.0,6.0,6.0,23,9,28,1.0
4979,1bb1014e,0,13,15,4.0,1.0,2.0,15,14,13,0.0
4982,1bb546e9,0,6,2,2.0,1.0,2.0,2,2,6,0.0
4986,1bbad04b,1,42,24,13.0,3.0,6.0,24,9,43,0.0
4991,1bc7f14b,0,35,6,11.0,3.0,9.0,6,0,35,1.0
5006,1bd6991e,0,30,41,6.0,5.0,5.0,41,27,30,1.0
5011,1be6a8c9,0,28,57,3.0,3.0,3.0,57,54,28,1.0
5029,1bf887bc,0,23,57,11.0,5.0,6.0,57,0,23,1.0
5070,1c3a4e83,0,115,20,46.0,15.0,20.0,20,1,115,1.0
5095,1c6dd51b,0,174,9,125.0,11.0,37.0,9,0,174,1.0
5116,1c8c689c,0,107,2,83.0,23.0,45.0,2,0,107,1.0
5172,1ce8c85a,1,9,2,0.0,0.0,0.0,2,2,21,0.0
5186,1cfa87f1,1,6,79,0.0,0.0,0.0,79,78,20,1.0
5192,1d1056f0,0,30,16,17.0,6.0,14.0,16,10,30,0.0
5196,1d1b2659,0,79,118,31.0,6.0,21.0,118,2,79,0.0
5226,1d415bea,0,836,71,693.0,11.0,163.0,71,2,836,0.0
5228,1d43c56e,0,79,98,52.0,6.0,31.0,98,6,79,0.0
5235,1d4ecdc8,0,42,3,22.0,4.0,15.0,3,2,42,0.0
5272,1d9eb251,0,43,11,8.0,6.0,6.0,11,6,43,1.0
5278,1daab2a9,0,48,49,33.0,5.0,19.0,49,3,48,1.0
5299,1dce369b,0,22,1,11.0,4.0,9.0,1,1,22,0.0
5304,1dd09c11,0,102,46,57.0,23.0,43.0,46,3,102,0.0
5322,1dec914f,0,88,35,76.0,13.0,42.0,35,27,89,1.0
5341,1e0d9fa0,0,68,14,38.0,15.0,23.0,14,2,68,1.0
5369,1e2c94eb,0,25,5,3.0,2.0,2.0,5,4,25,0.0
5376,1e32ded5,2,0,79,0.0,0.0,0.0,79,79,13,1.0
5383,1e3ee322,0,33,24,4.0,4.0,4.0,24,9,33,0.0
5394,1e4ea058,0,8,4,1.0,1.0,1.0,4,4,8,0.0
5397,1e572bd8,0,35,19,11.0,7.0,11.0,19,15,35,0.0
5441,1e8bc0c0,0,10,13,6.0,1.0,3.0,13,13,10,0.0
5456,1ea5337e,4,21,65,12.0,4.0,10.0,14,5,165,0.0
5459,1eab3f70,0,22,29,11.0,4.0,8.0,29,29,22,1.0
5499,1ee88eac,0,20,24,7.0,3.0,7.0,24,23,20,1.0
5503,1eef1fdc,0,6,14,2.0,1.0,1.0,14,14,6,0.0
5512,1f00f763,0,3,1,0.0,0.0,0.0,1,1,3,0.0
5530,1f209f42,0,4,14,1.0,1.0,1.0,14,14,4,0.0
5571,1f62dcbc,0,55,73,27.0,5.0,20.0,73,1,55,1.0
5575,1f64dc7c,0,21,3,9.0,2.0,7.0,3,3,21,0.0
5589,1f7f4cf4,0,103,6,80.0,19.0,52.0,6,0,103,1.0
5632,1fd5c0ed,0,20,56,6.0,5.0,5.0,56,14,20,1.0
5699,203297ab,0,4,145,1.0,1.0,1.0,145,145,4,1.0
5713,203dda70,0,80,11,31.0,7.0,21.0,11,10,80,0.0
5744,205d9c1a,2,36,27,12.0,2.0,3.0,23,14,65,1.0
5747,2062d6ab,0,1,10,0.0,0.0,0.0,10,10,1,0.0
5782,20950506,0,216,19,107.0,33.0,67.0,19,0,216,1.0
5787,209e9ed6,0,229,3,177.0,19.0,66.0,3,0,229,0.0
5825,20dadf21,0,2,1,1.0,1.0,1.0,1,1,2,1.0
5829,20deb1e8,0,37,46,11.0,2.0,7.0,46,5,37,0.0
5832,20e87f5e,0,6,3,1.0,1.0,1.0,3,3,6,0.0
5845,20f602c7,0,29,1,22.0,8.0,17.0,1,0,29,1.0
5862,210fd6d9,0,4,51,0.0,0.0,0.0,51,51,4,1.0
5865,21130ceb,0,46,27,29.0,5.0,18.0,27,24,46,1.0
5885,212c0657,0,18,10,10.0,2.0,3.0,10,6,18,0.0
5916,214c95b5,0,6,22,2.0,1.0,1.0,22,16,6,1.0
5917,2150d906,0,38,5,12.0,4.0,6.0,5,0,38,0.0
5951,2186af71,0,7,1,3.0,1.0,2.0,1,1,7,0.0
5952,21871daf,0,82,96,22.0,11.0,18.0,96,11,82,0.0
5959,219007c6,0,24,19,18.0,13.0,16.0,19,16,24,0.0
5999,21d14663,0,17,91,4.0,1.0,4.0,91,3,17,0.0
6016,21f5eeda,0,13,1,4.0,2.0,3.0,1,0,13,1.0
6017,21f67ee5,0,3,47,1.0,1.0,1.0,47,47,3,1.0
6026,220b5c19,0,11,6,4.0,3.0,3.0,6,5,11,0.0
6082,2260ca72,0,6,1,2.0,2.0,2.0,1,1,6,1.0
6093,227214b9,0,19,26,8.0,2.0,7.0,26,12,19,0.0
6099,2280ebc0,0,153,25,73.0,21.0,37.0,25,1,153,1.0
6101,22831d56,0,10,5,3.0,1.0,2.0,5,5,11,1.0
6136,22b0bd67,1,2,20,0.0,0.0,0.0,20,20,45,1.0
6140,22b9085f,0,341,11,197.0,29.0,82.0,11,6,341,1.0
6155,22cfc3f5,0,127,133,72.0,12.0,37.0,133,4,127,1.0
6181,22f7466d,0,10,3,1.0,1.0,1.0,3,3,10,1.0
6193,230f09a6,0,177,9,125.0,4.0,25.0,9,0,177,1.0
6205,232a60c3,0,47,13,17.0,11.0,13.0,13,8,47,0.0
6230,234a8e4d,0,175,24,81.0,14.0,21.0,24,1,175,1.0
6266,23771b7e,1,7,17,1.0,1.0,1.0,1,1,16,0.0
6298,23a07664,0,54,63,32.0,7.0,21.0,63,0,54,0.0
6302,23a620aa,0,48,40,14.0,6.0,9.0,40,13,48,0.0
6327,23c4e476,0,31,12,9.0,1.0,5.0,12,6,31,0.0
6347,23e57345,0,329,21,242.0,8.0,78.0,21,13,329,0.0
6372,24120769,0,6,7,2.0,2.0,2.0,7,7,6,1.0
6385,2423fd5c,0,20,12,8.0,1.0,5.0,12,3,20,0.0
6393,24344cdd,0,26,46,3.0,2.0,2.0,46,2,26,0.0
6396,24368157,0,110,18,93.0,17.0,55.0,18,16,110,0.0
6407,24410f1b,0,2,11,0.0,0.0,0.0,11,11,2,0.0
6409,2442726e,0,48,0,12.0,4.0,5.0,0,0,48,0.0
6475,2486de05,1,98,44,50.0,4.0,18.0,27,3,136,1.0
6495,24aaa37f,0,3,22,1.0,1.0,1.0,22,22,3,1.0
6501,24b515a9,0,22,27,9.0,6.0,6.0,27,26,22,1.0
6520,24cd912d,0,28,0,13.0,10.0,10.0,0,0,28,1.0
6521,24cf4808,0,102,115,36.0,8.0,21.0,115,7,102,0.0
6553,2501a39b,0,29,0,26.0,3.0,16.0,0,0,29,1.0
6569,251be6e8,0,7,11,3.0,1.0,3.0,11,11,7,0.0
6572,2521e888,0,7,9,1.0,1.0,1.0,9,9,7,0.0
6596,25438123,0,3,15,1.0,1.0,1.0,15,15,3,0.0
6603,254dacb4,0,4,1,1.0,1.0,1.0,1,1,4,0.0
6628,2576d981,0,56,73,25.0,18.0,21.0,73,65,56,1.0
6675,25c3073e,0,50,62,15.0,4.0,5.0,62,1,50,0.0
6685,25cb8185,1,2,59,1.0,1.0,1.0,1,1,148,1.0
6701,25e4a370,0,3,0,1.0,1.0,1.0,0,0,3,1.0
6714,25f4e962,0,42,72,22.0,2.0,9.0,72,17,42,0.0
6718,25fbb562,0,8,14,2.0,1.0,1.0,14,14,8,0.0
6720,25fd96c5,0,45,14,32.0,2.0,8.0,14,13,45,0.0
6751,26232807,0,28,137,9.0,5.0,7.0,137,5,28,1.0
6788,263fc56f,0,28,13,11.0,4.0,4.0,13,8,28,0.0
6814,266017a6,0,317,47,193.0,17.0,93.0,47,0,317,0.0
6819,266bdbab,0,3,15,0.0,0.0,0.0,15,15,3,0.0
6852,26a30a4a,1,6,3,1.0,1.0,1.0,1,1,52,1.0
6873,26b8bd50,0,41,14,13.0,5.0,10.0,14,2,41,0.0
6884,26cd8fe5,0,25,12,4.0,3.0,3.0,12,12,25,0.0
6902,26f4eca4,0,11,8,1.0,1.0,1.0,8,8,11,0.0
6904,26fa14c8,0,12,13,8.0,5.0,6.0,13,10,12,0.0
6931,2720e9c9,1,7,72,4.0,1.0,4.0,1,0,65,0.0
6935,27258fd2,0,17,84,0.0,0.0,0.0,84,29,17,1.0
6951,2737f9c3,0,4,16,1.0,1.0,1.0,16,16,4,0.0
6956,273aa55c,0,12,16,4.0,4.0,4.0,16,16,12,0.0
6966,2743f13d,0,177,43,65.0,21.0,35.0,43,0,177,1.0
6979,275b558e,0,4,2,1.0,1.0,1.0,2,2,4,0.0
