,person,#Camino,#pasos_antes_comprar,primera_actividad,modelos_vistos,modelos_distintos,sku_distintos,cantidad_sesiones,primera_actividad_ultimo_paso,ultima_actividad,# Actividades,label
690,03db7c49,2,2,1,0.0,0.0,0.0,2,1,1,5,1.0
694,03de79e8,0,7,13,3.0,1.0,2.0,1,13,13,7,0.0
711,03f7983d,0,4,2,1.0,1.0,1.0,1,2,2,4,0.0
720,0404e68f,0,168,70,80.0,12.0,45.0,14,70,12,168,1.0
733,0417a96d,0,4,3,1.0,1.0,1.0,1,3,3,4,0.0
738,041dc456,0,8,15,5.0,1.0,2.0,1,15,15,8,1.0
774,043ec736,1,325,102,99.0,38.0,65.0,52,64,31,568,1.0
775,044009fe,0,189,32,23.0,8.0,14.0,16,32,1,189,0.0
793,0457712f,2,2,111,1.0,1.0,1.0,14,5,5,89,1.0
823,047ecdfe,0,4,8,1.0,1.0,1.0,1,8,8,4,0.0
883,04bbc907,0,343,113,213.0,22.0,66.0,44,113,37,343,1.0
895,04d2d0ee,0,23,75,10.0,3.0,5.0,2,75,12,23,1.0
934,052078d1,0,41,120,29.0,1.0,11.0,4,120,43,41,1.0
982,05596145,0,68,7,37.0,5.0,11.0,8,7,1,68,1.0
991,056bde30,0,14,14,6.0,1.0,2.0,1,14,14,14,0.0
1035,05b22e4c,0,129,123,46.0,30.0,38.0,7,123,1,129,1.0
1045,05bf14be,0,118,10,47.0,15.0,29.0,1,10,10,118,0.0
1053,05d9ceb0,2,43,113,2.0,1.0,1.0,6,107,35,124,1.0
1074,0601784e,2,18,44,3.0,3.0,3.0,10,12,11,224,1.0
1112,064e0d21,0,3,104,1.0,1.0,1.0,1,104,104,3,0.0
1186,06aeda65,0,8,27,3.0,2.0,3.0,1,27,27,8,1.0
1244,06eeb3e7,2,85,25,24.0,6.0,14.0,9,17,0,125,1.0
1245,06ef2afb,0,21,1,7.0,2.0,3.0,2,1,0,21,0.0
1271,071dabb9,0,9,35,6.0,1.0,5.0,1,35,35,9,1.0
1274,071e79e1,0,31,15,18.0,5.0,12.0,3,15,6,31,1.0
1281,072ec6d2,0,14,0,9.0,5.0,8.0,1,0,0,14,0.0
1287,073e697a,0,39,49,7.0,3.0,7.0,4,49,13,39,1.0
1348,07aabe67,0,634,139,452.0,30.0,191.0,71,139,2,634,1.0
1373,07cdc12c,1,250,136,100.0,9.0,50.0,46,134,1,276,1.0
1413,07fb82f1,0,11,28,3.0,2.0,2.0,2,28,7,11,0.0
1436,0812bda0,1,209,91,121.0,28.0,73.0,13,90,82,227,1.0
1439,08176776,0,51,103,20.0,7.0,13.0,8,103,10,51,1.0
1457,08343c0e,2,20,149,16.0,5.0,15.0,10,2,2,75,1.0
1470,084482af,0,53,24,20.0,9.0,14.0,5,24,2,53,1.0
1506,087e6c64,0,20,42,8.0,2.0,4.0,3,42,16,20,0.0
1586,08e4065d,1,13,14,3.0,3.0,3.0,7,14,13,19,0.0
1640,09412658,0,8,0,1.0,1.0,1.0,1,0,0,8,1.0
1661,0962d3f9,0,41,9,7.0,5.0,6.0,1,9,9,41,0.0
1667,096d0dd4,0,147,20,34.0,14.0,16.0,6,20,15,147,0.0
1671,0973a1f4,0,50,15,44.0,8.0,24.0,1,15,15,50,0.0
1704,09a78ec5,0,16,11,4.0,2.0,2.0,4,11,9,16,1.0
1708,09adf503,0,149,16,99.0,13.0,50.0,7,16,2,149,1.0
1724,09d0e523,0,236,29,149.0,20.0,70.0,23,29,1,236,1.0
1727,09d7ddcf,0,8,2,3.0,2.0,2.0,1,2,2,8,0.0
1747,09eb8d77,2,46,7,16.0,4.0,8.0,6,5,4,77,1.0
1753,09f5886d,0,26,2,14.0,2.0,11.0,2,2,2,26,0.0
1838,0a5879fc,1,267,140,93.0,16.0,42.0,29,140,0,296,0.0
1862,0a6e141e,0,6,16,1.0,1.0,1.0,1,16,16,6,0.0
1902,0aacf315,1,8,47,0.0,0.0,0.0,5,28,22,65,1.0
1905,0ab18c72,0,4,3,1.0,1.0,1.0,1,3,3,4,0.0
1935,0ad3284a,0,110,85,51.0,10.0,31.0,5,85,55,110,0.0
1959,0ae8b154,0,3,3,1.0,1.0,1.0,1,3,3,3,1.0
1968,0af42006,0,155,64,117.0,22.0,67.0,13,64,2,155,1.0
1975,0afba239,0,36,21,18.0,1.0,7.0,2,21,2,36,0.0
2025,0b4e4515,0,4,0,1.0,1.0,1.0,1,0,0,4,0.0
2047,0b6aefdc,1,24,26,1.0,1.0,1.0,21,10,0,403,0.0
2050,0b703d67,0,7,2,2.0,1.0,2.0,1,2,2,7,0.0
2107,0bb61741,0,6,8,2.0,1.0,1.0,1,8,8,6,0.0
2133,0be3f5e5,2,136,86,48.0,19.0,37.0,26,60,49,460,1.0
2135,0be4ca58,0,36,19,20.0,4.0,13.0,2,19,15,36,0.0
2152,0bfdedd7,1,8,33,1.0,1.0,1.0,13,5,2,131,0.0
2153,0c007229,0,8,0,4.0,2.0,2.0,1,0,0,8,0.0
2155,0c00db19,0,15,0,4.0,1.0,2.0,2,0,0,15,1.0
2186,0c371de2,0,2,8,0.0,0.0,0.0,1,8,8,2,0.0
2232,0c962c1c,0,12,28,2.0,2.0,2.0,3,28,12,12,1.0
2315,0d1af2db,0,21,0,17.0,5.0,15.0,1,0,0,21,1.0
2328,0d35055e,0,25,3,4.0,2.0,3.0,4,3,2,25,0.0
2374,0d68d38e,3,13,48,7.0,5.0,6.0,7,1,1,119,1.0
2377,0d6f5cd2,0,47,10,33.0,7.0,17.0,5,10,7,47,1.0
2385,0d79ae9e,0,8,1,5.0,1.0,2.0,1,1,1,8,1.0
2412,0da5ecfc,2,292,40,186.0,21.0,60.0,40,28,0,501,1.0
2438,0dc7138f,0,128,1,82.0,22.0,43.0,3,1,0,128,1.0
2442,0dd095e2,1,199,61,147.0,24.0,86.0,26,49,16,274,0.0
2536,0e8091a8,0,55,15,32.0,6.0,19.0,5,15,1,55,0.0
2551,0e9e5344,0,69,12,37.0,8.0,22.0,7,12,5,69,1.0
2552,0e9effd8,0,44,132,21.0,3.0,12.0,4,132,130,44,1.0
2571,0eb715ae,0,54,83,15.0,3.0,10.0,5,83,13,54,1.0
2572,0eb8bf49,0,11,21,6.0,1.0,3.0,1,21,21,11,0.0
2588,0ec96f03,1,6,6,0.0,0.0,0.0,4,2,0,23,0.0
2598,0edc1d54,0,35,15,18.0,5.0,10.0,6,15,9,35,0.0
2629,0efa6876,0,40,77,27.0,2.0,12.0,3,77,28,40,0.0
2635,0f018135,0,15,6,8.0,3.0,7.0,2,6,3,15,0.0
2642,0f16c676,0,13,46,1.0,1.0,1.0,2,46,46,13,1.0
2733,0f83b95f,0,13,6,8.0,2.0,6.0,1,6,6,13,0.0
2754,0fad2e0e,0,16,1,10.0,2.0,6.0,1,1,1,16,0.0
2786,0fe8e51e,0,34,30,2.0,2.0,2.0,3,30,11,34,1.0
2793,0ff026f5,0,9,76,3.0,3.0,3.0,2,76,72,9,1.0
2812,100f33c8,0,5,4,0.0,0.0,0.0,2,4,3,5,0.0
2818,1010bade,2,10,128,6.0,3.0,6.0,19,0,0,200,0.0
2829,10201d8f,0,9,14,4.0,1.0,3.0,1,14,14,9,0.0
2895,1074bfe5,1,25,11,16.0,9.0,16.0,8,10,10,85,0.0
3022,10ff5b8b,0,9,13,3.0,1.0,3.0,1,13,13,9,1.0
3035,110a48fe,0,18,11,14.0,7.0,13.0,1,11,11,18,0.0
3095,11694101,0,37,16,20.0,2.0,12.0,1,16,16,37,0.0
3099,117441a2,0,11,16,6.0,2.0,5.0,1,16,16,11,0.0
3110,1182db3a,0,52,2,46.0,9.0,30.0,1,2,2,52,0.0
3137,11b247a4,0,125,14,64.0,8.0,20.0,3,14,10,125,1.0
3156,11c8fde4,0,10,1,3.0,3.0,3.0,1,1,1,10,0.0
3191,11e8a164,0,39,52,11.0,3.0,6.0,5,52,1,39,1.0
3195,11ebd529,0,52,36,32.0,9.0,17.0,14,36,2,52,1.0
3206,120c29d3,0,9,0,3.0,1.0,3.0,1,0,0,9,1.0
3232,123e6920,2,1,90,0.0,0.0,0.0,18,2,2,152,1.0
3234,123fde23,1,42,142,16.0,8.0,11.0,6,140,21,105,1.0
3252,12529b31,0,56,3,14.0,7.0,11.0,5,3,1,56,0.0
3279,1279bda8,0,50,107,27.0,7.0,20.0,5,107,42,50,1.0
3301,129547ab,1,200,88,138.0,24.0,78.0,8,60,2,264,0.0
3316,12aaa14b,0,1,1,0.0,0.0,0.0,1,1,1,1,0.0
3328,12c99e0c,0,6,10,2.0,1.0,2.0,1,10,10,6,1.0
3331,12cd506e,0,33,23,16.0,2.0,12.0,2,23,16,33,0.0
3345,12db1140,0,2,94,0.0,0.0,0.0,1,94,94,2,1.0
3353,12e7a320,0,33,140,9.0,2.0,8.0,7,140,0,33,1.0
3394,1323303b,0,38,0,34.0,4.0,23.0,1,0,0,38,0.0
3398,132bda83,0,24,13,11.0,2.0,8.0,3,13,13,24,1.0
3408,133f4086,0,26,44,7.0,3.0,5.0,3,44,34,26,1.0
3440,1375eece,0,30,2,10.0,3.0,7.0,2,2,2,30,0.0
3477,13a48b2c,0,10,1,6.0,2.0,4.0,1,1,1,10,0.0
3498,13bd8994,0,4,133,1.0,1.0,1.0,1,133,133,4,0.0
3515,13cf03c1,0,6,63,2.0,1.0,2.0,1,63,63,6,0.0
3558,140376d0,0,26,15,18.0,3.0,10.0,3,15,14,26,1.0
3574,141ec20e,0,50,2,18.0,11.0,15.0,2,2,1,50,0.0
3600,143c958f,0,41,57,17.0,5.0,11.0,4,57,1,41,0.0
3631,145fc7c1,0,38,40,6.0,5.0,5.0,4,40,3,38,0.0
3664,14a041b1,0,21,18,4.0,3.0,3.0,2,18,5,21,1.0
3685,14b26f9d,0,38,115,25.0,2.0,16.0,2,115,115,38,1.0
3686,14b2bbfd,0,32,16,20.0,3.0,18.0,1,16,16,32,0.0
3693,14ba67bf,2,16,21,1.0,1.0,1.0,6,15,6,45,1.0
3694,14bb45b2,0,65,2,26.0,2.0,11.0,5,2,0,65,0.0
3722,14ecd212,1,49,28,33.0,4.0,21.0,37,1,0,957,0.0
3728,14fb3669,0,22,1,11.0,4.0,9.0,2,1,1,22,1.0
3735,1502b35a,0,21,3,10.0,2.0,8.0,1,3,3,21,0.0
3753,1517be31,0,19,3,14.0,4.0,9.0,1,3,3,19,1.0
3762,152d0f04,0,31,1,25.0,3.0,14.0,1,1,1,31,0.0
3881,15b5b423,0,3,54,0.0,0.0,0.0,1,54,54,3,0.0
3897,15c99b91,0,46,7,17.0,6.0,10.0,4,7,3,46,1.0
3902,15d35ec5,0,12,2,7.0,4.0,4.0,1,2,2,12,1.0
3904,15d7a3bf,0,3,3,0.0,0.0,0.0,1,3,3,3,0.0
3908,15de4f10,0,22,95,6.0,1.0,5.0,1,95,95,22,1.0
3925,15f1b120,0,43,5,12.0,1.0,4.0,1,5,5,43,0.0
3932,15fc0d34,0,14,41,4.0,1.0,2.0,2,41,14,14,0.0
3972,16319654,0,30,9,15.0,6.0,10.0,1,9,9,31,1.0
3995,164fa3da,5,135,91,10.0,7.0,8.0,32,70,23,201,1.0
4006,165baef0,0,19,133,6.0,2.0,4.0,6,133,16,19,0.0
4007,16608679,0,192,12,157.0,37.0,99.0,2,12,11,192,0.0
4038,168871d5,1,40,42,15.0,4.0,12.0,17,21,14,124,1.0
4041,168d92b0,0,117,110,62.0,13.0,34.0,11,110,3,117,0.0
4095,16cb45c1,0,4,121,0.0,0.0,0.0,1,121,121,4,0.0
4135,16fe7a20,4,45,55,7.0,3.0,3.0,16,52,10,66,0.0
4150,171b42b3,0,24,16,7.0,6.0,6.0,3,16,15,24,0.0
4158,171e75cb,1,340,88,274.0,21.0,95.0,96,37,0,1212,1.0
4166,17347527,0,25,2,18.0,5.0,11.0,1,2,2,25,0.0
4207,175db121,0,12,29,8.0,2.0,5.0,4,29,17,12,1.0
4225,177bc00b,0,101,25,69.0,17.0,38.0,3,25,6,101,1.0
4227,177f1298,0,277,82,83.0,21.0,43.0,36,82,2,277,1.0
4241,179ae39f,1,6,10,3.0,1.0,3.0,1,10,10,68,1.0
4245,17a30c01,0,31,7,13.0,4.0,9.0,4,7,1,31,0.0
4282,17da4f76,0,17,14,5.0,2.0,4.0,3,14,10,17,0.0
4288,17de72cb,0,67,3,35.0,3.0,10.0,1,3,2,67,0.0
4337,181cfff7,0,20,2,5.0,2.0,5.0,2,2,1,20,1.0
4350,18351296,0,100,26,68.0,14.0,42.0,11,26,0,100,0.0
4351,1836c63e,0,4,31,0.0,0.0,0.0,1,31,31,4,1.0
4385,18694001,0,5,1,1.0,1.0,1.0,2,1,1,5,0.0
4390,1872ba51,0,9,2,3.0,1.0,1.0,1,2,2,9,0.0
4412,189c451b,0,77,50,44.0,15.0,31.0,5,50,13,77,1.0
4414,189f09a7,0,46,14,10.0,5.0,6.0,4,14,14,46,0.0
4439,18b65757,0,6,10,1.0,1.0,1.0,1,10,10,6,0.0
4465,18d883d8,0,35,23,7.0,5.0,7.0,2,23,13,35,0.0
4467,18e34551,0,91,39,33.0,12.0,25.0,9,39,8,91,0.0
4468,18e77b0a,0,100,6,68.0,8.0,27.0,3,6,0,100,1.0
4470,18e93fd5,0,15,143,4.0,3.0,3.0,3,143,8,15,0.0
4492,18f39a0c,0,251,42,218.0,32.0,88.0,10,42,2,251,1.0
4555,19500958,0,18,104,10.0,5.0,9.0,2,104,92,18,0.0
4568,196292f4,0,10,7,0.0,0.0,0.0,1,7,7,10,1.0
4594,197a619e,0,8,68,1.0,1.0,1.0,2,68,20,8,1.0
4612,1994f5d7,0,12,33,1.0,1.0,1.0,1,33,33,12,0.0
4621,199cf3c4,2,25,9,7.0,4.0,6.0,12,5,2,168,1.0
4666,19ed4344,0,199,17,81.0,9.0,36.0,17,17,0,200,1.0
4669,19f17086,0,20,1,9.0,2.0,7.0,2,1,1,20,1.0
4684,1a0f4edd,0,17,6,6.0,2.0,4.0,2,6,3,17,0.0
4751,1a806278,0,11,14,3.0,1.0,2.0,1,14,14,11,0.0
4832,1adba253,0,37,20,13.0,5.0,12.0,2,20,18,37,1.0
4850,1af68b74,0,26,123,9.0,5.0,9.0,2,123,122,26,1.0
4851,1afbc2ef,0,22,12,17.0,2.0,9.0,1,12,12,22,0.0
4868,1b17b334,0,3,103,1.0,1.0,1.0,1,103,103,3,1.0
4915,1b40a753,0,15,11,6.0,3.0,5.0,1,11,11,15,0.0
4919,1b493e2d,0,46,14,22.0,2.0,12.0,6,14,0,46,0.0
4928,1b59ca78,0,240,115,193.0,22.0,103.0,12,115,0,240,1.0
4938,1b649af9,0,64,10,23.0,11.0,16.0,2,10,9,64,0.0
4942,1b6cc3e9,0,4,30,2.0,1.0,1.0,1,30,30,4,0.0
4946,1b743501,0,28,23,7.0,6.0,6.0,3,23,9,28,1.0
4968,1b9f7cf6,0,25,14,9.0,2.0,6.0,3,14,10,25,0.0
4989,1bc098f5,0,78,22,54.0,4.0,37.0,5,22,0,78,0.0
4991,1bc7f14b,0,35,6,11.0,3.0,9.0,3,6,0,35,1.0
5006,1bd6991e,0,30,41,6.0,5.0,5.0,3,41,27,30,1.0
5011,1be6a8c9,0,28,57,3.0,3.0,3.0,3,57,54,28,1.0
5029,1bf887bc,0,23,57,11.0,5.0,6.0,6,57,0,23,1.0
5032,1bf9ead1,0,30,8,6.0,5.0,5.0,2,8,6,30,0.0
5070,1c3a4e83,0,115,20,46.0,15.0,20.0,17,20,1,115,1.0
5094,1c6b76b1,0,22,2,8.0,1.0,6.0,1,2,2,22,0.0
5095,1c6dd51b,0,174,9,125.0,11.0,37.0,10,9,0,174,1.0
5116,1c8c689c,0,107,2,83.0,23.0,45.0,4,2,0,107,1.0
5138,1cb6063b,2,350,100,137.0,27.0,88.0,29,100,14,486,0.0
5153,1cd3c631,0,42,1,36.0,9.0,27.0,2,1,1,42,0.0
5186,1cfa87f1,1,6,79,0.0,0.0,0.0,3,79,78,20,1.0
5187,1cfe5948,0,4,16,1.0,1.0,1.0,1,16,16,4,0.0
5220,1d39b668,0,33,27,21.0,2.0,9.0,2,27,13,33,0.0
5226,1d415bea,0,836,71,693.0,11.0,163.0,52,71,2,836,0.0
5227,1d417563,0,28,2,19.0,5.0,8.0,2,2,2,28,0.0
5272,1d9eb251,0,43,11,8.0,6.0,6.0,3,11,6,43,1.0
5278,1daab2a9,0,48,49,33.0,5.0,19.0,7,49,3,48,1.0
5303,1dd01800,1,9,24,1.0,1.0,1.0,2,24,16,10,0.0
5322,1dec914f,0,88,35,76.0,13.0,42.0,2,35,27,89,1.0
5341,1e0d9fa0,0,68,14,38.0,15.0,23.0,2,14,2,68,1.0
5356,1e19ed78,1,5,9,0.0,0.0,0.0,5,0,0,103,0.0
5376,1e32ded5,2,0,79,0.0,0.0,0.0,2,79,79,13,1.0
5426,1e776490,0,5,11,1.0,1.0,1.0,1,11,11,5,0.0
5459,1eab3f70,0,22,29,11.0,4.0,8.0,1,29,29,22,1.0
5462,1eb0ec54,0,8,6,3.0,2.0,2.0,1,6,6,8,0.0
5499,1ee88eac,0,20,24,7.0,3.0,7.0,2,24,23,20,1.0
5534,1f2e9790,0,15,16,10.0,1.0,7.0,1,16,16,15,0.0
5571,1f62dcbc,0,55,73,27.0,5.0,20.0,4,73,1,55,1.0
5589,1f7f4cf4,0,103,6,80.0,19.0,52.0,3,6,0,103,1.0
5632,1fd5c0ed,0,20,56,6.0,5.0,5.0,5,56,14,20,1.0
5672,1ff942ab,0,11,7,6.0,4.0,5.0,1,7,7,11,0.0
5699,203297ab,0,4,145,1.0,1.0,1.0,1,145,145,4,1.0
5744,205d9c1a,2,36,27,12.0,2.0,3.0,13,23,14,65,1.0
5745,205e690a,0,124,25,84.0,19.0,53.0,10,25,5,124,0.0
5782,20950506,0,216,19,107.0,33.0,67.0,12,19,0,216,1.0
5791,20aa5848,0,22,0,13.0,7.0,10.0,1,0,0,22,0.0
5825,20dadf21,0,2,1,1.0,1.0,1.0,1,1,1,2,1.0
5831,20e78c0f,0,35,23,13.0,3.0,10.0,2,23,14,35,0.0
5845,20f602c7,0,29,1,22.0,8.0,17.0,1,1,0,29,1.0
5851,20fe380b,0,4,5,1.0,1.0,1.0,1,5,5,4,0.0
5862,210fd6d9,0,4,51,0.0,0.0,0.0,1,51,51,4,1.0
5865,21130ceb,0,46,27,29.0,5.0,18.0,4,27,24,46,1.0
5916,214c95b5,0,6,22,2.0,1.0,1.0,2,22,16,6,1.0
5955,2188ef7b,0,69,8,24.0,11.0,15.0,4,8,3,69,0.0
5999,21d14663,0,17,91,4.0,1.0,4.0,5,91,3,17,0.0
6016,21f5eeda,0,13,1,4.0,2.0,3.0,2,1,0,13,1.0
6017,21f67ee5,0,3,47,1.0,1.0,1.0,1,47,47,3,1.0
6046,2231c156,0,39,6,23.0,2.0,11.0,1,6,6,39,0.0
6053,2236b068,0,7,9,2.0,1.0,2.0,2,9,6,7,0.0
6065,2245bb89,0,19,22,6.0,3.0,4.0,4,22,21,19,0.0
6082,2260ca72,0,6,1,2.0,2.0,2.0,2,1,1,6,1.0
6099,2280ebc0,0,153,25,73.0,21.0,37.0,10,25,1,153,1.0
6100,22823667,0,29,85,10.0,5.0,9.0,8,85,26,29,0.0
6101,22831d56,0,10,5,3.0,1.0,2.0,1,5,5,11,1.0
6118,22941a0e,0,34,9,19.0,5.0,14.0,4,9,1,34,0.0
6136,22b0bd67,1,2,20,0.0,0.0,0.0,1,20,20,45,1.0
6140,22b9085f,0,341,11,197.0,29.0,82.0,7,11,6,341,1.0
6155,22cfc3f5,0,127,133,72.0,12.0,37.0,8,133,4,127,1.0
6181,22f7466d,0,10,3,1.0,1.0,1.0,2,3,3,10,1.0
6193,230f09a6,0,177,9,125.0,4.0,25.0,17,9,0,177,1.0
6226,23466417,0,10,8,4.0,1.0,3.0,2,8,5,10,0.0
6230,234a8e4d,0,175,24,81.0,14.0,21.0,47,24,1,175,1.0
6288,2395e05d,1,10,20,1.0,1.0,1.0,7,3,0,57,0.0
6341,23db2ee7,1,12,52,0.0,0.0,0.0,20,2,0,126,0.0
6359,23f4684f,0,24,2,14.0,5.0,11.0,2,2,2,24,0.0
6371,2411a04d,0,31,18,14.0,2.0,9.0,4,18,15,31,0.0
6372,24120769,0,6,7,2.0,2.0,2.0,1,7,7,6,1.0
6460,2472fa51,0,72,6,66.0,16.0,49.0,1,6,6,72,0.0
6465,2478f636,0,46,20,18.0,3.0,9.0,5,20,13,46,0.0
6469,247d6d59,0,5,18,1.0,1.0,1.0,1,18,18,5,0.0
6475,2486de05,1,98,44,50.0,4.0,18.0,9,27,3,136,1.0
6495,24aaa37f,0,3,22,1.0,1.0,1.0,1,22,22,3,1.0
6501,24b515a9,0,22,27,9.0,6.0,6.0,2,27,26,22,1.0
6520,24cd912d,0,28,0,13.0,10.0,10.0,1,0,0,28,1.0
6547,24f8eae9,0,8,2,5.0,3.0,4.0,1,2,2,8,0.0
6553,2501a39b,0,29,0,26.0,3.0,16.0,1,0,0,29,1.0
6568,251be6e8,0,7,11,3.0,1.0,3.0,1,11,11,7,0.0
6589,253db638,9,31,85,7.0,2.0,3.0,42,18,2,256,0.0
6616,255bff68,0,19,6,8.0,1.0,2.0,3,6,5,19,0.0
6627,2576d981,0,56,73,25.0,18.0,21.0,4,73,65,56,1.0
6629,257a7cc2,0,38,10,10.0,3.0,9.0,1,10,9,38,0.0
6684,25cb8185,1,2,59,1.0,1.0,1.0,11,1,1,148,1.0
6700,25e4a370,0,3,0,1.0,1.0,1.0,1,0,0,3,1.0
6750,26232807,0,28,137,9.0,5.0,7.0,4,137,5,28,1.0
6767,2631cf96,0,15,14,6.0,3.0,4.0,1,14,14,15,0.0
6851,26a30a4a,1,6,3,1.0,1.0,1.0,3,1,1,52,1.0
6863,26aefcc8,0,24,22,6.0,3.0,4.0,4,22,13,24,0.0
6934,27258fd2,0,17,84,0.0,0.0,0.0,5,84,29,17,1.0
6965,2743f13d,0,177,43,65.0,21.0,35.0,4,43,0,177,1.0
6988,27771a92,0,37,7,8.0,6.0,7.0,4,7,5,37,0.0
7152,28953e8a,0,35,4,8.0,2.0,2.0,6,4,0,35,0.0
7193,28c9ec04,0,11,10,2.0,1.0,1.0,2,10,3,11,1.0
7196,28ceac01,0,306,127,232.0,11.0,84.0,15,127,0,306,1.0
7201,28d96c15,0,31,28,11.0,5.0,8.0,4,28,24,31,0.0
7229,28ebdb52,0,14,14,5.0,1.0,3.0,2,14,8,14,0.0
7243,28fcdc9f,0,22,2,11.0,3.0,8.0,1,2,2,22,0.0
7245,28ff2f59,0,15,0,5.0,2.0,3.0,1,0,0,15,0.0
7259,29114279,0,87,33,24.0,5.0,14.0,13,33,0,87,0.0
7262,291382ac,0,38,9,9.0,8.0,9.0,1,9,9,38,0.0
7281,293a25f8,0,25,73,4.0,3.0,3.0,4,73,15,25,0.0
7313,29622269,0,6,2,1.0,1.0,1.0,1,2,2,6,0.0
7344,298272c5,0,8,8,2.0,1.0,1.0,1,8,8,8,1.0
7347,29895139,0,4,5,1.0,1.0,1.0,1,5,5,4,0.0
7363,29a44cd6,0,59,3,44.0,5.0,25.0,4,3,0,59,0.0
7420,2a044f2b,0,83,28,52.0,7.0,23.0,4,28,1,83,0.0
7448,2a2199a4,0,6,6,2.0,1.0,1.0,1,6,6,6,0.0
7540,2aa76e51,1,11,6,3.0,1.0,3.0,3,3,2,25,0.0
7545,2ab41c62,0,6,2,1.0,1.0,1.0,2,2,0,6,1.0
7547,2ab70f14,0,55,74,30.0,3.0,18.0,7,74,9,55,0.0
7607,2b0d7dc5,0,207,63,168.0,36.0,108.0,10,63,0,207,1.0
7611,2b11fb75,0,112,19,109.0,16.0,68.0,12,19,1,112,1.0
7630,2b31ea60,0,24,6,12.0,1.0,3.0,6,6,1,24,1.0
7637,2b3a28c8,0,4,5,1.0,1.0,1.0,1,5,5,4,0.0
7645,2b466fe9,0,99,19,58.0,7.0,22.0,4,19,0,99,1.0
7680,2b7ea8eb,0,24,35,5.0,2.0,2.0,4,35,8,24,1.0
7685,2b81e8f3,1,39,56,22.0,2.0,7.0,8,17,7,171,1.0
7705,2b9def4b,0,75,59,11.0,9.0,9.0,16,59,5,75,1.0
7726,2bb8a9df,0,303,42,54.0,11.0,22.0,57,42,0,303,1.0
7760,2bdffd86,0,101,9,46.0,10.0,36.0,4,9,7,101,0.0
7783,2bfe9bad,0,24,15,15.0,5.0,10.0,1,15,15,24,0.0
7787,2c050c68,1,118,48,10.0,3.0,7.0,27,45,7,208,1.0
7848,2c76c52f,0,35,4,14.0,4.0,11.0,1,4,4,35,0.0
7915,2cc41526,0,59,2,38.0,7.0,12.0,2,2,1,59,1.0
7918,2cc8dbe6,0,42,20,14.0,8.0,9.0,3,20,13,42,0.0
7922,2cce0cc0,0,18,12,7.0,1.0,5.0,3,12,0,18,1.0
7926,2cd4e2f4,0,12,38,5.0,2.0,3.0,3,38,26,12,1.0
7980,2d255736,1,4,1,2.0,1.0,2.0,3,1,0,136,1.0
8002,2d554f7a,0,5,38,0.0,0.0,0.0,1,38,38,5,1.0
8017,2d6b0831,0,14,50,7.0,1.0,5.0,1,50,50,14,1.0
8033,2d7c04e5,0,83,14,50.0,5.0,37.0,4,14,13,84,0.0
8034,2d7e4962,0,3,36,1.0,1.0,1.0,1,36,36,3,1.0
8053,2d99ad11,4,1,120,0.0,0.0,0.0,79,0,0,465,1.0
8061,2da76ee6,3,56,67,8.0,6.0,7.0,12,13,0,141,0.0
8064,2da94a7e,0,4,3,1.0,1.0,1.0,1,3,3,4,0.0
8074,2dc3d9fe,0,25,28,13.0,3.0,8.0,4,28,16,25,1.0
8079,2dca52a1,0,46,8,9.0,4.0,4.0,2,8,4,46,0.0
