,person,#Camino,#pasos_antes_comprar,primera_actividad,modelos_vistos,modelos_distintos,sku_distintos,cantidad_sesiones,promedio_sesiones_sec,#act_ult30dias,primera_actividad_ultimo_paso,ultima_actividad,# Actividades,label
982,05596145,0,68,7,37.0,5.0,11.0,8,269.0,68.0,7,1,68,1.0
1035,05b22e4c,0,129,123,46.0,30.0,38.0,7,665.0,106.0,123,1,129,1.0
1053,05d9ceb0,2,43,113,2.0,1.0,1.0,6,1770.0,0.0,107,35,124,1.0
1074,0601784e,2,18,44,3.0,3.0,3.0,12,940.0000000000001,185.0,12,11,224,1.0
1097,06286d66,0,5,16,1.0,1.0,1.0,1,118.00000000000001,5.0,16,16,5,0.0
1121,065d92a9,0,6,1,1.0,1.0,1.0,1,35.0,6.0,1,1,6,0.0
1134,0673c72a,0,66,48,22.0,5.0,14.0,8,124.00000000000001,25.0,48,9,66,0.0
1164,06989c88,0,415,76,282.0,34.0,115.0,27,868.0,201.0,76,1,415,0.0
1186,06aeda65,0,8,27,3.0,2.0,3.0,1,83.0,8.0,27,27,8,1.0
1191,06b31ab4,0,8,3,2.0,1.0,1.0,1,215.0,8.0,3,3,8,0.0
1205,06c929c1,0,35,3,13.0,1.0,8.0,3,650.0,35.0,3,2,35,0.0
1244,06eeb3e7,2,85,25,24.0,6.0,14.0,10,152.0,125.0,17,0,125,1.0
1271,071dabb9,0,9,35,6.0,1.0,5.0,1,360.0,0.0,35,35,9,1.0
1274,071e79e1,0,31,15,18.0,5.0,12.0,3,473.00000000000006,31.0,15,6,31,1.0
1287,073e697a,0,39,49,7.0,3.0,7.0,4,160.0,36.0,49,13,39,1.0
1316,07709f79,0,48,0,21.0,6.0,17.0,1,1048.0,48.0,0,0,48,0.0
1348,07aabe67,0,634,139,452.0,30.0,191.0,73,220.0,179.0,139,2,634,1.0
1361,07b7d242,0,89,16,41.0,19.0,30.0,7,838.0,90.0,16,4,90,0.0
1373,07cdc12c,1,250,136,100.0,9.0,50.0,47,162.0,104.0,134,1,276,1.0
1425,08081d75,0,35,1,20.0,10.0,17.0,2,576.0,35.0,1,1,35,0.0
1436,0812bda0,1,209,91,121.0,28.0,73.0,14,870.0,0.0,90,82,227,1.0
1439,08176776,0,51,103,20.0,7.0,13.0,8,80.0,15.0,103,10,51,1.0
1457,08343c0e,2,20,149,16.0,5.0,15.0,10,361.0,46.0,2,2,75,1.0
1470,084482af,0,53,24,20.0,9.0,14.0,5,223.0,53.0,24,2,53,1.0
1477,08495405,0,46,7,35.0,4.0,20.0,2,374.0,46.0,7,7,46,0.0
1544,08ae1a50,0,23,7,8.0,3.0,6.0,3,80.0,23.0,7,6,23,0.0
1569,08d10353,0,15,11,8.0,1.0,4.0,3,31.000000000000004,15.0,11,0,15,0.0
1640,09412658,0,8,0,1.0,1.0,1.0,1,155.0,8.0,0,0,8,1.0
1644,0947f818,0,14,0,5.0,1.0,3.0,2,116.00000000000001,14.0,0,0,14,0.0
1659,0960e2d5,0,27,16,9.0,3.0,8.0,2,1360.0,27.0,16,2,27,0.0
1704,09a78ec5,0,16,11,4.0,2.0,2.0,4,8.0,16.0,11,9,16,1.0
1708,09adf503,0,149,16,99.0,13.0,50.0,8,598.0,149.0,16,2,149,1.0
1719,09c4c6e5,0,31,7,19.0,2.0,8.0,2,288.0,31.0,7,6,31,0.0
1724,09d0e523,0,236,29,149.0,20.0,70.0,26,135.0,236.0,29,1,236,1.0
1747,09eb8d77,2,46,7,16.0,4.0,8.0,7,1302.0,77.0,5,4,77,1.0
1868,0a7349eb,0,33,11,9.0,3.0,7.0,2,404.0,33.0,11,10,33,0.0
1902,0aacf315,1,8,47,0.0,0.0,0.0,6,819.0,52.0,28,22,65,1.0
1905,0ab18c72,0,4,3,1.0,1.0,1.0,1,12.0,4.0,3,3,4,0.0
1915,0ab9f8a6,0,21,15,4.0,4.0,4.0,4,132.0,21.0,15,6,21,0.0
1959,0ae8b154,0,3,3,1.0,1.0,1.0,1,0.0,3.0,3,3,3,1.0
1968,0af42006,0,155,64,117.0,22.0,67.0,13,225.0,98.0,64,2,155,1.0
2020,0b482f87,0,30,9,22.0,2.0,12.0,2,582.0,30.0,9,9,30,0.0
2051,0b704cee,0,158,20,61.0,16.0,48.0,10,545.0,158.0,20,3,158,0.0
2059,0b7efe35,0,9,0,2.0,1.0,2.0,1,243.00000000000003,9.0,0,0,9,0.0
2069,0b8f5734,0,4,8,1.0,1.0,1.0,1,10.0,4.0,8,8,4,0.0
2109,0bbc2081,0,48,68,12.0,2.0,8.0,7,201.0,37.0,68,0,48,0.0
2133,0be3f5e5,2,136,86,48.0,19.0,37.0,27,565.0,0.0,60,49,460,1.0
2155,0c00db19,0,15,0,4.0,1.0,2.0,2,232.00000000000003,15.0,0,0,15,1.0
2186,0c371de2,0,2,8,0.0,0.0,0.0,1,19.0,2.0,8,8,2,0.0
2232,0c962c1c,0,12,28,2.0,2.0,2.0,3,67.0,12.0,28,12,12,1.0
2266,0cd9549e,0,4,2,1.0,1.0,1.0,1,9.0,4.0,2,2,4,0.0
2300,0d0ae658,0,4,15,1.0,1.0,1.0,1,0.0,4.0,15,15,4,0.0
2315,0d1af2db,0,21,0,17.0,5.0,15.0,1,295.0,21.0,0,0,21,1.0
2331,0d373bf6,0,22,8,12.0,3.0,5.0,4,512.0,22.0,8,0,22,0.0
2374,0d68d38e,3,13,48,7.0,5.0,6.0,7,948.0000000000001,101.0,1,1,119,1.0
2377,0d6f5cd2,0,47,10,33.0,7.0,17.0,6,230.00000000000003,47.0,10,7,47,1.0
2385,0d79ae9e,0,8,1,5.0,1.0,2.0,1,52.0,8.0,1,1,8,1.0
2412,0da5ecfc,2,292,40,186.0,21.0,60.0,43,699.0,391.0,28,0,501,1.0
2438,0dc7138f,0,128,1,82.0,22.0,43.0,4,1427.0,128.0,1,0,128,1.0
2466,0e04d330,0,12,45,4.0,2.0,4.0,3,100.0,0.0,45,38,12,0.0
2508,0e43f95a,2,8,10,0.0,0.0,0.0,12,146.0,40.0,3,0,40,0.0
2549,0e9c7a1f,0,12,15,0.0,0.0,0.0,3,535.0,12.0,15,14,12,0.0
2551,0e9e5344,0,69,12,37.0,8.0,22.0,9,225.0,69.0,12,5,69,1.0
2552,0e9effd8,0,44,132,21.0,3.0,12.0,5,149.0,0.0,132,130,44,1.0
2571,0eb715ae,0,54,83,15.0,3.0,10.0,5,381.0,12.0,83,13,54,1.0
2642,0f16c676,0,13,46,1.0,1.0,1.0,2,240.00000000000003,0.0,46,46,13,1.0
2703,0f5f453f,0,6,9,2.0,1.0,2.0,1,434.0,6.0,9,9,6,0.0
2735,0f856dbb,0,18,0,8.0,2.0,5.0,1,366.0,18.0,0,0,18,0.0
2754,0fad2e0e,0,16,1,10.0,2.0,6.0,1,210.0,16.0,1,1,16,0.0
2780,0fd9e6a2,0,48,8,36.0,2.0,17.0,1,2103.0,48.0,8,8,48,0.0
2786,0fe8e51e,0,34,30,2.0,2.0,2.0,3,208.0,34.0,30,11,34,1.0
2793,0ff026f5,0,9,76,3.0,3.0,3.0,2,28.0,0.0,76,72,9,1.0
2895,1074bfe5,1,25,11,16.0,9.0,16.0,8,421.0,85.0,10,10,85,0.0
2956,10bab9d5,0,3,1,1.0,1.0,1.0,1,741.0,3.0,1,1,3,0.0
2959,10bbcbd4,0,31,13,10.0,2.0,5.0,5,95.0,31.0,13,9,31,0.0
2977,10c9c105,0,14,0,8.0,1.0,7.0,1,136.0,14.0,0,0,14,0.0
3022,10ff5b8b,0,9,13,3.0,1.0,3.0,1,669.0,9.0,13,13,9,1.0
3137,11b247a4,0,125,14,64.0,8.0,20.0,3,1645.0,125.0,14,10,125,1.0
3139,11b3a3b1,0,29,40,12.0,3.0,9.0,3,142.0,20.0,40,0,29,0.0
3191,11e8a164,0,39,52,11.0,3.0,6.0,5,394.0,19.0,52,1,39,1.0
3195,11ebd529,0,52,36,32.0,9.0,17.0,15,129.0,39.0,36,2,52,1.0
3206,120c29d3,0,9,0,3.0,1.0,3.0,1,280.0,9.0,0,0,9,1.0
3232,123e6920,2,1,90,0.0,0.0,0.0,20,443.0,3.0,2,2,152,1.0
3234,123fde23,1,42,142,16.0,8.0,11.0,8,501.00000000000006,7.0,140,21,105,1.0
3279,1279bda8,0,50,107,27.0,7.0,20.0,5,269.0,0.0,107,42,50,1.0
3282,127b811f,0,4,1,1.0,1.0,1.0,1,25.0,4.0,1,1,4,0.0
3317,12aba4ee,0,15,16,7.0,4.0,6.0,2,620.0,15.0,16,9,15,0.0
3318,12aca694,0,57,1,45.0,8.0,27.0,4,589.0,57.0,1,0,57,0.0
3328,12c99e0c,0,6,10,2.0,1.0,2.0,1,99.0,6.0,10,10,6,1.0
3345,12db1140,0,2,94,0.0,0.0,0.0,1,0.0,0.0,94,94,2,1.0
3347,12dd30fe,0,41,11,31.0,3.0,17.0,1,93.0,41.0,11,11,41,0.0
3353,12e7a320,0,33,140,9.0,2.0,8.0,7,529.0,16.0,140,0,33,1.0
3398,132bda83,0,24,13,11.0,2.0,8.0,4,309.0,24.0,13,13,24,1.0
3408,133f4086,0,26,44,7.0,3.0,5.0,3,272.0,0.0,44,34,26,1.0
3466,1394e69c,0,13,0,9.0,3.0,6.0,1,275.0,13.0,0,0,13,0.0
3484,13ab9f13,0,41,19,23.0,2.0,15.0,2,534.0,41.0,19,1,41,0.0
3542,13ed1966,0,34,97,16.0,4.0,9.0,3,363.0,28.0,97,5,34,0.0
3558,140376d0,0,26,15,18.0,3.0,10.0,3,61.00000000000001,26.0,15,14,26,1.0
3566,1411a6d9,0,4,4,2.0,1.0,1.0,1,114.0,4.0,4,4,4,0.0
3599,14391000,0,27,90,6.0,2.0,5.0,5,53.0,18.0,90,11,27,0.0
3614,1449a617,0,39,9,6.0,3.0,4.0,3,721.0,39.0,9,8,39,0.0
3657,14906419,0,8,11,4.0,1.0,3.0,1,210.0,8.0,11,11,8,0.0
3664,14a041b1,0,21,18,4.0,3.0,3.0,2,203.0,21.0,18,5,21,1.0
3685,14b26f9d,0,38,115,25.0,2.0,16.0,2,822.0,0.0,115,115,38,1.0
3693,14ba67bf,2,16,21,1.0,1.0,1.0,6,395.0,45.0,15,6,45,1.0
3705,14d40cd3,0,25,15,21.0,2.0,16.0,1,353.0,25.0,15,15,25,0.0
3728,14fb3669,0,22,1,11.0,4.0,9.0,2,343.0,22.0,1,1,22,1.0
3729,14fd0b3c,0,74,23,21.0,8.0,13.0,4,698.0,74.0,23,10,74,0.0
3753,1517be31,0,19,3,14.0,4.0,9.0,1,166.0,19.0,3,3,19,1.0
3787,1544621e,0,15,8,8.0,1.0,3.0,1,1416.0,15.0,8,8,15,0.0
3812,15696a58,0,22,3,10.0,2.0,4.0,4,59.00000000000001,22.0,3,0,22,0.0
3839,158ebc3b,4,68,131,25.0,5.0,19.0,40,555.0,8.0,70,8,632,0.0
3867,15a70aeb,0,22,0,13.0,2.0,10.0,1,1062.0,22.0,0,0,22,0.0
3897,15c99b91,0,46,7,17.0,6.0,10.0,4,472.00000000000006,46.0,7,3,46,1.0
3902,15d35ec5,0,12,2,7.0,4.0,4.0,1,173.0,12.0,2,2,12,1.0
3908,15de4f10,0,22,95,6.0,1.0,5.0,1,262.0,0.0,95,95,22,1.0
3913,15e804cc,0,31,15,9.0,3.0,4.0,2,822.0,31.0,15,13,31,0.0
3972,16319654,0,30,9,15.0,6.0,10.0,1,3094.0,31.0,9,9,31,1.0
3981,16426a08,0,13,19,3.0,1.0,1.0,4,9.0,13.0,19,5,13,0.0
3995,164fa3da,5,135,91,10.0,7.0,8.0,37,261.0,3.0,70,23,201,1.0
4038,168871d5,1,40,42,15.0,4.0,12.0,18,371.0,62.0,21,14,124,1.0
4072,16b0f5bb,0,4,2,1.0,1.0,1.0,1,8.0,4.0,2,2,4,0.0
4123,16f28923,0,173,5,167.0,17.0,108.0,3,547.0,173.0,5,0,173,0.0
4158,171e75cb,1,340,88,274.0,21.0,95.0,106,453.0,279.0,37,0,1212,1.0
4207,175db121,0,12,29,8.0,2.0,5.0,4,20.0,12.0,29,17,12,1.0
4225,177bc00b,0,101,25,69.0,17.0,38.0,3,2061.0,101.0,25,6,101,1.0
4227,177f1298,0,277,82,83.0,21.0,43.0,40,589.0,220.0,82,2,277,1.0
4241,179ae39f,1,6,10,3.0,1.0,3.0,1,1124.0,68.0,10,10,68,1.0
4259,17b65b04,2,6,141,2.0,1.0,1.0,23,652.0,31.0,16,16,230,0.0
4337,181cfff7,0,20,2,5.0,2.0,5.0,2,346.0,20.0,2,1,20,1.0
4348,182fd462,0,4,2,1.0,1.0,1.0,1,27.0,4.0,2,2,4,0.0
4351,1836c63e,0,4,31,0.0,0.0,0.0,1,0.0,4.0,31,31,4,1.0
4395,187e19a3,0,4,2,1.0,1.0,1.0,1,44.0,4.0,2,2,4,0.0
4412,189c451b,0,77,50,44.0,15.0,31.0,5,567.0,45.0,50,13,77,1.0
4468,18e77b0a,0,100,6,68.0,8.0,27.0,3,518.0,100.0,6,0,100,1.0
4492,18f39a0c,0,251,42,218.0,32.0,88.0,11,1230.0,223.0,42,2,251,1.0
4513,190f9a00,0,4,1,1.0,1.0,1.0,1,29.000000000000004,4.0,1,1,4,0.0
4568,196292f4,0,10,7,0.0,0.0,0.0,1,556.0,10.0,7,7,10,1.0
4594,197a619e,0,8,68,1.0,1.0,1.0,2,16.0,4.0,68,20,8,1.0
4621,199cf3c4,2,25,9,7.0,4.0,6.0,14,804.0,168.0,5,2,168,1.0
4666,19ed4344,0,199,17,81.0,9.0,36.0,17,665.0,200.0,17,0,200,1.0
4669,19f17086,0,20,1,9.0,2.0,7.0,2,731.0,20.0,1,1,20,1.0
4689,1a16d494,0,50,8,25.0,7.0,17.0,1,2715.0,50.0,8,8,50,0.0
4702,1a2e3e29,1,23,14,2.0,1.0,2.0,7,326.0,39.0,7,3,39,0.0
4750,1a7e1231,0,4,13,1.0,1.0,1.0,1,10.0,4.0,13,13,4,0.0
4781,1a92f5b1,0,4,116,0.0,0.0,0.0,1,0.0,0.0,116,116,4,0.0
4832,1adba253,0,37,20,13.0,5.0,12.0,2,733.0,37.0,20,18,37,1.0
4850,1af68b74,0,26,123,9.0,5.0,9.0,2,1134.0,0.0,123,122,26,1.0
4851,1afbc2ef,0,22,12,17.0,2.0,9.0,1,428.0,22.0,12,12,22,0.0
4863,1b0ec4ec,3,835,69,633.0,15.0,170.0,83,337.0,202.0,64,6,1167,0.0
4868,1b17b334,0,3,103,1.0,1.0,1.0,1,1.0,0.0,103,103,3,1.0
4928,1b59ca78,0,240,115,193.0,22.0,103.0,12,544.0,231.0,115,0,240,1.0
4946,1b743501,0,28,23,7.0,6.0,6.0,3,257.0,28.0,23,9,28,1.0
4954,1b835cc0,0,43,4,39.0,4.0,22.0,1,228.0,43.0,4,4,43,0.0
4991,1bc7f14b,0,35,6,11.0,3.0,9.0,3,151.0,35.0,6,0,35,1.0
4992,1bc807ce,0,166,21,83.0,9.0,37.0,3,1373.0,166.0,21,2,166,0.0
5006,1bd6991e,0,30,41,6.0,5.0,5.0,3,476.00000000000006,12.0,41,27,30,1.0
5011,1be6a8c9,0,28,57,3.0,3.0,3.0,3,141.0,0.0,57,54,28,1.0
5020,1bf1aeef,0,206,6,169.0,31.0,83.0,3,2771.0,206.0,6,5,206,0.0
5029,1bf887bc,0,23,57,11.0,5.0,6.0,6,228.0,2.0,57,0,23,1.0
5032,1bf9ead1,0,30,8,6.0,5.0,5.0,2,208.0,30.0,8,6,30,0.0
5070,1c3a4e83,0,115,20,46.0,15.0,20.0,20,505.00000000000006,115.0,20,1,115,1.0
5095,1c6dd51b,0,174,9,125.0,11.0,37.0,15,591.0,174.0,9,0,174,1.0
5108,1c7f0e39,0,18,8,4.0,2.0,3.0,1,183.0,18.0,8,8,18,0.0
5116,1c8c689c,0,107,2,83.0,23.0,45.0,4,1937.0000000000002,107.0,2,0,107,1.0
5121,1c953672,0,22,7,9.0,2.0,5.0,2,707.0,22.0,7,6,22,0.0
5167,1ce1ab16,0,3,10,0.0,0.0,0.0,1,13.0,3.0,10,10,3,0.0
5175,1ced74a7,0,41,8,13.0,4.0,6.0,5,106.0,41.0,8,2,41,0.0
5186,1cfa87f1,1,6,79,0.0,0.0,0.0,3,575.0,0.0,79,78,20,1.0
5232,1d4a4b80,0,7,14,3.0,1.0,2.0,1,140.0,7.0,14,14,7,0.0
5268,1d94a485,0,31,9,5.0,2.0,4.0,1,1637.0,31.0,9,9,31,0.0
5272,1d9eb251,0,43,11,8.0,6.0,6.0,3,1878.0000000000002,43.0,11,6,43,1.0
5278,1daab2a9,0,48,49,33.0,5.0,19.0,7,103.0,44.0,49,3,48,1.0
5301,1dcfcf1a,0,3,14,0.0,0.0,0.0,1,19.0,3.0,14,14,3,0.0
5322,1dec914f,0,88,35,76.0,13.0,42.0,2,2026.0000000000002,12.0,35,27,89,1.0
5341,1e0d9fa0,0,68,14,38.0,15.0,23.0,2,860.0,68.0,14,2,68,1.0
5376,1e32ded5,2,0,79,0.0,0.0,0.0,2,608.0,0.0,79,79,13,1.0
5380,1e38acb8,0,23,106,5.0,2.0,4.0,4,354.0,15.0,106,0,23,0.0
5384,1e3fff82,0,130,6,96.0,14.0,47.0,6,980.0000000000001,130.0,6,4,130,0.0
5388,1e44bfab,0,12,10,5.0,1.0,4.0,2,54.0,12.0,10,8,12,0.0
5419,1e7413dd,0,38,14,24.0,5.0,12.0,3,169.0,38.0,14,6,38,0.0
5459,1eab3f70,0,22,29,11.0,4.0,8.0,1,395.0,22.0,29,29,22,1.0
5499,1ee88eac,0,20,24,7.0,3.0,7.0,2,222.0,20.0,24,23,20,1.0
5571,1f62dcbc,0,55,73,27.0,5.0,20.0,4,414.0,22.0,73,1,55,1.0
5589,1f7f4cf4,0,103,6,80.0,19.0,52.0,5,862.0,103.0,6,0,103,1.0
5630,1fd053d3,0,3,31,0.0,0.0,0.0,1,0.0,3.0,31,31,3,0.0
5632,1fd5c0ed,0,20,56,6.0,5.0,5.0,5,76.0,13.0,56,14,20,1.0
5699,203297ab,0,4,145,1.0,1.0,1.0,1,12.0,0.0,145,145,4,1.0
5722,2047c93f,0,33,14,10.0,5.0,7.0,2,1248.0,33.0,14,10,33,0.0
5726,204c6569,0,28,5,19.0,13.0,14.0,1,345.0,28.0,5,5,28,0.0
5744,205d9c1a,2,36,27,12.0,2.0,3.0,15,322.0,65.0,23,14,65,1.0
5782,20950506,0,216,19,107.0,33.0,67.0,13,1756.0,216.0,19,0,216,1.0
5790,20a7ceeb,0,20,9,15.0,6.0,11.0,1,2696.0,20.0,9,9,20,0.0
5825,20dadf21,0,2,1,1.0,1.0,1.0,1,0.0,2.0,1,1,2,1.0
5831,20e78c0f,0,35,23,13.0,3.0,10.0,3,122.00000000000001,35.0,23,14,35,0.0
5845,20f602c7,0,29,1,22.0,8.0,17.0,1,2770.0,29.0,1,0,29,1.0
5851,20fe380b,0,4,5,1.0,1.0,1.0,1,18.0,4.0,5,5,4,0.0
5862,210fd6d9,0,4,51,0.0,0.0,0.0,1,0.0,0.0,51,51,4,1.0
5865,21130ceb,0,46,27,29.0,5.0,18.0,5,432.0,46.0,27,24,46,1.0
5877,212454da,0,4,8,1.0,1.0,1.0,1,355.0,4.0,8,8,4,0.0
5916,214c95b5,0,6,22,2.0,1.0,1.0,2,6.0,6.0,22,16,6,1.0
6016,21f5eeda,0,13,1,4.0,2.0,3.0,2,268.0,13.0,1,0,13,1.0
6017,21f67ee5,0,3,47,1.0,1.0,1.0,1,0.0,0.0,47,47,3,1.0
6025,220a7796,0,10,9,3.0,2.0,3.0,1,911.0,10.0,9,9,10,0.0
6027,220cf640,0,76,10,56.0,9.0,33.0,4,1019.0000000000001,76.0,10,2,76,0.0
6082,2260ca72,0,6,1,2.0,2.0,2.0,2,0.0,6.0,1,1,6,1.0
6099,2280ebc0,0,153,25,73.0,21.0,37.0,12,551.0,153.0,25,1,153,1.0
6100,22823667,0,29,85,10.0,5.0,9.0,8,48.0,4.0,85,26,29,0.0
6101,22831d56,0,10,5,3.0,1.0,2.0,1,434.0,11.0,5,5,11,1.0
6136,22b0bd67,1,2,20,0.0,0.0,0.0,1,2471.0,45.0,20,20,45,1.0
6140,22b9085f,0,341,11,197.0,29.0,82.0,7,2091.0,341.0,11,6,341,1.0
6155,22cfc3f5,0,127,133,72.0,12.0,37.0,9,404.0,56.0,133,4,127,1.0
6181,22f7466d,0,10,3,1.0,1.0,1.0,2,247.00000000000003,10.0,3,3,10,1.0
6193,230f09a6,0,177,9,125.0,4.0,25.0,19,362.0,177.0,9,0,177,1.0
6230,234a8e4d,0,175,24,81.0,14.0,21.0,49,112.0,175.0,24,1,175,1.0
6300,23a215d7,0,38,12,23.0,10.0,15.0,5,362.0,38.0,12,10,38,0.0
6330,23ca96cb,0,9,12,3.0,2.0,2.0,1,157.0,9.0,12,12,9,0.0
6372,24120769,0,6,7,2.0,2.0,2.0,1,43.0,6.0,7,7,6,1.0
6382,241f6e2b,0,4,10,1.0,1.0,1.0,1,11.0,4.0,10,10,4,0.0
6391,242ffdbc,2,5,75,1.0,1.0,1.0,19,372.0,81.0,1,0,121,0.0
6437,245b5e07,0,12,17,2.0,2.0,2.0,3,18.0,12.0,17,7,12,0.0
6475,2486de05,1,98,44,50.0,4.0,18.0,10,362.0,98.0,27,3,136,1.0
6486,249d5815,0,32,6,17.0,7.0,9.0,2,596.0,32.0,6,1,32,0.0
6495,24aaa37f,0,3,22,1.0,1.0,1.0,1,1.0,3.0,22,22,3,1.0
6501,24b515a9,0,22,27,9.0,6.0,6.0,2,1033.0,22.0,27,26,22,1.0
6504,24bb3db1,0,4,3,1.0,1.0,1.0,1,13.0,4.0,3,3,4,0.0
6520,24cd912d,0,28,0,13.0,10.0,10.0,1,1272.0,28.0,0,0,28,1.0
6521,24cf4808,0,102,115,36.0,8.0,21.0,10,267.0,39.0,115,7,102,0.0
6553,2501a39b,0,29,0,26.0,3.0,16.0,1,1071.0,29.0,0,0,29,1.0
6627,2576d981,0,56,73,25.0,18.0,21.0,4,896.0,0.0,73,65,56,1.0
6632,2582934e,0,4,4,1.0,1.0,1.0,1,15.000000000000002,4.0,4,4,4,0.0
6638,258ea149,0,7,2,2.0,1.0,1.0,1,45.0,7.0,2,2,7,0.0
6684,25cb8185,1,2,59,1.0,1.0,1.0,12,809.0,60.0,1,1,148,1.0
6700,25e4a370,0,3,0,1.0,1.0,1.0,1,0.0,3.0,0,0,3,1.0
6718,25fd0b2d,0,18,7,8.0,1.0,4.0,1,1128.0,18.0,7,7,18,0.0
6729,260814bd,0,27,3,14.0,3.0,8.0,2,692.0,27.0,3,1,27,0.0
6750,26232807,0,28,137,9.0,5.0,7.0,4,207.0,15.0,137,5,28,1.0
6782,263752c6,0,70,2,57.0,11.0,40.0,2,840.0,70.0,2,1,70,0.0
6834,267a8ea4,0,8,5,3.0,1.0,1.0,1,391.0,8.0,5,5,8,0.0
6851,26a30a4a,1,6,3,1.0,1.0,1.0,4,563.0,52.0,1,1,52,1.0
6910,2702c421,0,12,10,1.0,1.0,1.0,1,207.0,12.0,10,10,12,0.0
6922,2718005b,0,30,11,12.0,2.0,7.0,4,200.0,30.0,11,9,30,0.0
6927,271c9e78,1,8,8,0.0,0.0,0.0,4,219.0,9.0,8,8,9,0.0
6931,2721041d,0,9,3,3.0,2.0,2.0,2,26.0,9.0,3,3,9,0.0
6934,27258fd2,0,17,84,0.0,0.0,0.0,5,43.0,2.0,84,29,17,1.0
6953,273998ad,0,7,11,3.0,1.0,2.0,1,101.0,7.0,11,11,7,0.0
6965,2743f13d,0,177,43,65.0,21.0,35.0,7,1574.0,162.0,43,0,177,1.0
7084,27fd1122,0,45,1,37.0,5.0,24.0,3,715.0,45.0,1,0,45,0.0
