,person,#Camino,#pasos_antes_comprar,primera_actividad,modelos_vistos,modelos_distintos,sku_distintos,cantidad_sesiones,#act_ult30dias,primera_actividad_ultimo_paso,ultima_actividad,# Actividades,label
3815,1569fade,0,13,0,5.0,1.0,1.0,2,13.0,0,0,13,0.0
3863,15a3a249,0,4,10,1.0,1.0,1.0,1,4.0,10,10,4,0.0
3897,15c99b91,0,46,7,17.0,6.0,10.0,4,46.0,7,3,46,1.0
3902,15d35ec5,0,12,2,7.0,4.0,4.0,1,12.0,2,2,12,1.0
3908,15de4f10,0,22,95,6.0,1.0,5.0,1,0.0,95,95,22,1.0
3931,15fbfbaa,0,4,6,1.0,1.0,1.0,1,4.0,6,6,4,0.0
3951,160bd7bb,0,33,16,24.0,5.0,15.0,1,33.0,16,16,33,0.0
3962,161dae66,0,27,13,12.0,4.0,8.0,1,27.0,13,13,27,0.0
3972,16319654,0,30,9,15.0,6.0,10.0,1,31.0,9,9,31,1.0
3975,16370c68,0,8,5,2.0,1.0,1.0,2,8.0,5,3,8,0.0
3995,164fa3da,5,135,91,10.0,7.0,8.0,37,3.0,70,23,201,1.0
4020,166f19e2,2,1,7,0.0,0.0,0.0,1,43.0,7,7,43,0.0
4038,168871d5,1,40,42,15.0,4.0,12.0,18,62.0,21,14,124,1.0
4057,16a6379f,0,40,62,26.0,8.0,15.0,4,0.0,62,53,40,0.0
4069,16aeeb9c,0,21,2,9.0,6.0,6.0,2,21.0,2,2,21,0.0
4076,16b7ed42,0,34,22,11.0,4.0,8.0,3,34.0,22,12,34,0.0
4094,16ca89f1,0,47,23,27.0,5.0,18.0,2,47.0,23,23,47,0.0
4096,16cbc45b,0,40,77,25.0,8.0,19.0,5,22.0,77,7,40,0.0
4097,16cc4c22,0,48,1,26.0,5.0,17.0,2,48.0,1,1,48,0.0
4141,17049a1f,0,13,17,2.0,1.0,1.0,3,13.0,17,10,13,0.0
4158,171e75cb,1,340,88,274.0,21.0,95.0,106,279.0,37,0,1212,1.0
4160,1721aa09,0,20,9,2.0,1.0,1.0,2,20.0,9,5,20,0.0
4199,17582b38,0,74,10,66.0,9.0,24.0,1,74.0,10,10,74,0.0
4207,175db121,0,12,29,8.0,2.0,5.0,4,12.0,29,17,12,1.0
4225,177bc00b,0,101,25,69.0,17.0,38.0,3,101.0,25,6,101,1.0
4227,177f1298,0,277,82,83.0,21.0,43.0,40,220.0,82,2,277,1.0
4234,178b3334,0,12,7,4.0,2.0,4.0,1,12.0,7,7,12,0.0
4241,179ae39f,1,6,10,3.0,1.0,3.0,1,68.0,10,10,68,1.0
4242,179e5106,0,44,126,20.0,12.0,16.0,8,26.0,126,0,44,0.0
4252,17af99ce,0,379,136,218.0,10.0,55.0,30,60.0,136,10,379,0.0
4275,17d26511,0,41,0,11.0,6.0,8.0,2,41.0,0,0,41,0.0
4284,17dc7cfc,0,9,10,2.0,1.0,1.0,1,9.0,10,10,9,0.0
4305,17fb49f4,0,7,8,2.0,1.0,1.0,1,7.0,8,8,7,0.0
4309,17fe110d,0,10,71,2.0,1.0,2.0,3,0.0,71,64,10,0.0
4337,181cfff7,0,20,2,5.0,2.0,5.0,2,20.0,2,1,20,1.0
4351,1836c63e,0,4,31,0.0,0.0,0.0,1,4.0,31,31,4,1.0
4395,187e19a3,0,4,2,1.0,1.0,1.0,1,4.0,2,2,4,0.0
4397,1881d0d9,0,30,28,8.0,4.0,6.0,5,30.0,28,16,30,0.0
4412,189c451b,0,77,50,44.0,15.0,31.0,5,45.0,50,13,77,1.0
4421,18a4c4db,1,12,38,0.0,0.0,0.0,9,36.0,9,3,39,0.0
4428,18a8481e,0,4,13,1.0,1.0,1.0,1,4.0,13,13,4,0.0
4433,18ad6ffd,0,56,35,23.0,7.0,18.0,10,35.0,35,16,56,0.0
4468,18e77b0a,0,100,6,68.0,8.0,27.0,3,100.0,6,0,100,1.0
4469,18e91628,0,17,19,7.0,2.0,4.0,3,17.0,19,11,17,0.0
4492,18f39a0c,0,251,42,218.0,32.0,88.0,11,223.0,42,2,251,1.0
4505,19072e65,0,32,9,12.0,3.0,9.0,2,32.0,9,5,32,0.0
4508,190a7e66,0,21,59,5.0,2.0,3.0,3,0.0,59,57,21,0.0
4527,1927a88d,0,54,48,14.0,6.0,8.0,10,37.0,48,8,54,0.0
4535,19313863,0,87,14,42.0,10.0,25.0,7,87.0,14,3,87,0.0
4568,196292f4,0,10,7,0.0,0.0,0.0,1,10.0,7,7,10,1.0
4583,1976ec14,0,52,21,46.0,5.0,29.0,2,52.0,21,14,52,0.0
4594,197a619e,0,8,68,1.0,1.0,1.0,2,4.0,68,20,8,1.0
4618,19993325,0,26,52,7.0,6.0,6.0,3,10.0,52,12,26,0.0
4621,199cf3c4,2,25,9,7.0,4.0,6.0,14,168.0,5,2,168,1.0
4662,19e5bd06,0,20,6,14.0,2.0,7.0,1,20.0,6,6,20,0.0
4666,19ed4344,0,199,17,81.0,9.0,36.0,17,200.0,17,0,200,1.0
4669,19f17086,0,20,1,9.0,2.0,7.0,2,20.0,1,1,20,1.0
4767,1a898f43,0,7,2,3.0,1.0,2.0,1,7.0,2,2,7,0.0
4768,1a8add83,0,65,9,38.0,15.0,23.0,5,65.0,9,2,65,0.0
4832,1adba253,0,37,20,13.0,5.0,12.0,2,37.0,20,18,37,1.0
4850,1af68b74,0,26,123,9.0,5.0,9.0,2,0.0,123,122,26,1.0
4866,1b15260a,0,12,16,5.0,2.0,3.0,2,12.0,16,1,12,0.0
4868,1b17b334,0,3,103,1.0,1.0,1.0,1,0.0,103,103,3,1.0
4912,1b3df612,0,4,5,1.0,1.0,1.0,1,4.0,5,5,4,0.0
4928,1b59ca78,0,240,115,193.0,22.0,103.0,12,231.0,115,0,240,1.0
4930,1b5b18d4,0,33,129,13.0,2.0,10.0,3,31.0,129,12,33,0.0
4946,1b743501,0,28,23,7.0,6.0,6.0,3,28.0,23,9,28,1.0
4972,1bab78c7,0,222,45,68.0,17.0,30.0,38,112.0,45,4,222,0.0
4973,1baccb74,0,10,15,5.0,3.0,4.0,2,10.0,15,10,10,0.0
4981,1bb44b38,0,45,9,12.0,5.0,5.0,3,45.0,9,1,45,0.0
4990,1bc4241a,0,25,37,11.0,2.0,6.0,4,13.0,37,3,25,0.0
4991,1bc7f14b,0,35,6,11.0,3.0,9.0,3,35.0,6,0,35,1.0
5006,1bd6991e,0,30,41,6.0,5.0,5.0,3,12.0,41,27,30,1.0
5011,1be6a8c9,0,28,57,3.0,3.0,3.0,3,0.0,57,54,28,1.0
5023,1bf355b9,0,7,2,3.0,1.0,2.0,1,7.0,2,2,7,0.0
5029,1bf887bc,0,23,57,11.0,5.0,6.0,6,2.0,57,0,23,1.0
5065,1c340c9b,1,239,31,145.0,16.0,71.0,40,349.0,29,2,349,0.0
5070,1c3a4e83,0,115,20,46.0,15.0,20.0,20,115.0,20,1,115,1.0
5095,1c6dd51b,0,174,9,125.0,11.0,37.0,15,174.0,9,0,174,1.0
5116,1c8c689c,0,107,2,83.0,23.0,45.0,4,107.0,2,0,107,1.0
5144,1cba523a,0,111,21,93.0,7.0,40.0,3,111.0,21,0,111,0.0
5186,1cfa87f1,1,6,79,0.0,0.0,0.0,3,0.0,79,78,20,1.0
5227,1d417563,0,28,2,19.0,5.0,8.0,2,28.0,2,2,28,0.0
5272,1d9eb251,0,43,11,8.0,6.0,6.0,3,43.0,11,6,43,1.0
5278,1daab2a9,0,48,49,33.0,5.0,19.0,7,44.0,49,3,48,1.0
5309,1dd92b46,3,9,36,0.0,0.0,0.0,7,41.0,13,10,131,0.0
5322,1dec914f,0,88,35,76.0,13.0,42.0,2,12.0,35,27,89,1.0
5341,1e0d9fa0,0,68,14,38.0,15.0,23.0,2,68.0,14,2,68,1.0
5369,1e2c94eb,0,25,5,3.0,2.0,2.0,2,25.0,5,4,25,0.0
5370,1e2d3567,0,269,16,231.0,16.0,104.0,7,270.0,16,0,270,0.0
5376,1e32ded5,2,0,79,0.0,0.0,0.0,2,0.0,79,79,13,1.0
5413,1e6c6b03,0,43,10,10.0,5.0,8.0,1,43.0,10,10,43,0.0
5451,1ea4e7bc,0,114,5,50.0,4.0,25.0,16,114.0,5,0,114,0.0
5459,1eab3f70,0,22,29,11.0,4.0,8.0,1,22.0,29,29,22,1.0
5488,1ecf3e95,0,9,16,3.0,1.0,2.0,1,9.0,16,16,9,0.0
5499,1ee88eac,0,20,24,7.0,3.0,7.0,2,20.0,24,23,20,1.0
5571,1f62dcbc,0,55,73,27.0,5.0,20.0,4,22.0,73,1,55,1.0
5589,1f7f4cf4,0,103,6,80.0,19.0,52.0,5,103.0,6,0,103,1.0
5612,1fa640cf,0,36,9,16.0,6.0,11.0,1,36.0,9,9,36,0.0
5618,1faf527d,0,95,40,75.0,11.0,45.0,8,43.0,40,7,95,0.0
5632,1fd5c0ed,0,20,56,6.0,5.0,5.0,5,13.0,56,14,20,1.0
5659,1fe55c42,0,6,9,2.0,1.0,1.0,1,6.0,9,9,6,0.0
5687,2020fc8e,0,36,2,23.0,3.0,7.0,2,36.0,2,0,36,0.0
5699,203297ab,0,4,145,1.0,1.0,1.0,1,0.0,145,145,4,1.0
5711,203ba219,0,35,15,8.0,7.0,7.0,2,35.0,15,8,35,0.0
5722,2047c93f,0,33,14,10.0,5.0,7.0,2,33.0,14,10,33,0.0
5737,2059dc18,0,140,12,92.0,22.0,60.0,1,140.0,12,12,140,0.0
5744,205d9c1a,2,36,27,12.0,2.0,3.0,15,65.0,23,14,65,1.0
5782,20950506,0,216,19,107.0,33.0,67.0,13,216.0,19,0,216,1.0
5786,209d0d12,0,77,16,31.0,5.0,21.0,5,77.0,16,1,77,0.0
5825,20dadf21,0,2,1,1.0,1.0,1.0,1,2.0,1,1,2,1.0
5840,20f4576f,0,7,14,2.0,1.0,1.0,1,7.0,14,14,7,0.0
5845,20f602c7,0,29,1,22.0,8.0,17.0,1,29.0,1,0,29,1.0
5862,210fd6d9,0,4,51,0.0,0.0,0.0,1,0.0,51,51,4,1.0
5865,21130ceb,0,46,27,29.0,5.0,18.0,5,46.0,27,24,46,1.0
5916,214c95b5,0,6,22,2.0,1.0,1.0,2,6.0,22,16,6,1.0
5927,21586a4c,0,122,23,56.0,4.0,24.0,18,122.0,23,12,122,0.0
5928,21588b01,0,128,65,69.0,9.0,35.0,10,84.0,65,9,128,0.0
5949,2184ea02,0,62,2,52.0,19.0,37.0,1,62.0,2,2,62,0.0
5952,21871daf,0,82,96,22.0,11.0,18.0,8,32.0,96,11,82,0.0
5978,21b29302,0,4,2,1.0,1.0,1.0,1,4.0,2,2,4,0.0
6016,21f5eeda,0,13,1,4.0,2.0,3.0,2,13.0,1,0,13,1.0
6017,21f67ee5,0,3,47,1.0,1.0,1.0,1,0.0,47,47,3,1.0
6035,221aba7e,0,125,3,96.0,26.0,66.0,2,125.0,3,3,125,0.0
6043,2227dfd2,0,89,0,32.0,17.0,27.0,2,89.0,0,0,89,0.0
6065,2245bb89,0,19,22,6.0,3.0,4.0,4,19.0,22,21,19,0.0
6082,2260ca72,0,6,1,2.0,2.0,2.0,2,6.0,1,1,6,1.0
6084,22675a84,0,5,2,1.0,1.0,1.0,1,5.0,2,2,5,0.0
6099,2280ebc0,0,153,25,73.0,21.0,37.0,12,153.0,25,1,153,1.0
