,person,cant_sesiones_inac45MIN_ult_9999_dias,promedio_sesiones_sec_inac45MIN_ult_9999_dias,tiempo_total_sesiones_sec_inac45MIN_ult_9999_dias,cant_sesiones_inac45MIN_ult_30_dias,promedio_sesiones_sec_inac45MIN_ult_30_dias,tiempo_total_sesiones_sec_inac45MIN_ult_30_dias,cant_sesiones_inac45MIN_ult_25_dias,promedio_sesiones_sec_inac45MIN_ult_25_dias,tiempo_total_sesiones_sec_inac45MIN_ult_25_dias,cant_sesiones_inac45MIN_ult_20_dias,promedio_sesiones_sec_inac45MIN_ult_20_dias,tiempo_total_sesiones_sec_inac45MIN_ult_20_dias,cant_sesiones_inac45MIN_ult_15_dias,promedio_sesiones_sec_inac45MIN_ult_15_dias,tiempo_total_sesiones_sec_inac45MIN_ult_15_dias,cant_sesiones_inac45MIN_ult_10_dias,promedio_sesiones_sec_inac45MIN_ult_10_dias,tiempo_total_sesiones_sec_inac45MIN_ult_10_dias,cant_sesiones_inac45MIN_ult_5_dias,promedio_sesiones_sec_inac45MIN_ult_5_dias,tiempo_total_sesiones_sec_inac45MIN_ult_5_dias,cant_sesiones_inac45MIN_ult_1_dias,promedio_sesiones_sec_inac45MIN_ult_1_dias,tiempo_total_sesiones_sec_inac45MIN_ult_1_dias,cant_sesiones_inac30MIN_ult_9999_dias,promedio_sesiones_sec_inac30MIN_ult_9999_dias,tiempo_total_sesiones_sec_inac30MIN_ult_9999_dias,cant_sesiones_inac30MIN_ult_30_dias,promedio_sesiones_sec_inac30MIN_ult_30_dias,tiempo_total_sesiones_sec_inac30MIN_ult_30_dias,cant_sesiones_inac30MIN_ult_25_dias,promedio_sesiones_sec_inac30MIN_ult_25_dias,tiempo_total_sesiones_sec_inac30MIN_ult_25_dias,cant_sesiones_inac30MIN_ult_20_dias,promedio_sesiones_sec_inac30MIN_ult_20_dias,tiempo_total_sesiones_sec_inac30MIN_ult_20_dias,cant_sesiones_inac30MIN_ult_15_dias,promedio_sesiones_sec_inac30MIN_ult_15_dias,tiempo_total_sesiones_sec_inac30MIN_ult_15_dias,cant_sesiones_inac30MIN_ult_10_dias,promedio_sesiones_sec_inac30MIN_ult_10_dias,tiempo_total_sesiones_sec_inac30MIN_ult_10_dias,cant_sesiones_inac30MIN_ult_5_dias,promedio_sesiones_sec_inac30MIN_ult_5_dias,tiempo_total_sesiones_sec_inac30MIN_ult_5_dias,cant_sesiones_inac30MIN_ult_1_dias,promedio_sesiones_sec_inac30MIN_ult_1_dias,tiempo_total_sesiones_sec_inac30MIN_ult_1_dias,samsung_vistos,iphone_vistos,motorola_vistos,total_marcas_vistas,%_vistos_samsung,%_vistos_motorola,%_vistos_iphone,modelos_vistos,modelos_distintos,sku_distintos,mod_mas_visto_ult_9999_dias,total_vistos_ult_9999_dias,%_mas_visto_ult_9999_dias,mod_mas_visto_ult_30_dias,total_vistos_ult_30_dias,%_mas_visto_ult_30_dias,mod_mas_visto_ult_25_dias,total_vistos_ult_25_dias,%_mas_visto_ult_25_dias,mod_mas_visto_ult_20_dias,total_vistos_ult_20_dias,%_mas_visto_ult_20_dias,mod_mas_visto_ult_15_dias,total_vistos_ult_15_dias,%_mas_visto_ult_15_dias,mod_mas_visto_ult_10_dias,total_vistos_ult_10_dias,%_mas_visto_ult_10_dias,mod_mas_visto_ult_5_dias,total_vistos_ult_5_dias,%_mas_visto_ult_5_dias,mod_mas_visto_ult_1_dias,total_vistos_ult_1_dias,%_mas_visto_ult_1_dias,#Camino,compro,#pasos_antes_comprar,primera_actividad_ultimo_paso,ultima_actividad,primera_actividad,check_ult_9999_dias,check_ult_30_dias,check_ult_25_dias,check_ult_20_dias,check_ult_15_dias,check_ult_10_dias,check_ult_5_dias,check_ult_1_dias,ult_checkout_dias,ult_checkout_segundos,mod_dist_check_ult_9999_dias,mod_dist_check_ult_30_dias,mod_dist_check_ult_25_dias,mod_dist_check_ult_20_dias,mod_dist_check_ult_15_dias,mod_dist_check_ult_10_dias,mod_dist_check_ult_5_dias,mod_dist_check_ult_1_dias,act_ult_9999_dias,act_ult_30_dias,act_ult_25_dias,act_ult_20_dias,act_ult_15_dias,act_ult_10_dias,act_ult_5_dias,act_ult_1_dias,conv_ult_9999_dias,conv_ult_30_dias,conv_ult_25_dias,conv_ult_20_dias,conv_ult_15_dias,conv_ult_10_dias,conv_ult_5_dias,conv_ult_1_dias,label
8184,368970b3,1,195.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,195.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12,70,70,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8284,370c4aa2,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,10,10,10,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10.0,875452.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8310,37464b87,9,526.0,4732.0,3.0,3.0,9.0,3.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,526.0,4732.0,3.0,3.0,9.0,3.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,5.0,17.0,0.11764705882352941,0.29411764705882354,0.5882352941176471,17.0,9.0,13.0,6.0,17.0,0.35294117647058826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,6,22,21,78,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,21.0,1840928.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,54,7.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
8312,3746d260,5,388.0,1940.0000000000002,3.0,633.0,1900.0000000000002,3.0,633.0,1900.0000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,388.0,1940.0000000000002,3.0,633.0,1900.0000000000002,3.0,633.0,1900.0000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,7.0,0.5714285714285714,0.14285714285714285,0.2857142857142857,7.0,4.0,7.0,3.0,7.0,0.42857142857142855,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,29,34,22,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8328,37623c49,1,6.0,6.0,1.0,6.0,6.0,1.0,6.0,6.0,1.0,6.0,6.0,1.0,6.0,6.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.0,6.0,1.0,6.0,6.0,1.0,6.0,6.0,1.0,6.0,6.0,1.0,6.0,6.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,9,9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8371,379c6cfd,9,92.0,824.0,9.0,92.0,824.0,9.0,92.0,824.0,9.0,92.0,824.0,7.0,77.0,540.0,6.0,90.0,540.0,4.0,72.0,286.0,0.0,0.0,0.0,9,92.0,824.0,9.0,92.0,824.0,9.0,92.0,824.0,9.0,92.0,824.0,7.0,77.0,540.0,6.0,90.0,540.0,4.0,72.0,286.0,0.0,0.0,0.0,3.0,25.0,0.0,28.0,0.10714285714285714,0.0,0.8928571428571429,28.0,8.0,22.0,7.0,28.0,0.25,7.0,28.0,0.25,7.0,28.0,0.25,7.0,28.0,0.25,7.0,17.0,0.4117647058823529,7.0,16.0,0.4375,4.0,10.0,0.4,0.0,0.0,0.0,0,0,59,15,2,15,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,15.0,1329972.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,59,59.0,59.0,59.0,43.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8399,37d89dbb,3,3688.0000000000005,11063.0,3.0,3688.0000000000005,11063.0,3.0,3688.0000000000005,11063.0,3.0,3688.0000000000005,11063.0,3.0,3688.0000000000005,11063.0,3.0,3688.0000000000005,11063.0,1.0,2688.0,2688.0,0.0,0.0,0.0,3,3688.0000000000005,11063.0,3.0,3688.0000000000005,11063.0,3.0,3688.0000000000005,11063.0,3.0,3688.0000000000005,11063.0,3.0,3688.0000000000005,11063.0,3.0,3688.0000000000005,11063.0,1.0,2688.0,2688.0,0.0,0.0,0.0,25.0,92.0,5.0,122.0,0.20491803278688525,0.040983606557377046,0.7540983606557377,167.0,40.0,96.0,34.0,167.0,0.20359281437125748,34.0,167.0,0.20359281437125748,34.0,167.0,0.20359281437125748,34.0,167.0,0.20359281437125748,34.0,167.0,0.20359281437125748,34.0,167.0,0.20359281437125748,6.0,30.0,0.2,0.0,0.0,0.0,0,0,293,7,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293,293.0,293.0,293.0,293.0,293.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8401,37dda8c4,9,804.0,7237.0,3.0,1266.0,3799.0000000000005,3.0,1266.0,3799.0000000000005,2.0,1060.0,2119.0,2.0,1060.0,2119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,531.0,5308.0,4.0,468.00000000000006,1870.0000000000002,4.0,468.00000000000006,1870.0000000000002,3.0,63.00000000000001,190.0,3.0,63.00000000000001,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.0,0.0,39.0,0.9743589743589743,0.0,0.02564102564102564,39.0,4.0,16.0,34.0,39.0,0.8717948717948718,21.0,21.0,1.0,21.0,21.0,1.0,13.0,13.0,1.0,13.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,98,137,12,137,7.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,12.0,1066019.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,98,33.0,33.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8402,37de6da7,1,5.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,6,6,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,543758.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8404,37dffef0,3,447.0,1341.0,3.0,447.0,1341.0,3.0,447.0,1341.0,3.0,447.0,1341.0,3.0,447.0,1341.0,3.0,447.0,1341.0,3.0,447.0,1341.0,0.0,0.0,0.0,3,447.0,1341.0,3.0,447.0,1341.0,3.0,447.0,1341.0,3.0,447.0,1341.0,3.0,447.0,1341.0,3.0,447.0,1341.0,3.0,447.0,1341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,4.0,6.0,0.6666666666666666,4.0,6.0,0.6666666666666666,4.0,6.0,0.6666666666666666,4.0,6.0,0.6666666666666666,4.0,6.0,0.6666666666666666,4.0,6.0,0.6666666666666666,4.0,6.0,0.6666666666666666,0.0,0.0,0.0,0,0,17,2,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,207579.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,17,17.0,17.0,17.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408,37e98fe5,2,1699.0,3398.0,1.0,1430.0,1430.0,1.0,1430.0,1430.0,1.0,1430.0,1430.0,1.0,1430.0,1430.0,1.0,1430.0,1430.0,1.0,1430.0,1430.0,0.0,0.0,0.0,2,1699.0,3398.0,1.0,1430.0,1430.0,1.0,1430.0,1430.0,1.0,1430.0,1430.0,1.0,1430.0,1430.0,1.0,1430.0,1430.0,1.0,1430.0,1430.0,0.0,0.0,0.0,21.0,0.0,30.0,51.0,0.4117647058823529,0.5882352941176471,0.0,54.0,10.0,34.0,22.0,54.0,0.4074074074074074,16.0,25.0,0.64,16.0,25.0,0.64,16.0,25.0,0.64,16.0,25.0,0.64,16.0,25.0,0.64,16.0,25.0,0.64,0.0,0.0,0.0,0,0,85,64,4,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,33.0,33.0,33.0,33.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8466,38576edd,2,77.0,154.0,2.0,77.0,154.0,2.0,77.0,154.0,2.0,77.0,154.0,2.0,77.0,154.0,2.0,77.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,2,77.0,154.0,2.0,77.0,154.0,2.0,77.0,154.0,2.0,77.0,154.0,2.0,77.0,154.0,2.0,77.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9,8,6,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,554478.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,9,9.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8479,387b60b0,1,161.0,161.0,1.0,161.0,161.0,1.0,161.0,161.0,1.0,161.0,161.0,1.0,161.0,161.0,1.0,161.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,1,161.0,161.0,1.0,161.0,161.0,1.0,161.0,161.0,1.0,161.0,161.0,1.0,161.0,161.0,1.0,161.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,6.0,0.3333333333333333,0.0,0.6666666666666666,6.0,2.0,5.0,4.0,6.0,0.6666666666666666,4.0,6.0,0.6666666666666666,4.0,6.0,0.6666666666666666,4.0,6.0,0.6666666666666666,4.0,6.0,0.6666666666666666,4.0,6.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,12.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8568,38fcb149,8,2663.0,21307.0,8.0,2663.0,21307.0,8.0,2663.0,21307.0,8.0,2663.0,21307.0,8.0,2663.0,21307.0,8.0,2663.0,21307.0,8.0,2663.0,21307.0,2.0,3631.0,7262.0,11,1374.0,15110.000000000002,11.0,1374.0,15110.000000000002,11.0,1374.0,15110.000000000002,11.0,1374.0,15110.000000000002,11.0,1374.0,15110.000000000002,11.0,1374.0,15110.000000000002,11.0,1374.0,15110.000000000002,3.0,1777.0,5331.0,49.0,75.0,37.0,161.0,0.30434782608695654,0.22981366459627328,0.4658385093167702,163.0,26.0,95.0,29.0,163.0,0.17791411042944785,29.0,163.0,0.17791411042944785,29.0,163.0,0.17791411042944785,29.0,163.0,0.17791411042944785,29.0,163.0,0.17791411042944785,29.0,163.0,0.17791411042944785,29.0,163.0,0.17791411042944785,13.0,64.0,0.203125,0,0,208,1,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,46879.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,208,208.0,208.0,208.0,208.0,208.0,208.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8606,39336331,2,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,26,23,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8619,3942da6b,10,1010.0000000000001,10095.0,10.0,1010.0000000000001,10095.0,10.0,1010.0000000000001,10095.0,9.0,1081.0,9725.0,7.0,1306.0,9142.0,5.0,1339.0,6696.0,1.0,2659.0,2659.0,0.0,0.0,0.0,10,1010.0000000000001,10095.0,10.0,1010.0000000000001,10095.0,10.0,1010.0000000000001,10095.0,9.0,1081.0,9725.0,7.0,1306.0,9142.0,5.0,1339.0,6696.0,1.0,2659.0,2659.0,0.0,0.0,0.0,11.0,0.0,18.0,29.0,0.3793103448275862,0.6206896551724138,0.0,66.0,28.0,45.0,11.0,66.0,0.16666666666666666,11.0,66.0,0.16666666666666666,11.0,66.0,0.16666666666666666,11.0,64.0,0.171875,9.0,56.0,0.16071428571428573,6.0,38.0,0.15789473684210525,2.0,8.0,0.25,0.0,0.0,0.0,0,0,123,20,2,20,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,244714.00000000003,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,123,123.0,123.0,112.0,97.0,68.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8705,39cc7b17,4,1397.0,5588.0,3.0,1699.0,5097.0,1.0,194.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,721.0,3603.0,4.0,778.0,3112.0,1.0,194.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,9.0,31.0,17.0,52.0,0.3269230769230769,15.0,46.0,0.32608695652173914,7.0,8.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,78,32,24,32,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2552607.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,78,66.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8771,3a3a5e97,2,390.0,780.0,2.0,390.0,780.0,2.0,390.0,780.0,2.0,390.0,780.0,2.0,390.0,780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,390.0,780.0,2.0,390.0,780.0,2.0,390.0,780.0,2.0,390.0,780.0,2.0,390.0,780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,1.0,0.0,0.0,8.0,1.0,4.0,8.0,8.0,1.0,8.0,8.0,1.0,8.0,8.0,1.0,8.0,8.0,1.0,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,23,13,13,13,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,13.0,1131298.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,23,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8791,3a60a800,15,884.0,13262.0,4.0,785.0,3140.0,4.0,785.0,3140.0,4.0,785.0,3140.0,3.0,42.0,126.00000000000001,2.0,45.0,90.0,1.0,31.000000000000004,31.000000000000004,0.0,0.0,0.0,17,542.0,9218.0,5.0,195.0,974.0000000000001,5.0,195.0,974.0000000000001,5.0,195.0,974.0000000000001,3.0,42.0,126.00000000000001,2.0,45.0,90.0,1.0,31.000000000000004,31.000000000000004,0.0,0.0,0.0,6.0,51.0,5.0,62.0,0.0967741935483871,0.08064516129032258,0.8225806451612904,72.0,12.0,37.0,45.0,72.0,0.625,15.0,23.0,0.6521739130434783,15.0,23.0,0.6521739130434783,15.0,23.0,0.6521739130434783,10.0,12.0,0.8333333333333334,9.0,9.0,1.0,8.0,8.0,1.0,0.0,0.0,0.0,0,0,128,75,3,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128,35.0,35.0,35.0,18.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8819,3a8aecb6,3,327.0,982.0000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3,327.0,982.0000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,5.0,0.4,0.0,0.6,6.0,3.0,4.0,3.0,6.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,22,63,2,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8825,3a952d05,6,490.00000000000006,2942.0,6.0,490.00000000000006,2942.0,6.0,490.00000000000006,2942.0,6.0,490.00000000000006,2942.0,4.0,629.0,2516.0,4.0,629.0,2516.0,0.0,0.0,0.0,0.0,0.0,0.0,6,490.00000000000006,2942.0,6.0,490.00000000000006,2942.0,6.0,490.00000000000006,2942.0,6.0,490.00000000000006,2942.0,4.0,629.0,2516.0,4.0,629.0,2516.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,55.0,0.0,56.0,0.017857142857142856,0.0,0.9821428571428571,56.0,9.0,34.0,19.0,56.0,0.3392857142857143,19.0,56.0,0.3392857142857143,19.0,56.0,0.3392857142857143,19.0,56.0,0.3392857142857143,17.0,50.0,0.34,17.0,50.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0,0,103,16,7,16,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,16.0,1405977.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,103,103.0,103.0,103.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8832,3aa073f0,1,9.0,9.0,1.0,9.0,9.0,1.0,9.0,9.0,1.0,9.0,9.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9.0,9.0,1.0,9.0,9.0,1.0,9.0,9.0,1.0,9.0,9.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,14,14,14,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,14.0,1248144.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
