,person,#Camino,#pasos_antes_comprar,primera_actividad,modelos_vistos,modelos_distintos,sku_distintos,cantidad_sesiones,primera_actividad_ultimo_paso,ultima_actividad,# Actividades,label
884,04bbc907,0,343,113,213.0,22.0,66.0,44,113,37,343,1.0
896,04d2d0ee,0,23,75,10.0,3.0,5.0,2,75,12,23,1.0
935,052078d1,0,41,120,29.0,1.0,11.0,4,120,43,41,1.0
943,05288788,0,12,12,2.0,1.0,1.0,1,12,12,12,0.0
978,0552b617,0,202,122,129.0,34.0,79.0,18,122,1,202,0.0
983,05596145,0,68,7,37.0,5.0,11.0,8,7,1,68,1.0
1010,058e5305,0,3,8,1.0,1.0,1.0,1,8,8,3,0.0
1023,059f4e3c,0,14,70,3.0,2.0,3.0,1,70,70,14,0.0
1036,05b22e4c,0,129,123,46.0,30.0,38.0,7,123,1,129,1.0
1044,05bd7ac9,0,4,1,1.0,1.0,1.0,1,1,1,4,0.0
1049,05d3c1a1,0,113,9,98.0,14.0,51.0,2,9,7,113,0.0
1054,05d9ceb0,2,43,113,2.0,1.0,1.0,6,107,35,124,1.0
1065,05f5d7e6,0,174,13,134.0,29.0,72.0,10,13,0,174,0.0
1069,05fb7314,0,108,19,37.0,16.0,19.0,11,19,0,108,0.0
1075,0601784e,2,18,44,3.0,3.0,3.0,10,12,11,224,1.0
1102,062f6d02,0,30,128,12.0,1.0,9.0,2,128,2,30,0.0
1108,06426e62,0,4,9,1.0,1.0,1.0,1,9,9,4,0.0
1114,064e923d,0,16,25,6.0,2.0,4.0,2,25,11,16,0.0
1166,0699cd95,0,33,28,12.0,3.0,10.0,3,28,13,33,0.0
1179,069e9241,0,8,6,3.0,1.0,3.0,1,6,6,8,0.0
1186,06aed509,0,20,6,14.0,2.0,13.0,1,6,6,20,0.0
1187,06aeda65,0,8,27,3.0,2.0,3.0,1,27,27,8,1.0
1245,06eeb3e7,2,85,25,24.0,6.0,14.0,9,17,0,125,1.0
1266,071287f9,0,9,13,5.0,2.0,5.0,1,13,13,9,0.0
1272,071dabb9,0,9,35,6.0,1.0,5.0,1,35,35,9,1.0
1275,071e79e1,0,31,15,18.0,5.0,12.0,3,15,6,31,1.0
1288,073e697a,0,39,49,7.0,3.0,7.0,4,49,13,39,1.0
1304,075b00a8,0,9,10,4.0,2.0,2.0,1,10,10,9,0.0
1309,07639dc4,0,4,99,1.0,1.0,1.0,1,99,99,4,0.0
1314,076b782d,0,5,6,1.0,1.0,1.0,1,6,6,5,0.0
1349,07aabe67,0,634,139,452.0,30.0,191.0,71,139,2,634,1.0
1362,07b7d242,0,89,16,41.0,19.0,30.0,5,16,4,90,0.0
1374,07cdc12c,1,250,136,100.0,9.0,50.0,46,134,1,276,1.0
1392,07ea5933,0,40,14,8.0,4.0,7.0,3,14,14,40,0.0
1401,07f40b00,0,48,13,38.0,10.0,25.0,5,13,11,48,0.0
1437,0812bda0,1,209,91,121.0,28.0,73.0,13,90,82,227,1.0
1440,08176776,0,51,103,20.0,7.0,13.0,8,103,10,51,1.0
1458,08343c0e,2,20,149,16.0,5.0,15.0,10,2,2,75,1.0
1471,084482af,0,53,24,20.0,9.0,14.0,5,24,2,53,1.0
1485,08554c8b,0,15,0,6.0,4.0,4.0,1,0,0,15,0.0
1535,0899e1ff,0,53,12,34.0,3.0,18.0,7,12,0,53,0.0
1549,08b4a20d,0,5,1,1.0,1.0,1.0,1,1,1,5,0.0
1570,08d10353,0,15,11,8.0,1.0,4.0,3,11,0,15,0.0
1584,08e182e9,0,35,6,18.0,4.0,12.0,2,6,6,35,0.0
1593,08f1e4b3,0,48,19,31.0,16.0,18.0,2,19,15,48,0.0
1602,08f9054d,3,1,63,0.0,0.0,0.0,7,15,15,49,0.0
1641,09412658,0,8,0,1.0,1.0,1.0,1,0,0,8,1.0
1645,0947f818,0,14,0,5.0,1.0,3.0,1,0,0,14,0.0
1656,095c2666,0,27,3,8.0,5.0,5.0,1,3,3,27,0.0
1705,09a78ec5,0,16,11,4.0,2.0,2.0,4,11,9,16,1.0
1709,09adf503,0,149,16,99.0,13.0,50.0,7,16,2,149,1.0
1725,09d0e523,0,236,29,149.0,20.0,70.0,23,29,1,236,1.0
1739,09e63ce7,0,20,35,10.0,4.0,8.0,2,35,0,20,0.0
1743,09eaaffd,1,20,6,3.0,3.0,3.0,8,5,0,64,0.0
1748,09eb8d77,2,46,7,16.0,4.0,8.0,6,5,4,77,1.0
1755,09f63491,0,95,25,68.0,8.0,37.0,10,25,8,95,0.0
1781,0a19537c,3,40,2,11.0,4.0,4.0,6,2,1,98,0.0
1857,0a62e820,1,202,29,127.0,12.0,60.0,17,29,3,251,0.0
1858,0a68d4b5,0,20,73,10.0,4.0,9.0,2,73,44,20,0.0
1903,0aacf315,1,8,47,0.0,0.0,0.0,5,28,22,65,1.0
1959,0ae8b154,0,3,3,1.0,1.0,1.0,1,3,3,3,1.0
1968,0af42006,0,155,64,117.0,22.0,67.0,13,64,2,155,1.0
2024,0b4c87e0,0,47,3,27.0,6.0,15.0,6,3,2,47,0.0
2036,0b6362c8,0,68,17,49.0,7.0,40.0,5,17,7,68,0.0
2064,0b8460ef,1,10,19,4.0,1.0,3.0,16,7,6,181,0.0
2069,0b8f5734,0,4,8,1.0,1.0,1.0,1,8,8,4,0.0
2074,0b92985c,0,23,12,12.0,2.0,7.0,2,12,11,23,0.0
2109,0bbc2081,0,48,68,12.0,2.0,8.0,7,68,0,48,0.0
2133,0be3f5e5,2,136,86,48.0,19.0,37.0,26,60,49,460,1.0
2155,0c00db19,0,15,0,4.0,1.0,2.0,2,0,0,15,1.0
2224,0c8cab30,0,4,38,0.0,0.0,0.0,2,38,37,4,0.0
2225,0c8da283,0,1,16,0.0,0.0,0.0,1,16,16,1,0.0
2232,0c962c1c,0,12,28,2.0,2.0,2.0,3,28,12,12,1.0
2240,0c9dbbde,0,11,3,3.0,1.0,2.0,2,3,3,11,0.0
2260,0ccf8030,0,6,5,3.0,1.0,3.0,1,5,5,6,0.0
2293,0cfe987a,0,8,16,3.0,1.0,3.0,1,16,16,8,0.0
2303,0d0cfd55,0,37,16,11.0,4.0,7.0,3,16,1,37,0.0
2315,0d1af2db,0,21,0,17.0,5.0,15.0,1,0,0,21,1.0
2352,0d4d220e,0,20,7,14.0,1.0,7.0,1,7,7,20,0.0
2366,0d5eb518,0,38,44,24.0,3.0,15.0,2,44,28,38,0.0
2374,0d68d38e,3,13,48,7.0,5.0,6.0,7,1,1,119,1.0
2377,0d6f5cd2,0,47,10,33.0,7.0,17.0,5,10,7,47,1.0
2385,0d79ae9e,0,8,1,5.0,1.0,2.0,1,1,1,8,1.0
2397,0d87991e,0,4,1,1.0,1.0,1.0,1,1,1,4,0.0
2412,0da5ecfc,2,292,40,186.0,21.0,60.0,40,28,0,501,1.0
2422,0db78b05,0,22,2,4.0,1.0,3.0,2,2,1,22,0.0
2432,0dbd8428,0,25,12,19.0,4.0,11.0,1,12,12,25,0.0
2438,0dc7138f,0,128,1,82.0,22.0,43.0,3,1,0,128,1.0
2483,0e204784,0,83,78,53.0,10.0,39.0,9,78,14,83,0.0
2536,0e8091a8,0,55,15,32.0,6.0,19.0,5,15,1,55,0.0
2551,0e9e5344,0,69,12,37.0,8.0,22.0,7,12,5,69,1.0
2552,0e9effd8,0,44,132,21.0,3.0,12.0,4,132,130,44,1.0
2561,0ea76c79,0,18,6,12.0,1.0,9.0,1,6,6,18,0.0
2569,0eb1161a,0,19,88,10.0,1.0,7.0,3,88,0,19,0.0
2571,0eb715ae,0,54,83,15.0,3.0,10.0,5,83,13,54,1.0
2572,0eb8bf49,0,11,21,6.0,1.0,3.0,1,21,21,11,0.0
2625,0ef7f297,0,83,65,30.0,4.0,15.0,5,65,7,83,0.0
2635,0f018135,0,15,6,8.0,3.0,7.0,2,6,3,15,0.0
2642,0f16c676,0,13,46,1.0,1.0,1.0,2,46,46,13,1.0
2665,0f337b7b,0,106,33,72.0,14.0,61.0,9,33,0,106,0.0
2673,0f400871,0,14,15,8.0,1.0,3.0,1,15,15,14,0.0
2682,0f4e5325,0,14,11,2.0,1.0,1.0,1,11,11,14,0.0
2739,0f8f4d22,1,0,15,0.0,0.0,0.0,1,15,15,36,0.0
2759,0fb2aab1,2,76,133,17.0,5.0,12.0,40,16,0,257,0.0
2786,0fe8e51e,0,34,30,2.0,2.0,2.0,3,30,11,34,1.0
2793,0ff026f5,0,9,76,3.0,3.0,3.0,2,76,72,9,1.0
2796,0ff34fc1,0,5,112,1.0,1.0,1.0,2,112,101,5,0.0
2850,103ad5ee,0,37,15,20.0,5.0,12.0,3,15,5,37,0.0
2898,107a343d,0,21,9,4.0,2.0,3.0,2,9,5,21,0.0
2948,10b2e757,0,11,1,4.0,2.0,3.0,1,1,1,11,0.0
3022,10ff5b8b,0,9,13,3.0,1.0,3.0,1,13,13,9,1.0
3062,112dc4d0,0,81,49,30.0,8.0,15.0,6,49,1,81,0.0
3099,117441a2,0,11,16,6.0,2.0,5.0,1,16,16,11,0.0
3136,11b1d217,0,32,13,12.0,3.0,5.0,6,13,7,32,0.0
3137,11b247a4,0,125,14,64.0,8.0,20.0,3,14,10,125,1.0
3154,11c3a5fb,2,11,3,2.0,2.0,2.0,2,2,2,56,0.0
3167,11d7273d,0,19,2,13.0,5.0,9.0,1,2,2,19,0.0
3191,11e8a164,0,39,52,11.0,3.0,6.0,5,52,1,39,1.0
3195,11ebd529,0,52,36,32.0,9.0,17.0,14,36,2,52,1.0
3206,120c29d3,0,9,0,3.0,1.0,3.0,1,0,0,9,1.0
3228,123848e4,1,3,10,0.0,0.0,0.0,3,8,8,30,0.0
3232,123e6920,2,1,90,0.0,0.0,0.0,18,2,2,152,1.0
3234,123fde23,1,42,142,16.0,8.0,11.0,6,140,21,105,1.0
3279,1279bda8,0,50,107,27.0,7.0,20.0,5,107,42,50,1.0
3297,128951f4,0,65,50,30.0,4.0,21.0,6,50,3,65,0.0
3301,129547ab,1,200,88,138.0,24.0,78.0,8,60,2,264,0.0
3328,12c99e0c,0,6,10,2.0,1.0,2.0,1,10,10,6,1.0
3345,12db1140,0,2,94,0.0,0.0,0.0,1,94,94,2,1.0
3353,12e7a320,0,33,140,9.0,2.0,8.0,7,140,0,33,1.0
3359,12f2e735,0,17,6,12.0,3.0,11.0,1,6,6,17,0.0
3393,1321c62f,6,53,51,41.0,6.0,12.0,71,3,2,1077,0.0
3396,1329ee05,0,17,34,2.0,2.0,2.0,4,34,4,17,0.0
3398,132bda83,0,24,13,11.0,2.0,8.0,3,13,13,24,1.0
3408,133f4086,0,26,44,7.0,3.0,5.0,3,44,34,26,1.0
3423,134ece02,0,22,9,9.0,2.0,4.0,2,9,8,22,0.0
3436,13698a29,0,51,30,24.0,4.0,18.0,6,30,1,51,0.0
3540,13e9e8c5,0,11,8,7.0,2.0,5.0,1,8,8,11,0.0
3550,13fa4d17,0,29,44,4.0,2.0,3.0,4,44,11,29,0.0
3558,140376d0,0,26,15,18.0,3.0,10.0,3,15,14,26,1.0
3600,143c958f,0,41,57,17.0,5.0,11.0,4,57,1,41,0.0
3612,144625e3,0,3,0,0.0,0.0,0.0,1,0,0,3,0.0
3623,1458e197,0,8,8,1.0,1.0,1.0,1,8,8,8,0.0
3654,148da13f,0,152,17,101.0,14.0,42.0,3,17,5,152,0.0
3664,14a041b1,0,21,18,4.0,3.0,3.0,2,18,5,21,1.0
3674,14ab2d88,0,105,31,40.0,11.0,18.0,4,31,0,105,0.0
3675,14abd6f7,0,5,0,2.0,1.0,1.0,1,0,0,5,0.0
3685,14b26f9d,0,38,115,25.0,2.0,16.0,2,115,115,38,1.0
3693,14ba67bf,2,16,21,1.0,1.0,1.0,6,15,6,45,1.0
3728,14fb3669,0,22,1,11.0,4.0,9.0,2,1,1,22,1.0
3753,1517be31,0,19,3,14.0,4.0,9.0,1,3,3,19,1.0
3774,15371e31,0,14,3,0.0,0.0,0.0,5,3,1,14,0.0
3797,155872cd,0,41,130,30.0,6.0,21.0,2,130,1,41,0.0
3897,15c99b91,0,46,7,17.0,6.0,10.0,4,7,3,46,1.0
3902,15d35ec5,0,12,2,7.0,4.0,4.0,1,2,2,12,1.0
3908,15de4f10,0,22,95,6.0,1.0,5.0,1,95,95,22,1.0
3912,15e75325,1,2,14,0.0,0.0,0.0,3,14,13,209,0.0
3920,15ea8012,5,21,14,2.0,1.0,1.0,3,13,13,75,0.0
3922,15ec8da6,0,13,24,2.0,2.0,2.0,1,24,24,13,0.0
3963,161e6408,0,272,122,117.0,23.0,61.0,22,122,0,272,0.0
3972,16319654,0,30,9,15.0,6.0,10.0,1,9,9,31,1.0
3995,164fa3da,5,135,91,10.0,7.0,8.0,32,70,23,201,1.0
4022,1671974a,0,146,141,85.0,13.0,44.0,8,141,14,146,0.0
4038,168871d5,1,40,42,15.0,4.0,12.0,17,21,14,124,1.0
4042,168eb350,0,8,5,4.0,1.0,3.0,1,5,5,8,0.0
4092,16c977ee,0,34,9,11.0,3.0,6.0,4,9,3,34,0.0
4103,16d2daae,0,354,144,245.0,19.0,124.0,21,144,27,354,0.0
4124,16f704ae,0,13,2,3.0,3.0,3.0,1,2,2,13,0.0
4158,171e75cb,1,340,88,274.0,21.0,95.0,96,37,0,1212,1.0
4173,173e461e,0,12,11,3.0,2.0,2.0,1,11,11,12,0.0
4207,175db121,0,12,29,8.0,2.0,5.0,4,29,17,12,1.0
4225,177bc00b,0,101,25,69.0,17.0,38.0,3,25,6,101,1.0
4227,177f1298,0,277,82,83.0,21.0,43.0,36,82,2,277,1.0
4241,179ae39f,1,6,10,3.0,1.0,3.0,1,10,10,68,1.0
4252,17af99ce,0,379,136,218.0,10.0,55.0,26,136,10,379,0.0
4259,17b65b04,2,6,141,2.0,1.0,1.0,22,16,16,230,0.0
4277,17d77bfa,0,29,19,17.0,4.0,16.0,2,19,3,29,0.0
4296,17ea373e,0,117,19,95.0,31.0,63.0,5,19,9,117,0.0
4337,181cfff7,0,20,2,5.0,2.0,5.0,2,2,1,20,1.0
4351,1836c63e,0,4,31,0.0,0.0,0.0,1,31,31,4,1.0
4397,1881d0d9,0,30,28,8.0,4.0,6.0,4,28,16,30,0.0
4412,189c451b,0,77,50,44.0,15.0,31.0,5,50,13,77,1.0
4414,189f09a7,0,46,14,10.0,5.0,6.0,4,14,14,46,0.0
4468,18e77b0a,0,100,6,68.0,8.0,27.0,3,6,0,100,1.0
4469,18e91628,0,17,19,7.0,2.0,4.0,3,19,11,17,0.0
4492,18f39a0c,0,251,42,218.0,32.0,88.0,10,42,2,251,1.0
4509,190b1ebc,0,123,13,86.0,8.0,51.0,3,13,13,123,0.0
4515,1910383a,1,27,121,13.0,6.0,13.0,36,4,0,337,0.0
4568,196292f4,0,10,7,0.0,0.0,0.0,1,7,7,10,1.0
4594,197a619e,0,8,68,1.0,1.0,1.0,2,68,20,8,1.0
4615,1998824e,0,13,5,4.0,3.0,4.0,1,5,5,13,0.0
4621,199cf3c4,2,25,9,7.0,4.0,6.0,12,5,2,168,1.0
4627,19a58f4e,0,8,14,2.0,2.0,2.0,2,14,4,8,0.0
4646,19c5639a,0,28,4,18.0,8.0,12.0,2,4,2,28,0.0
4666,19ed4344,0,199,17,81.0,9.0,36.0,17,17,0,200,1.0
4669,19f17086,0,20,1,9.0,2.0,7.0,2,1,1,20,1.0
4676,19fcbcd5,4,60,16,0.0,0.0,0.0,29,15,1,119,0.0
4722,1a4c9f43,0,176,47,155.0,13.0,47.0,9,47,20,176,0.0
4832,1adba253,0,37,20,13.0,5.0,12.0,2,20,18,37,1.0
4850,1af68b74,0,26,123,9.0,5.0,9.0,2,123,122,26,1.0
4868,1b17b334,0,3,103,1.0,1.0,1.0,1,103,103,3,1.0
4906,1b39b55b,1,4,17,1.0,1.0,1.0,3,16,10,21,0.0
4928,1b59ca78,0,240,115,193.0,22.0,103.0,12,115,0,240,1.0
4931,1b5c5c85,0,38,2,25.0,4.0,11.0,1,2,2,38,0.0
4946,1b743501,0,28,23,7.0,6.0,6.0,3,23,9,28,1.0
4991,1bc7f14b,0,35,6,11.0,3.0,9.0,3,6,0,35,1.0
5007,1bd6991e,0,30,41,6.0,5.0,5.0,3,41,27,30,1.0
5012,1be6a8c9,0,28,57,3.0,3.0,3.0,3,57,54,28,1.0
5030,1bf887bc,0,23,57,11.0,5.0,6.0,6,57,0,23,1.0
5041,1c0b7e69,0,57,19,43.0,6.0,25.0,4,19,2,57,0.0
5045,1c0d8a13,3,210,18,139.0,29.0,72.0,26,18,1,214,0.0
5046,1c111090,0,29,43,13.0,3.0,9.0,2,43,14,29,0.0
5070,1c38581a,0,36,0,27.0,3.0,19.0,1,0,0,36,0.0
5071,1c3a4e83,0,115,20,46.0,15.0,20.0,17,20,1,115,1.0
5096,1c6dd51b,0,174,9,125.0,11.0,37.0,10,9,0,174,1.0
5103,1c72bc0f,4,7,95,0.0,0.0,0.0,15,19,15,171,0.0
5117,1c8c689c,0,107,2,83.0,23.0,45.0,4,2,0,107,1.0
5152,1cc81c0e,0,72,0,37.0,8.0,21.0,2,0,0,72,0.0
5162,1cdb4c2e,0,7,17,2.0,2.0,2.0,2,17,2,7,0.0
5187,1cfa87f1,1,6,79,0.0,0.0,0.0,3,79,78,20,1.0
5203,1d1d6619,0,5,16,1.0,1.0,1.0,1,16,16,5,0.0
5273,1d9eb251,0,43,11,8.0,6.0,6.0,3,11,6,43,1.0
5279,1daab2a9,0,48,49,33.0,5.0,19.0,7,49,3,48,1.0
5323,1dec914f,0,88,35,76.0,13.0,42.0,2,35,27,89,1.0
5326,1df2cc28,0,9,0,3.0,1.0,2.0,1,0,0,9,0.0
5342,1e0d9fa0,0,68,14,38.0,15.0,23.0,2,14,2,68,1.0
5369,1e2c4da2,0,5,10,2.0,1.0,1.0,1,10,10,5,0.0
5377,1e32ded5,2,0,79,0.0,0.0,0.0,2,79,79,13,1.0
5460,1eab3f70,0,22,29,11.0,4.0,8.0,1,29,29,22,1.0
5481,1ec269af,0,12,2,0.0,0.0,0.0,1,2,2,12,0.0
5489,1ecf3e95,0,9,16,3.0,1.0,2.0,1,16,16,9,0.0
5497,1ee50764,0,26,17,17.0,1.0,4.0,2,17,16,26,0.0
5500,1ee88eac,0,20,24,7.0,3.0,7.0,2,24,23,20,1.0
5501,1eea3f31,0,48,39,24.0,13.0,18.0,8,39,4,48,0.0
5511,1efd9852,0,22,26,10.0,2.0,6.0,1,26,26,22,0.0
5571,1f6109b9,1,176,23,55.0,14.0,29.0,44,16,0,389,0.0
5572,1f62dcbc,0,55,73,27.0,5.0,20.0,4,73,1,55,1.0
5590,1f7f4cf4,0,103,6,80.0,19.0,52.0,3,6,0,103,1.0
5633,1fd5c0ed,0,20,56,6.0,5.0,5.0,5,56,14,20,1.0
5688,2020fc8e,0,36,2,23.0,3.0,7.0,2,2,0,36,0.0
5700,203297ab,0,4,145,1.0,1.0,1.0,1,145,145,4,1.0
5745,205d9c1a,2,36,27,12.0,2.0,3.0,13,23,14,65,1.0
5748,2062d6ab,0,1,10,0.0,0.0,0.0,1,10,10,1,0.0
5751,2064f13a,1,31,27,2.0,2.0,2.0,13,15,3,58,0.0
5774,208c392a,0,73,10,23.0,8.0,12.0,5,10,1,73,0.0
5783,20950506,0,216,19,107.0,33.0,67.0,12,19,0,216,1.0
5793,20ab9441,0,9,7,5.0,1.0,4.0,1,7,6,9,0.0
5799,20b8bf79,0,24,41,5.0,2.0,4.0,5,41,15,24,0.0
5826,20dadf21,0,2,1,1.0,1.0,1.0,1,1,1,2,1.0
5846,20f602c7,0,29,1,22.0,8.0,17.0,1,1,0,29,1.0
5863,210fd6d9,0,4,51,0.0,0.0,0.0,1,51,51,4,1.0
5866,21130ceb,0,46,27,29.0,5.0,18.0,4,27,24,46,1.0
5880,21263bea,0,11,7,6.0,2.0,4.0,2,7,1,11,0.0
5917,214c95b5,0,6,22,2.0,1.0,1.0,2,22,16,6,1.0
6017,21f5eeda,0,13,1,4.0,2.0,3.0,2,1,0,13,1.0
6018,21f67ee5,0,3,47,1.0,1.0,1.0,1,47,47,3,1.0
6083,2260ca72,0,6,1,2.0,2.0,2.0,2,1,1,6,1.0
6100,2280ebc0,0,153,25,73.0,21.0,37.0,10,25,1,153,1.0
6102,22831d56,0,10,5,3.0,1.0,2.0,1,5,5,11,1.0
6137,22b0bd67,1,2,20,0.0,0.0,0.0,1,20,20,45,1.0
6141,22b9085f,0,341,11,197.0,29.0,82.0,7,11,6,341,1.0
6148,22c2ffe9,0,17,13,9.0,2.0,8.0,1,13,13,17,0.0
6156,22cfc3f5,0,127,133,72.0,12.0,37.0,8,133,4,127,1.0
6165,22dc1641,0,30,3,24.0,2.0,13.0,1,3,3,30,0.0
6182,22f7466d,0,10,3,1.0,1.0,1.0,2,3,3,10,1.0
6187,2306a841,0,16,64,6.0,1.0,3.0,2,64,64,17,0.0
6194,230f09a6,0,177,9,125.0,4.0,25.0,17,9,0,177,1.0
6202,23214ef1,0,73,111,29.0,7.0,21.0,10,111,12,73,0.0
6215,2334a053,0,40,20,18.0,6.0,12.0,3,20,9,40,0.0
6222,233fedd9,0,38,31,12.0,5.0,8.0,4,31,1,38,0.0
6231,234a8e4d,0,175,24,81.0,14.0,21.0,47,24,1,175,1.0
6268,2379cb31,0,17,3,8.0,4.0,6.0,1,3,3,17,0.0
6303,23a620aa,0,48,40,14.0,6.0,9.0,7,40,13,48,0.0
6311,23ab4a45,0,18,1,4.0,3.0,3.0,1,1,1,19,0.0
6373,24120769,0,6,7,2.0,2.0,2.0,1,7,7,6,1.0
6381,241bac67,0,128,82,42.0,16.0,25.0,8,82,5,128,0.0
6383,241f6e2b,0,4,10,1.0,1.0,1.0,1,10,10,4,0.0
6420,244f9203,0,6,16,3.0,1.0,3.0,1,16,16,6,0.0
6423,24515ebc,0,4,8,1.0,1.0,1.0,1,8,8,4,0.0
6435,2459968d,1,19,21,3.0,3.0,3.0,11,14,0,89,0.0
6445,246254c0,0,3,1,0.0,0.0,0.0,1,1,1,3,0.0
6476,2486de05,1,98,44,50.0,4.0,18.0,9,27,3,136,1.0
6488,24a1199d,0,9,6,3.0,1.0,2.0,1,6,6,9,0.0
6496,24aaa37f,0,3,22,1.0,1.0,1.0,1,22,22,3,1.0
6502,24b515a9,0,22,27,9.0,6.0,6.0,2,27,26,22,1.0
6521,24cd912d,0,28,0,13.0,10.0,10.0,1,0,0,28,1.0
6554,2501a39b,0,29,0,26.0,3.0,16.0,1,0,0,29,1.0
6628,2576d981,0,56,73,25.0,18.0,21.0,4,73,65,56,1.0
6639,258ea149,0,7,2,2.0,1.0,1.0,1,2,2,7,0.0
6650,259d8b4f,0,9,0,5.0,1.0,3.0,1,0,0,9,0.0
6685,25cb8185,1,2,59,1.0,1.0,1.0,11,1,1,148,1.0
6701,25e4a370,0,3,0,1.0,1.0,1.0,1,0,0,3,1.0
6712,25efeea1,1,13,16,2.0,1.0,2.0,1,16,16,19,0.0
6713,25f1be5b,0,7,1,1.0,1.0,1.0,1,1,1,7,0.0
6716,25f9cfad,0,18,104,4.0,2.0,3.0,2,104,84,18,0.0
6717,25fae2ef,0,97,17,41.0,8.0,29.0,6,17,1,97,0.0
6719,25fd0b2d,0,18,7,8.0,1.0,4.0,1,7,7,18,0.0
6736,260d8968,0,55,59,38.0,9.0,29.0,6,59,14,55,0.0
6751,26232807,0,28,137,9.0,5.0,7.0,4,137,5,28,1.0
6785,263b9bb0,0,60,29,14.0,7.0,8.0,4,29,4,60,0.0
6852,26a30a4a,1,6,3,1.0,1.0,1.0,3,1,1,52,1.0
6884,26cd8fe5,0,25,12,4.0,3.0,3.0,1,12,12,25,0.0
6935,27258fd2,0,17,84,0.0,0.0,0.0,5,84,29,17,1.0
6950,2734ba5e,0,26,2,21.0,9.0,16.0,2,2,2,26,0.0
6966,2743f13d,0,177,43,65.0,21.0,35.0,4,43,0,177,1.0
6988,2777073d,1,42,50,22.0,2.0,13.0,51,13,1,749,0.0
6991,277b1d1c,0,18,28,5.0,3.0,3.0,5,28,6,18,0.0
7002,279429ad,0,4,8,1.0,1.0,1.0,1,8,8,4,0.0
7006,27985fa5,0,184,9,39.0,15.0,25.0,5,9,7,184,0.0
7017,27a92445,0,181,109,97.0,24.0,63.0,12,109,59,181,0.0
