,person,#Camino,#pasos_antes_comprar,primera_actividad,modelos_vistos,modelos_distintos,sku_distintos,cantidad_sesiones,#act_ult30dias,primera_actividad_ultimo_paso,ultima_actividad,# Actividades,label
937,052231b9,0,9,10,2.0,2.0,2.0,2,9.0,10,10,9,0.0
973,054b1dd6,0,12,7,6.0,1.0,3.0,2,12.0,7,7,12,0.0
982,05596145,0,68,7,37.0,5.0,11.0,8,68.0,7,1,68,1.0
995,057a408e,0,18,78,13.0,6.0,12.0,1,0.0,78,78,18,0.0
1009,058e5305,0,3,8,1.0,1.0,1.0,1,3.0,8,8,3,0.0
1027,05a82598,0,8,0,3.0,1.0,3.0,2,8.0,0,0,8,0.0
1034,05ad382c,0,23,2,12.0,8.0,9.0,1,23.0,2,2,23,0.0
1035,05b22e4c,0,129,123,46.0,30.0,38.0,7,106.0,123,1,129,1.0
1050,05d6426e,0,49,15,20.0,4.0,10.0,4,49.0,15,2,49,0.0
1053,05d9ceb0,2,43,113,2.0,1.0,1.0,6,0.0,107,35,124,1.0
1063,05ede960,0,16,21,5.0,2.0,4.0,2,16.0,21,19,16,0.0
1074,0601784e,2,18,44,3.0,3.0,3.0,12,185.0,12,11,224,1.0
1082,060f1915,0,34,0,27.0,20.0,21.0,2,34.0,0,0,34,0.0
1127,06627564,0,4,7,1.0,1.0,1.0,1,4.0,7,7,4,0.0
1186,06aeda65,0,8,27,3.0,2.0,3.0,1,8.0,27,27,8,1.0
1203,06c5a2ff,0,7,19,3.0,2.0,2.0,2,7.0,19,12,7,0.0
1244,06eeb3e7,2,85,25,24.0,6.0,14.0,10,125.0,17,0,125,1.0
1271,071dabb9,0,9,35,6.0,1.0,5.0,1,0.0,35,35,9,1.0
1274,071e79e1,0,31,15,18.0,5.0,12.0,3,31.0,15,6,31,1.0
1287,073e697a,0,39,49,7.0,3.0,7.0,4,36.0,49,13,39,1.0
1307,075f8c45,0,6,10,2.0,1.0,1.0,1,6.0,10,10,6,0.0
1340,07a578c6,1,10,48,1.0,1.0,1.0,15,131.0,14,1,134,0.0
1348,07aabe67,0,634,139,452.0,30.0,191.0,73,179.0,139,2,634,1.0
1360,07b7487d,0,5,9,1.0,1.0,1.0,1,5.0,9,9,5,0.0
1362,07b89976,0,48,4,44.0,3.0,21.0,1,48.0,4,4,48,0.0
1373,07cdc12c,1,250,136,100.0,9.0,50.0,47,104.0,134,1,276,1.0
1411,07f97392,0,17,45,1.0,1.0,1.0,4,13.0,45,0,17,0.0
1413,07fb82f1,0,11,28,3.0,2.0,2.0,2,11.0,28,7,11,0.0
1421,08033511,0,30,7,19.0,5.0,11.0,1,30.0,7,7,30,0.0
1432,0810e03c,0,15,16,7.0,1.0,6.0,1,15.0,16,16,15,0.0
1436,0812bda0,1,209,91,121.0,28.0,73.0,14,0.0,90,82,227,1.0
1439,08176776,0,51,103,20.0,7.0,13.0,8,15.0,103,10,51,1.0
1457,08343c0e,2,20,149,16.0,5.0,15.0,10,46.0,2,2,75,1.0
1470,084482af,0,53,24,20.0,9.0,14.0,5,53.0,24,2,53,1.0
1474,0847c198,0,63,49,35.0,5.0,22.0,6,0.0,49,33,63,0.0
1632,092e593f,0,80,5,29.0,5.0,15.0,12,80.0,5,0,80,0.0
1640,09412658,0,8,0,1.0,1.0,1.0,1,8.0,0,0,8,1.0
1642,0943c42e,0,9,8,2.0,1.0,1.0,1,9.0,8,8,9,0.0
1697,0996e542,0,110,29,66.0,6.0,19.0,9,110.0,29,2,110,0.0
1704,09a78ec5,0,16,11,4.0,2.0,2.0,4,16.0,11,9,16,1.0
1708,09adf503,0,149,16,99.0,13.0,50.0,8,149.0,16,2,149,1.0
1719,09c4c6e5,0,31,7,19.0,2.0,8.0,2,31.0,7,6,31,0.0
1724,09d0e523,0,236,29,149.0,20.0,70.0,26,236.0,29,1,236,1.0
1726,09d79dd7,0,5,31,0.0,0.0,0.0,1,5.0,31,31,5,0.0
1727,09d7ddcf,0,8,2,3.0,2.0,2.0,1,8.0,2,2,8,0.0
1747,09eb8d77,2,46,7,16.0,4.0,8.0,7,77.0,5,4,77,1.0
1831,0a4df35c,0,5,1,1.0,1.0,1.0,1,5.0,1,1,5,0.0
1859,0a68db07,1,26,30,9.0,6.0,7.0,11,239.0,4,1,239,0.0
1879,0a818767,0,7,4,2.0,1.0,1.0,2,7.0,4,4,7,0.0
1887,0a96b110,0,103,35,76.0,11.0,40.0,7,100.0,35,1,103,0.0
1888,0a96ba14,0,4,6,1.0,1.0,1.0,1,4.0,6,6,4,0.0
1891,0a9b1aea,0,4,1,1.0,1.0,1.0,1,4.0,1,1,4,0.0
1902,0aacf315,1,8,47,0.0,0.0,0.0,6,52.0,28,22,65,1.0
1956,0ae8135d,1,2,2,0.0,0.0,0.0,2,71.0,2,2,71,0.0
1959,0ae8b154,0,3,3,1.0,1.0,1.0,1,3.0,3,3,3,1.0
1968,0af42006,0,155,64,117.0,22.0,67.0,13,98.0,64,2,155,1.0
1983,0b12e0b1,0,85,10,42.0,19.0,32.0,2,85.0,10,10,85,0.0
1991,0b18bd7d,0,10,0,7.0,2.0,6.0,1,10.0,0,0,10,0.0
1992,0b18cf12,0,627,86,358.0,47.0,192.0,42,295.0,86,2,627,0.0
2021,0b498f41,0,24,75,12.0,2.0,6.0,3,0.0,75,44,24,0.0
2059,0b7efe35,0,9,0,2.0,1.0,2.0,1,9.0,0,0,9,0.0
2060,0b800e76,0,54,0,34.0,4.0,14.0,1,54.0,0,0,54,0.0
2064,0b8460ef,1,10,19,4.0,1.0,3.0,20,181.0,7,6,181,0.0
2130,0be3783f,0,65,41,13.0,7.0,8.0,9,35.0,41,6,65,0.0
2133,0be3f5e5,2,136,86,48.0,19.0,37.0,27,0.0,60,49,460,1.0
2153,0c007229,0,8,0,4.0,2.0,2.0,1,8.0,0,0,8,0.0
2155,0c00db19,0,15,0,4.0,1.0,2.0,2,15.0,0,0,15,1.0
2183,0c314f12,0,103,20,86.0,2.0,17.0,3,103.0,20,12,103,0.0
2185,0c352a3c,0,14,7,7.0,1.0,3.0,1,14.0,7,7,14,0.0
2221,0c87392a,0,4,13,1.0,1.0,1.0,1,4.0,13,13,4,0.0
2232,0c962c1c,0,12,28,2.0,2.0,2.0,3,12.0,28,12,12,1.0
2251,0cb74526,0,24,96,9.0,2.0,6.0,3,12.0,96,11,24,0.0
2261,0cd4ddf5,0,14,2,5.0,2.0,2.0,2,14.0,2,2,14,0.0
2312,0d17ed80,0,31,0,10.0,2.0,4.0,3,31.0,0,0,31,0.0
2315,0d1af2db,0,21,0,17.0,5.0,15.0,1,21.0,0,0,21,1.0
2374,0d68d38e,3,13,48,7.0,5.0,6.0,7,101.0,1,1,119,1.0
2377,0d6f5cd2,0,47,10,33.0,7.0,17.0,6,47.0,10,7,47,1.0
2385,0d79ae9e,0,8,1,5.0,1.0,2.0,1,8.0,1,1,8,1.0
2402,0d927770,0,57,63,27.0,11.0,13.0,6,46.0,63,0,57,0.0
2412,0da5ecfc,2,292,40,186.0,21.0,60.0,43,391.0,28,0,501,1.0
2418,0db07b6d,0,42,30,21.0,3.0,15.0,2,42.0,30,9,42,0.0
2438,0dc7138f,0,128,1,82.0,22.0,43.0,4,128.0,1,0,128,1.0
2444,0ddee1ef,0,9,76,0.0,0.0,0.0,2,3.0,76,5,9,0.0
2455,0deed6ff,0,25,5,5.0,1.0,3.0,2,25.0,5,0,25,0.0
2457,0df5078e,0,27,8,3.0,1.0,1.0,1,27.0,8,8,27,0.0
2459,0dfb1369,0,673,82,581.0,17.0,183.0,28,118.0,82,3,673,0.0
2494,0e31a854,0,30,10,7.0,2.0,4.0,2,30.0,10,2,30,0.0
2497,0e35107b,0,4,12,1.0,1.0,1.0,1,4.0,12,12,4,0.0
2527,0e6da2bd,0,14,15,6.0,1.0,2.0,1,14.0,15,15,14,0.0
2547,0e99af24,0,101,16,59.0,14.0,28.0,7,101.0,16,14,101,0.0
2551,0e9e5344,0,69,12,37.0,8.0,22.0,9,69.0,12,5,69,1.0
2552,0e9effd8,0,44,132,21.0,3.0,12.0,5,0.0,132,130,44,1.0
2571,0eb715ae,0,54,83,15.0,3.0,10.0,5,12.0,83,13,54,1.0
2572,0eb8bf49,0,11,21,6.0,1.0,3.0,1,11.0,21,21,11,0.0
2602,0edf4c51,0,111,17,87.0,20.0,52.0,7,111.0,17,2,111,0.0
2635,0f018135,0,15,6,8.0,3.0,7.0,2,15.0,6,3,15,0.0
2638,0f0e1c96,0,54,44,25.0,6.0,20.0,4,41.0,44,1,54,0.0
2642,0f16c676,0,13,46,1.0,1.0,1.0,2,0.0,46,46,13,1.0
2660,0f2e59a4,0,4,22,0.0,0.0,0.0,1,4.0,22,22,4,0.0
2665,0f337b7b,0,106,33,72.0,14.0,61.0,10,102.0,33,0,106,0.0
2696,0f59a49a,0,17,3,12.0,2.0,7.0,1,17.0,3,3,17,0.0
2698,0f5b9542,0,209,44,129.0,4.0,29.0,44,194.0,44,2,209,0.0
2745,0f9593b8,0,34,36,13.0,1.0,5.0,5,18.0,36,0,34,0.0
2759,0fb2aab1,2,76,133,17.0,5.0,12.0,43,129.0,16,0,257,0.0
2762,0fb694d8,0,21,7,12.0,1.0,7.0,2,21.0,7,7,21,0.0
2785,0fe5d58d,0,37,5,13.0,10.0,12.0,6,37.0,5,2,37,0.0
2786,0fe8e51e,0,34,30,2.0,2.0,2.0,3,34.0,30,11,34,1.0
2793,0ff026f5,0,9,76,3.0,3.0,3.0,2,0.0,76,72,9,1.0
2799,0ff68696,0,22,14,16.0,3.0,11.0,1,22.0,14,14,22,0.0
2829,10201d8f,0,9,14,4.0,1.0,3.0,1,9.0,14,14,9,0.0
2864,104c95db,0,48,3,35.0,2.0,7.0,2,48.0,3,3,48,0.0
2887,106ba097,0,10,113,0.0,0.0,0.0,2,0.0,113,67,10,0.0
2995,10ce7929,4,14,19,4.0,1.0,1.0,10,71.0,11,8,71,0.0
3022,10ff5b8b,0,9,13,3.0,1.0,3.0,1,9.0,13,13,9,1.0
3043,111a0f98,0,25,5,10.0,2.0,6.0,1,25.0,5,5,25,0.0
3053,11204f25,0,9,7,2.0,1.0,1.0,1,9.0,7,7,9,0.0
3068,1136497b,0,19,15,5.0,2.0,2.0,2,19.0,15,15,19,0.0
3102,11792123,0,20,10,16.0,2.0,5.0,1,20.0,10,10,20,0.0
3109,1182c372,0,15,1,4.0,2.0,3.0,3,15.0,1,0,15,0.0
3137,11b247a4,0,125,14,64.0,8.0,20.0,3,125.0,14,10,125,1.0
3191,11e8a164,0,39,52,11.0,3.0,6.0,5,19.0,52,1,39,1.0
3195,11ebd529,0,52,36,32.0,9.0,17.0,15,39.0,36,2,52,1.0
3206,120c29d3,0,9,0,3.0,1.0,3.0,1,9.0,0,0,9,1.0
3232,123e6920,2,1,90,0.0,0.0,0.0,20,3.0,2,2,152,1.0
3234,123fde23,1,42,142,16.0,8.0,11.0,8,7.0,140,21,105,1.0
3244,124ffbce,0,16,40,7.0,3.0,5.0,2,0.0,40,37,16,0.0
3279,1279bda8,0,50,107,27.0,7.0,20.0,5,0.0,107,42,50,1.0
3290,1282c1fd,0,67,113,24.0,11.0,14.0,14,61.0,113,1,67,0.0
3328,12c99e0c,0,6,10,2.0,1.0,2.0,1,6.0,10,10,6,1.0
3332,12ce4099,0,52,132,39.0,10.0,31.0,3,0.0,132,131,52,0.0
3345,12db1140,0,2,94,0.0,0.0,0.0,1,0.0,94,94,2,1.0
3353,12e7a320,0,33,140,9.0,2.0,8.0,7,16.0,140,0,33,1.0
3393,1321c62f,6,53,51,41.0,6.0,12.0,85,781.0,3,2,1077,0.0
3398,132bda83,0,24,13,11.0,2.0,8.0,4,24.0,13,13,24,1.0
3408,133f4086,0,26,44,7.0,3.0,5.0,3,0.0,44,34,26,1.0
3459,138cdba6,0,13,2,2.0,1.0,1.0,1,13.0,2,2,13,0.0
3542,13ed1966,0,34,97,16.0,4.0,9.0,3,28.0,97,5,34,0.0
3551,13fadf38,0,44,6,21.0,3.0,8.0,5,44.0,6,5,44,0.0
3557,14035333,0,30,1,16.0,2.0,9.0,1,30.0,1,1,30,0.0
3558,140376d0,0,26,15,18.0,3.0,10.0,3,26.0,15,14,26,1.0
3569,14180b15,0,25,5,13.0,1.0,7.0,3,25.0,5,5,25,0.0
3574,141ec20e,0,50,2,18.0,11.0,15.0,2,50.0,2,1,50,0.0
3654,148da13f,0,152,17,101.0,14.0,42.0,3,152.0,17,5,152,0.0
3664,14a041b1,0,21,18,4.0,3.0,3.0,2,21.0,18,5,21,1.0
3685,14b26f9d,0,38,115,25.0,2.0,16.0,2,0.0,115,115,38,1.0
3693,14ba67bf,2,16,21,1.0,1.0,1.0,6,45.0,15,6,45,1.0
3716,14e56345,0,30,17,6.0,3.0,4.0,6,30.0,17,8,30,0.0
3728,14fb3669,0,22,1,11.0,4.0,9.0,2,22.0,1,1,22,1.0
3729,14fd0b3c,0,74,23,21.0,8.0,13.0,4,74.0,23,10,74,0.0
3741,150b08ea,1,3,1,0.0,0.0,0.0,2,62.0,1,1,62,0.0
3749,1512cf56,0,8,71,6.0,1.0,3.0,1,0.0,71,71,8,0.0
3753,1517be31,0,19,3,14.0,4.0,9.0,1,19.0,3,3,19,1.0
3798,155ad7a7,0,22,1,13.0,2.0,9.0,1,22.0,1,1,22,0.0
3818,157182dd,1,19,9,6.0,1.0,3.0,10,146.0,4,3,146,0.0
3877,15b095ec,1,236,130,129.0,17.0,59.0,40,276.0,8,0,342,0.0
3897,15c99b91,0,46,7,17.0,6.0,10.0,4,46.0,7,3,46,1.0
3902,15d35ec5,0,12,2,7.0,4.0,4.0,1,12.0,2,2,12,1.0
3908,15de4f10,0,22,95,6.0,1.0,5.0,1,0.0,95,95,22,1.0
3962,161dae66,0,27,13,12.0,4.0,8.0,1,27.0,13,13,27,0.0
3972,16319654,0,30,9,15.0,6.0,10.0,1,31.0,9,9,31,1.0
3995,164fa3da,5,135,91,10.0,7.0,8.0,37,3.0,70,23,201,1.0
4020,166f19e2,2,1,7,0.0,0.0,0.0,1,43.0,7,7,43,0.0
4038,168871d5,1,40,42,15.0,4.0,12.0,18,62.0,21,14,124,1.0
4057,16a6379f,0,40,62,26.0,8.0,15.0,4,0.0,62,53,40,0.0
4069,16aeeb9c,0,21,2,9.0,6.0,6.0,2,21.0,2,2,21,0.0
4084,16be962e,0,24,10,8.0,1.0,5.0,3,24.0,10,2,24,0.0
4086,16c07417,0,3,1,1.0,1.0,1.0,1,3.0,1,1,3,0.0
4093,16ca0ce9,0,8,2,2.0,1.0,2.0,1,8.0,2,2,8,0.0
4109,16d99d33,0,27,1,9.0,5.0,5.0,2,27.0,1,1,27,0.0
4158,171e75cb,1,340,88,274.0,21.0,95.0,106,279.0,37,0,1212,1.0
4185,17473a9b,0,16,52,6.0,3.0,5.0,2,10.0,52,9,16,0.0
4207,175db121,0,12,29,8.0,2.0,5.0,4,12.0,29,17,12,1.0
4225,177bc00b,0,101,25,69.0,17.0,38.0,3,101.0,25,6,101,1.0
4227,177f1298,0,277,82,83.0,21.0,43.0,40,220.0,82,2,277,1.0
4234,178b3334,0,12,7,4.0,2.0,4.0,1,12.0,7,7,12,0.0
4241,179ae39f,1,6,10,3.0,1.0,3.0,1,68.0,10,10,68,1.0
4242,179e5106,0,44,126,20.0,12.0,16.0,8,26.0,126,0,44,0.0
4244,179f3647,0,27,61,10.0,5.0,8.0,3,11.0,61,12,27,0.0
4256,17b54385,0,9,6,3.0,1.0,1.0,1,9.0,6,6,9,0.0
4328,1812d821,1,27,134,12.0,2.0,7.0,13,59.0,21,9,177,0.0
4330,1815738a,1,9,15,0.0,0.0,0.0,8,78.0,13,1,78,0.0
4337,181cfff7,0,20,2,5.0,2.0,5.0,2,20.0,2,1,20,1.0
4351,1836c63e,0,4,31,0.0,0.0,0.0,1,4.0,31,31,4,1.0
4352,183e27bc,0,23,4,10.0,3.0,7.0,2,23.0,4,1,23,0.0
4377,185cc1ea,0,15,18,2.0,1.0,1.0,3,15.0,18,0,15,0.0
4380,1864e104,0,16,9,6.0,2.0,2.0,2,16.0,9,9,16,0.0
4395,187e19a3,0,4,2,1.0,1.0,1.0,1,4.0,2,2,4,0.0
4397,1881d0d9,0,30,28,8.0,4.0,6.0,5,30.0,28,16,30,0.0
4409,189468a2,0,31,38,13.0,5.0,10.0,2,20.0,38,11,31,0.0
4412,189c451b,0,77,50,44.0,15.0,31.0,5,45.0,50,13,77,1.0
4443,18b92214,1,22,4,18.0,3.0,16.0,2,60.0,0,0,60,0.0
4464,18d827be,0,26,40,22.0,7.0,15.0,1,0.0,40,40,26,0.0
4468,18e77b0a,0,100,6,68.0,8.0,27.0,3,100.0,6,0,100,1.0
4492,18f39a0c,0,251,42,218.0,32.0,88.0,11,223.0,42,2,251,1.0
4515,1910383a,1,27,121,13.0,6.0,13.0,38,197.0,4,0,337,0.0
4568,196292f4,0,10,7,0.0,0.0,0.0,1,10.0,7,7,10,1.0
4594,197a619e,0,8,68,1.0,1.0,1.0,2,4.0,68,20,8,1.0
4612,1994f5d7,0,12,33,1.0,1.0,1.0,1,0.0,33,33,12,0.0
4621,199cf3c4,2,25,9,7.0,4.0,6.0,14,168.0,5,2,168,1.0
4627,19a58f4e,0,8,14,2.0,2.0,2.0,2,8.0,14,4,8,0.0
4643,19bed1d7,0,177,3,73.0,16.0,49.0,7,177.0,3,0,177,0.0
4666,19ed4344,0,199,17,81.0,9.0,36.0,17,200.0,17,0,200,1.0
4669,19f17086,0,20,1,9.0,2.0,7.0,2,20.0,1,1,20,1.0
4676,19fcbcd5,4,60,16,0.0,0.0,0.0,31,119.0,15,1,119,0.0
4699,1a282f14,0,24,10,12.0,9.0,11.0,1,24.0,10,10,24,0.0
4760,1a85a656,0,13,11,2.0,2.0,2.0,1,13.0,11,11,13,0.0
4769,1a8c9f91,0,44,13,11.0,6.0,8.0,8,44.0,13,2,44,0.0
4772,1a907572,0,15,0,7.0,2.0,4.0,1,15.0,0,0,15,0.0
4832,1adba253,0,37,20,13.0,5.0,12.0,2,37.0,20,18,37,1.0
4850,1af68b74,0,26,123,9.0,5.0,9.0,2,0.0,123,122,26,1.0
4868,1b17b334,0,3,103,1.0,1.0,1.0,1,0.0,103,103,3,1.0
4885,1b2b8210,0,6,2,1.0,1.0,1.0,2,6.0,2,2,6,0.0
4928,1b59ca78,0,240,115,193.0,22.0,103.0,12,231.0,115,0,240,1.0
4929,1b5ad62b,0,4,1,1.0,1.0,1.0,1,4.0,1,1,4,0.0
4933,1b5e5be7,0,28,49,8.0,5.0,6.0,4,9.0,49,15,28,0.0
4946,1b743501,0,28,23,7.0,6.0,6.0,3,28.0,23,9,28,1.0
4952,1b8217cf,0,5,23,2.0,1.0,2.0,1,5.0,23,23,5,0.0
4972,1bab78c7,0,222,45,68.0,17.0,30.0,38,112.0,45,4,222,0.0
4979,1bb1014e,0,13,15,4.0,1.0,2.0,2,13.0,15,14,13,0.0
4991,1bc7f14b,0,35,6,11.0,3.0,9.0,3,35.0,6,0,35,1.0
5006,1bd6991e,0,30,41,6.0,5.0,5.0,3,12.0,41,27,30,1.0
5008,1be08351,0,16,16,3.0,1.0,3.0,2,16.0,16,16,16,0.0
5011,1be6a8c9,0,28,57,3.0,3.0,3.0,3,0.0,57,54,28,1.0
5026,1bf6a8b6,0,7,13,2.0,1.0,2.0,1,8.0,13,12,8,0.0
5029,1bf887bc,0,23,57,11.0,5.0,6.0,6,2.0,57,0,23,1.0
5045,1c111090,0,29,43,13.0,3.0,9.0,2,12.0,43,14,29,0.0
5070,1c3a4e83,0,115,20,46.0,15.0,20.0,20,115.0,20,1,115,1.0
5095,1c6dd51b,0,174,9,125.0,11.0,37.0,15,174.0,9,0,174,1.0
5116,1c8c689c,0,107,2,83.0,23.0,45.0,4,107.0,2,0,107,1.0
5126,1ca2e9f3,0,85,10,32.0,10.0,17.0,4,85.0,10,10,85,0.0
5151,1cc81c0e,0,72,0,37.0,8.0,21.0,2,72.0,0,0,72,0.0
5153,1cd3c631,0,42,1,36.0,9.0,27.0,2,42.0,1,1,42,0.0
5163,1cdc788f,0,61,27,28.0,9.0,19.0,4,61.0,27,18,61,0.0
5186,1cfa87f1,1,6,79,0.0,0.0,0.0,3,0.0,79,78,20,1.0
5221,1d3ab1e7,0,22,16,15.0,2.0,5.0,1,23.0,16,15,23,0.0
5231,1d49ffec,0,18,51,4.0,3.0,4.0,4,10.0,51,10,18,0.0
5272,1d9eb251,0,43,11,8.0,6.0,6.0,3,43.0,11,6,43,1.0
5278,1daab2a9,0,48,49,33.0,5.0,19.0,7,44.0,49,3,48,1.0
5283,1db098ed,1,2,5,0.0,0.0,0.0,2,22.0,5,5,22,0.0
5322,1dec914f,0,88,35,76.0,13.0,42.0,2,12.0,35,27,89,1.0
5340,1e0be7fa,1,5,14,1.0,1.0,1.0,3,18.0,13,13,18,0.0
5341,1e0d9fa0,0,68,14,38.0,15.0,23.0,2,68.0,14,2,68,1.0
5376,1e32ded5,2,0,79,0.0,0.0,0.0,2,0.0,79,79,13,1.0
5413,1e6c6b03,0,43,10,10.0,5.0,8.0,1,43.0,10,10,43,0.0
5426,1e776490,0,5,11,1.0,1.0,1.0,1,5.0,11,11,5,0.0
5459,1eab3f70,0,22,29,11.0,4.0,8.0,1,22.0,29,29,22,1.0
5479,1ec1dddf,0,56,7,20.0,6.0,14.0,8,56.0,7,3,56,0.0
5485,1eca9842,0,1101,63,993.0,76.0,403.0,29,228.0,63,16,1101,0.0
5494,1ee3e744,0,6,0,2.0,1.0,1.0,1,6.0,0,0,6,0.0
5498,1ee7658e,0,8,0,1.0,1.0,1.0,1,8.0,0,0,8,0.0
5499,1ee88eac,0,20,24,7.0,3.0,7.0,2,20.0,24,23,20,1.0
5504,1eef647a,0,388,63,332.0,24.0,164.0,26,274.0,63,3,388,0.0
5505,1ef09e99,0,40,16,32.0,18.0,31.0,3,40.0,16,16,40,0.0
5550,1f4acb45,0,47,2,38.0,7.0,17.0,1,47.0,2,2,47,0.0
5571,1f62dcbc,0,55,73,27.0,5.0,20.0,4,22.0,73,1,55,1.0
5577,1f67ec9d,0,133,1,43.0,5.0,19.0,4,133.0,1,0,133,0.0
5589,1f7f4cf4,0,103,6,80.0,19.0,52.0,5,103.0,6,0,103,1.0
5632,1fd5c0ed,0,20,56,6.0,5.0,5.0,5,13.0,56,14,20,1.0
5685,201a370a,0,41,33,12.0,7.0,11.0,5,27.0,33,7,41,0.0
5699,203297ab,0,4,145,1.0,1.0,1.0,1,0.0,145,145,4,1.0
5729,204e47b0,0,41,3,24.0,9.0,21.0,2,41.0,3,1,41,0.0
5731,2050e4a0,0,31,1,22.0,3.0,15.0,1,31.0,1,1,31,0.0
5744,205d9c1a,2,36,27,12.0,2.0,3.0,15,65.0,23,14,65,1.0
5782,20950506,0,216,19,107.0,33.0,67.0,13,216.0,19,0,216,1.0
5789,20a5933c,0,270,103,196.0,11.0,75.0,30,46.0,103,6,270,0.0
